drone_count,scene_key,target_class,combination_count,oracle_expected_target_threshold_strict_quality_iou50,oracle_expected_target_threshold_ap50_95,fusion_noisy_or_max_iou_quality,fusion_support_weighted_or_quality,gap_noisy_or_vs_oracle,gap_support_weighted_vs_oracle
2,S0-SM_barrel_1,barrel,45,0.7752227074626047,0.9022222222222223,0.8987893693334342,0.8633007182006842,0.12356666187082954,0.08807801073807953
2,S0-SM_barrel_10,barrel,36,0.7525940675025455,0.7826388890130652,0.8323444151336686,0.7237146317413554,0.0797503476311231,-0.02887943576119012
2,S0-SM_barrel_11,barrel,21,0.7698078813001237,0.7908730158848423,0.8821911063958002,0.8481042414632606,0.11238322509567655,0.0782963601631369
2,S0-SM_barrel_12,barrel,28,0.8255890819610191,0.8972842265984842,0.920556434982626,0.8977909881406351,0.09496735302160686,0.07220190617961597
2,S0-SM_barrel_13,barrel,55,0.7926462461170739,0.8408468615873294,0.8877988886598625,0.8495160595105621,0.09515264254278855,0.05686981339348818
2,S0-SM_barrel_14,barrel,36,0.8304111511494876,0.861903936319329,0.9221651484731878,0.8985158124049474,0.09175399732370015,0.06810466125545978
2,S0-SM_barrel_15,barrel,45,0.8187783563251161,0.8298785284273786,0.9034281452785788,0.8585739524443678,0.08464978895346276,0.039795596119251764
2,S0-SM_barrel_16,barrel,28,0.7024934811295503,0.7848214285714287,0.7673788157917742,0.5970294394583028,0.0648853346622239,-0.10546404167124757
2,S0-SM_barrel_17,barrel,45,0.7201491223719971,0.7777777777777778,0.7878066654620427,0.644563678709326,0.06765754309004557,-0.07558544366267117
2,S0-SM_barrel_18,barrel,36,0.7894422212578793,0.7983449075267547,0.8880644130122477,0.8486560787548006,0.09862219175436837,0.05921385749692132
2,S0-SM_barrel_19,barrel,36,0.7383425470859974,0.7161689815421899,0.8553357351182374,0.7959673771074962,0.1169931880322399,0.05762483002149876
2,S0-SM_barrel_2,barrel,91,0.7177170589402956,0.7747252747252747,0.7831146315591905,0.6300460499176137,0.0653975726188949,-0.08767100902268188
2,S0-SM_barrel_20,barrel,45,0.7666009485237402,0.7973611112435659,0.8590880901251835,0.754128642468284,0.09248714160144333,-0.012472306055456128
2,S0-SM_barrel_21,barrel,66,0.7707292891758972,0.8428030303030303,0.8596198450197174,0.7742663456814554,0.08889055584382022,0.0035370565055581338
2,S0-SM_barrel_3,barrel,45,0.7105466787363891,0.7733333333333333,0.7597570627098768,0.5702220826915197,0.04921038397348765,-0.14032459604486935
2,S0-SM_barrel_4,barrel,120,0.8125140062210411,0.8377912819932825,0.9022071309077366,0.8759328455806733,0.08969312468669555,0.06341883935963222
2,S0-SM_barrel_5,barrel,66,0.7263325317242741,0.7757575757575758,0.8388932150162725,0.8070538410427214,0.11256068329199831,0.08072130931844723
2,S0-SM_barrel_6,barrel,120,0.7770505134145723,0.8282295811442392,0.8769161018288317,0.8263491330167406,0.09986558841425941,0.0492986196021683
2,S0-SM_barrel_7,barrel,55,0.8095926542807498,0.8583333347229796,0.8987411359654364,0.8741295520494182,0.08914848168468659,0.06453689776866844
2,S0-SM_barrel_8,barrel,55,0.6961744197827996,0.7290909090909091,0.7963847032202086,0.7032132650531467,0.10021028343740901,0.007038845270347149
2,S0-SM_container_1,container,45,0.94580170309753,1.0,0.9755763885046562,0.9683731712227571,0.029774685407126245,0.022571468125227145
2,S0-SM_container_10,container,66,0.9473715140577696,0.9955439815291451,0.975838513757614,0.9696519482027746,0.028466999699844342,0.022280434145004913
2,S0-SM_container_11,container,120,0.9555942370716756,0.993307291691502,0.9828339608877015,0.975566671475898,0.027239723816025907,0.019972434404222472
2,S0-SM_container_12,container,36,0.9581863032238958,0.9822173999461494,0.9843507332239564,0.9774783654495541,0.026164430000060634,0.01929206222565838
2,S0-SM_container_13,container,91,0.9500015856744118,0.9820157425889747,0.9770591329466976,0.9703998425395336,0.02705754727228571,0.020398256865121756
2,S0-SM_container_14,container,45,0.9562330693462029,0.9785308652369328,0.9825059009261577,0.973044840511314,0.02627283157995486,0.016811771165111122
2,S0-SM_container_15,container,91,0.9512201704780096,0.9920712325214357,0.9801419156734156,0.9749119241590768,0.028921745195406023,0.02369175368106724
2,S0-SM_container_16,container,45,0.9598181014648983,0.9942126986056566,0.9842501376763819,0.9805801838190951,0.0244320362114836,0.020762082354196743
2,S0-SM_container_17,container,55,0.9530905946777022,0.986761111660678,0.9811082431345034,0.9770856702581112,0.028017648456801214,0.02399507558040903
2,S0-SM_container_18,container,78,0.9519542460710095,0.9950236988244543,0.9816973492263312,0.9760543628065198,0.029743103155321693,0.02410011673551027
2,S0-SM_container_2,container,21,0.9497295414575191,1.0,0.9803000944965972,0.9725330438345303,0.030570553039078074,0.02280350237701123
2,S0-SM_container_21,container,45,0.9463288439150337,0.9825308650106559,0.9762935424948072,0.9637471270925239,0.029964698579773463,0.017418283177490168
