drone_count,target_class,scene_count,oracle_best_available_quality,fusion_noisy_or_max_iou_quality,fusion_support_weighted_or_quality,gap_noisy_or_vs_oracle,gap_support_weighted_vs_oracle
2,barrel,20,0.7651367482231577,0.8560290526996956,0.7820537367718655,0.09089230447653796,0.016916988548707823
2,container,22,0.9520764225980866,0.980186329011401,0.9696264158933597,0.028109906413314456,0.01754999329527318
2,male,20,0.7485098216220201,0.8490999004210924,0.7950243591502417,0.10059007879907234,0.046514537528221656
2,rock,21,0.9584601492199696,0.9832056665074934,0.9690003141986469,0.024745517287523833,0.010540164978677269
2,suv,22,0.9175173536495077,0.9571509542425062,0.9098507469690087,0.039633600592998475,-0.007666606680499011
2,tank,20,0.9138052739263278,0.9580070783839654,0.913602098167891,0.04420180445763755,-0.00020317575843686875
2,tent,18,0.9667444730154067,0.9876411622328105,0.9822734612055465,0.02089668921740384,0.015528988190139814
2,tower,13,0.962554218733088,0.9852332410725799,0.9776952194727719,0.022679022339491928,0.01514100073968394
2,tree,30,0.9521442464068416,0.9801346322651542,0.9670187634907539,0.027990385858312594,0.014874517083912298
2,whitevan,19,0.9484143390044505,0.9759161692424853,0.9442391872501497,0.027501830238034763,-0.004175151754300832
3,barrel,20,0.7926116449546521,0.905347124407937,0.8022875092871049,0.11273547945328488,0.009675864332452822
3,container,22,0.9559488822757616,0.9842191215230337,0.9707908140446122,0.028270239247272122,0.014841931768850625
3,male,20,0.7713565595001847,0.8918317559430792,0.8176649002061103,0.1204751964428945,0.0463083407059256
3,rock,21,0.9622370036356183,0.9870039008697313,0.9701060396865615,0.024766897234113072,0.007869036050943246
3,suv,22,0.9287224404713171,0.9719097233497767,0.9141100164148278,0.04318728287845952,-0.014612424056489326
3,tank,20,0.9284059324535363,0.9723318077149663,0.917249455984078,0.04392587526142999,-0.011156476469458276
3,tent,18,0.9694305675059641,0.9898165883237908,0.9829092236292603,0.0203860208178267,0.013478656123296129
3,tower,13,0.965540849545852,0.9882287452331749,0.9785747946559664,0.02268789568732299,0.013033945110114464
3,tree,30,0.9567790302837834,0.984823986793387,0.9681152315331432,0.02804495650960359,0.011336201249359745
3,whitevan,19,0.9549786729474359,0.9832333038930505,0.9461909551270213,0.028254630945614645,-0.008787717820414542
