target_class,viewpoint,elevation,radius,azimuth,scene_count,sample_count,mean_target_ap50_95,mean_target_strict_quality_iou50,mean_target_match_confidence_iou50,target_visible_rate,target_detected_rate
barrel,elhigh-radnear-az315,high,near,315,3,3,0.6875,0.6863429580664722,0.8257931272188822,1.0,1.0
barrel,elmid-radfar-az000,mid,far,0,1,1,0.7,0.6814616568724219,0.828278124332428,1.0,1.0
barrel,elhigh-radfar-az000,high,far,0,1,1,0.8,0.6789681384816468,0.7662369608879089,1.0,1.0
barrel,elhigh-radnear-az225,high,near,225,4,4,0.690625,0.6672795591823544,0.8113858103752136,1.0,1.0
barrel,ellow-radfar-az180,low,far,180,3,3,0.5666666666666668,0.6605332834248543,0.8008985718091329,1.0,1.0
barrel,elhigh-radmid-az135,high,mid,135,5,5,0.6158333335071802,0.6589550242529633,0.8063828706741333,1.0,1.0
barrel,elhigh-radmid-az045,high,mid,45,4,4,0.6325892865391713,0.6578071002806407,0.8331214934587479,1.0,1.0
barrel,ellow-radmid-az045,low,mid,45,6,6,0.6118634261190892,0.656205737863481,0.7283123731613159,0.8333333333333334,0.8333333333333334
barrel,elhigh-radfar-az225,high,far,225,3,3,0.6791666669150193,0.6554165490727103,0.7794494231541952,1.0,1.0
barrel,elhigh-radmid-az270,high,mid,270,4,4,0.6645833333954214,0.65204206394296,0.8103770911693573,1.0,1.0
barrel,elmid-radfar-az180,mid,far,180,2,2,0.6,0.6490249026940056,0.8369109034538269,1.0,1.0
barrel,ellow-radfar-az000,low,far,0,7,7,0.6169642864327346,0.6387903790365428,0.7308875322341919,0.8571428571428571,0.8571428571428571
barrel,elhigh-radmid-az225,high,mid,225,2,2,0.6,0.6348066063965785,0.8078014850616455,1.0,1.0
barrel,elhigh-radfar-az090,high,far,90,2,2,0.6650000000372529,0.6321071372557441,0.7882197797298431,1.0,1.0
barrel,elhigh-radmid-az090,high,mid,90,3,3,0.5916666666666667,0.6319537838863477,0.8430646061897278,1.0,1.0
barrel,ellow-radnear-az045,low,near,45,4,4,0.6250000014901161,0.620689558272228,0.6744024604558945,0.75,0.75
barrel,elhigh-radfar-az045,high,far,45,1,1,0.6388888941870796,0.6118216001928829,0.8445103168487549,1.0,1.0
barrel,elhigh-radfar-az135,high,far,135,1,1,0.8,0.6113819963685536,0.7096485495567322,1.0,1.0
barrel,elmid-radfar-az135,mid,far,135,4,4,0.459114583581686,0.6067207436829154,0.8171917349100113,1.0,1.0
barrel,ellow-radfar-az135,low,far,135,7,7,0.5893353184892073,0.6024876655331138,0.7119137559618268,0.8571428571428571,0.8571428571428571
barrel,ellow-radmid-az090,low,mid,90,3,3,0.5370370380028531,0.5299663080234952,0.5835317770640055,0.6666666666666666,0.6666666666666666
barrel,ellow-radmid-az000,low,mid,0,3,3,0.5,0.4914830395556784,0.5787349144617716,0.6666666666666666,0.6666666666666666
barrel,ellow-radfar-az225,low,far,225,3,3,0.39365079452594126,0.40809666683242324,0.5422888994216919,0.6666666666666666,0.6666666666666666
barrel,ellow-radfar-az315,low,far,315,2,2,0.3828125,0.39048631590056004,0.4218805432319641,0.5,0.5
barrel,ellow-radmid-az180,low,mid,180,2,2,0.3,0.33405611527240353,0.4305947422981262,0.5,0.5
barrel,ellow-radfar-az270,low,far,270,5,5,0.12,0.12868286655710648,0.16779682636260987,0.2,0.2
container,ellow-radnear-az270,low,near,270,1,1,1.0,0.9761259281592061,0.9859762191772461,1.0,1.0
container,elmid-radnear-az045,mid,near,45,3,3,0.9422619063407183,0.9646992273980454,0.9734254678090414,1.0,1.0
container,elmid-radnear-az000,mid,near,0,3,3,0.9244791666666666,0.9607410667999758,0.9754082560539246,1.0,1.0
container,elmid-radmid-az090,mid,mid,90,9,9,0.9557268546074629,0.9605792531959827,0.9729804661538866,1.0,1.0
container,elmid-radnear-az135,mid,near,135,1,1,1.0,0.9601467543150761,0.9758467674255371,1.0,1.0
container,elmid-radmid-az315,mid,mid,315,3,3,1.0,0.9597832418759088,0.973674992720286,1.0,1.0
container,elmid-radnear-az090,mid,near,90,2,2,0.9921875,0.9587261219716083,0.9730216264724731,1.0,1.0
