target_class,viewpoint_pair,viewpoint_1,viewpoint_2,scene_count,mean_viewpoint_1_target_ap50_95,mean_viewpoint_2_target_ap50_95,expected_pair_or_target_ap50_95,best_single_target_ap50_95_on_matched_scenes,pair_complementarity_gain_target_ap50_95,mean_viewpoint_1_target_strict_quality_iou50,mean_viewpoint_2_target_strict_quality_iou50,expected_pair_or_target_strict_quality_iou50,best_single_target_strict_quality_iou50_on_matched_scenes,pair_complementarity_gain_target_strict_quality_iou50,mean_viewpoint_1_target_match_confidence_iou50,mean_viewpoint_2_target_match_confidence_iou50,expected_pair_or_target_match_confidence_iou50,best_single_target_match_confidence_iou50_on_matched_scenes,pair_complementarity_gain_target_match_confidence_iou50,viewpoint_1_scene_win_rate,viewpoint_2_scene_win_rate,tie_rate
barrel,ellow-radnear-az225 + elmid-radmid-az225,ellow-radnear-az225,elmid-radmid-az225,4,0.872206178045089,0.9172061013057828,0.9429873513057828,0.9172061013057828,0.025781249999999978,0.9363032420725625,0.9019392826463317,0.9392141905080935,0.9363032420725625,0.002910948435530969,0.9698032140731812,0.9452915638685226,0.9699019640684128,0.9698032140731812,9.874999523162842e-05,0.75,0.25,0.0
container,ellow-radfar-az180 + elmid-radnear-az270,ellow-radfar-az180,elmid-radnear-az270,8,0.7356825438021416,0.9755208333954215,0.9824404767315302,0.9755208333954215,0.006919643336108727,0.9343949917472822,0.9536091346835311,0.9565128341641262,0.9536091346835311,0.002903699480595101,0.9608789458870888,0.9751972481608391,0.9751972481608391,0.9751972481608391,0.0,0.125,0.875,0.0
suv,elmid-radmid-az135 + elmid-radnear-az135,elmid-radmid-az135,elmid-radnear-az135,2,0.9091847071309627,0.7785907373120845,0.9091847071309627,0.9091847071309627,0.0,0.9386339358601852,0.950367543809989,0.9532697973813988,0.950367543809989,0.0029022535714098296,0.9602693915367126,0.9727485775947571,0.9727485775947571,0.9727485775947571,0.0,0.5,0.5,0.0
barrel,elhigh-radnear-az315 + ellow-radfar-az135,elhigh-radnear-az315,ellow-radfar-az135,3,0.8208333338300386,0.5535714287310839,0.8333333333333334,0.8208333338300386,0.012499999503294723,0.8290539881833183,0.7167961611507891,0.831944854658739,0.8290539881833183,0.0028908664754206947,0.9098362922668457,0.9156041542689005,0.9202027718226115,0.9156041542689005,0.0045986175537109375,0.6666666666666666,0.3333333333333333,0.0
container,elhigh-radnear-az315 + ellow-radnear-az045,elhigh-radnear-az315,ellow-radnear-az045,5,0.9725295165273815,0.8153960870914456,0.9725295165273815,0.9725295165273815,0.0,0.944907481564816,0.9573750465860918,0.9602616023842543,0.9573750465860918,0.002886555798162438,0.9674567341804504,0.9749657034873962,0.9756221890449523,0.9749657034873962,0.0006564855575561523,0.2,0.8,0.0
barrel,elhigh-radmid-az180 + elmid-radnear-az045,elhigh-radmid-az180,elmid-radnear-az045,5,0.8711833340488374,0.8979761872334141,0.9246833340264857,0.8979761872334141,0.026707146793071623,0.8913547068976705,0.9153637268855028,0.9182465695519845,0.9153637268855028,0.0028828426664816442,0.9336289286613464,0.9523305654525757,0.9523305654525757,0.9523305654525757,0.0,0.2,0.8,0.0
barrel,elhigh-radnear-az135 + ellow-radnear-az225,elhigh-radnear-az135,ellow-radnear-az225,9,0.8704365086792007,0.8669058662372423,0.9518485456444914,0.8704365086792007,0.08141203696529065,0.8581027945877638,0.9257901160816261,0.9286656568498436,0.9257901160816261,0.0028755407682174994,0.9238455560472276,0.9580258660846286,0.9580258660846286,0.9580258660846286,0.0,0.2222222222222222,0.7777777777777778,0.0
container,elhigh-radnear-az270 + ellow-radnear-az225,elhigh-radnear-az270,ellow-radnear-az225,8,0.970859375083819,0.7714667355513907,0.980234375083819,0.970859375083819,0.009375000000000022,0.9330095843670412,0.9536972089836873,0.9565678423588215,0.9536972089836873,0.0028706333751342683,0.9631915017962456,0.9762430638074875,0.9773892909288406,0.9762430638074875,0.0011462271213531494,0.25,0.75,0.0
container,elmid-radmid-az090 + elmid-radnear-az000,elmid-radmid-az090,elmid-radnear-az000,4,0.949427086537083,0.9271391371730715,0.9798735121730715,0.949427086537083,0.03044642563598854,0.9556263748938045,0.9441812592890715,0.9584936311383538,0.9556263748938045,0.00286725624454931,0.9707512855529785,0.9717708230018616,0.9730316251516342,0.9717708230018616,0.001260802149772644,0.75,0.25,0.0
male,ellow-radmid-az135 + elmid-radfar-az045,ellow-radmid-az135,elmid-radfar-az045,3,0.7250347246809138,0.80370370839481,0.9541666666666666,0.80370370839481,0.15046295827185663,0.8918901109072266,0.8442041562468425,0.8947553391030141,0.8918901109072266,0.0028652281957874948,0.9259158968925476,0.9051137963930765,0.9259158968925476,0.9259158968925476,0.0,0.6666666666666666,0.3333333333333333,0.0
rock,elhigh-radmid-az045 + elhigh-radmid-az225,elhigh-radmid-az045,elhigh-radmid-az225,7,0.9059027781976121,0.976785714498588,0.9821428573557309,0.976785714498588,0.005357142857142949,0.940573092365088,0.9439981169844829,0.946859426675945,0.9439981169844829,0.002861309691462144,0.9654015983854022,0.9669584972517831,0.9682657207761493,0.9669584972517831,0.0013072235243661856,0.42857142857142855,0.5714285714285714,0.0
container,ellow-radmid-az090 + elmid-radmid-az270,ellow-radmid-az090,elmid-radmid-az270,10,0.8548690124169838,0.908233296795187,0.9595274886660254,0.908233296795187,0.05129419187083839,0.9420262420193932,0.9382436832441406,0.9448843825743399,0.9420262420193932,0.0028581405549467087,0.9660198748111725,0.9653391361236572,0.968596625328064,0.9660198748111725,0.002576750516891546,0.6,0.4,0.0
barrel,elmid-radfar-az045 + elmid-radmid-az180,elmid-radfar-az045,elmid-radmid-az180,5,0.7961944449043108,0.8231944464478227,0.8586944449043109,0.8231944464478227,0.03549999845648821,0.7978332701167418,0.8333212208330807,0.8361722258835528,0.8333212208330807,0.0028510050504720885,0.8916353821754456,0.8984917163848877,0.9009150505065918,0.8984917163848877,0.002423334121704146,0.2,0.8,0.0
male,elhigh-radfar-az180 + elhigh-radmid-az135,elhigh-radfar-az180,elhigh-radmid-az135,4,0.9166666676600774,0.91875,0.91875,0.91875,0.0,0.90275339970189,0.8783868350060899,0.9055982937451441,0.90275339970189,0.0028448940432541647,0.9389909207820892,0.9345546662807465,0.9429352581501007,0.9389909207820892,0.003944337368011475,0.5,0.5,0.0
male,ellow-radfar-az270 + elmid-radmid-az045,ellow-radfar-az270,elmid-radmid-az045,6,0.6297136389376157,0.9106139791283979,0.9518948420187429,0.9106139791283979,0.04128086289034494,0.7644764520830923,0.9149044372581537,0.91774480350507,0.9149044372581537,0.002840366246916304,0.7948216398557028,0.9473754664262136,0.9492034614086151,0.9473754664262136,0.001827994982401493,0.3333333333333333,0.6666666666666666,0.0
barrel,ellow-radfar-az135 + ellow-radnear-az135,ellow-radfar-az135,ellow-radnear-az135,6,0.8659406570962283,0.8159459592445496,0.9159406570962282,0.8659406570962283,0.04999999999999993,0.8441529184963527,0.934596240221774,0.9374349156812567,0.934596240221774,0.002838675459482687,0.8944920500119528,0.9636228183905283,0.9648775160312653,0.9636228183905283,0.0012546976407369348,0.16666666666666666,0.8333333333333334,0.0
container,ellow-radnear-az135 + elmid-radfar-az090,ellow-radnear-az135,elmid-radfar-az090,4,0.8677777784773045,0.990625,0.9944444448583656,0.990625,0.003819444858365606,0.8836145004837697,0.9574126792098179,0.9602510873438366,0.9574126792098179,0.0028384081340186995,0.9480688720941544,0.9701714068651199,0.9737367630004883,0.9701714068651199,0.003565356135368347,0.5,0.5,0.0
container,elhigh-radnear-az270 + elmid-radnear-az180,elhigh-radnear-az270,elmid-radnear-az180,5,0.9150000017881392,0.990625,0.990625,0.990625,0.0,0.9160702378381835,0.9468967333303745,0.9497349888295105,0.9468967333303745,0.0028382554991359665,0.960097587108612,0.9713094353675842,0.9715156435966492,0.9713094353675842,0.00020620822906503022,0.6,0.4,0.0
barrel,ellow-radfar-az045 + elmid-radnear-az225,ellow-radfar-az045,elmid-radnear-az225,2,0.6666666730244954,0.95,0.95,0.95,0.0,0.8160921242067438,0.8702918213576805,0.8731264939886128,0.8702918213576805,0.002834672630932289,0.8847542405128479,0.9201662540435791,0.9201662540435791,0.9201662540435791,0.0,0.5,0.5,0.0
