target_class,viewpoint_pair,viewpoint_1,viewpoint_2,scene_count,mean_viewpoint_1_target_ap50_95,mean_viewpoint_2_target_ap50_95,expected_pair_or_target_ap50_95,best_single_target_ap50_95_on_matched_scenes,pair_complementarity_gain_target_ap50_95,mean_viewpoint_1_target_strict_quality_iou50,mean_viewpoint_2_target_strict_quality_iou50,expected_pair_or_target_strict_quality_iou50,best_single_target_strict_quality_iou50_on_matched_scenes,pair_complementarity_gain_target_strict_quality_iou50,mean_viewpoint_1_target_match_confidence_iou50,mean_viewpoint_2_target_match_confidence_iou50,expected_pair_or_target_match_confidence_iou50,best_single_target_match_confidence_iou50_on_matched_scenes,pair_complementarity_gain_target_match_confidence_iou50,viewpoint_1_scene_win_rate,viewpoint_2_scene_win_rate,tie_rate
barrel,ellow-radmid-az045 + elmid-radnear-az135,ellow-radmid-az045,elmid-radnear-az135,9,0.8583764590383732,0.8639927131042605,0.9088901258143378,0.8639927131042605,0.0448974127100773,0.8995720242363627,0.904903847818919,0.9149713790587745,0.904903847818919,0.010067531239855487,0.938917875289917,0.9412492050064935,0.9439496530426873,0.9412492050064935,0.0027004480361938477,0.3333333333333333,0.6666666666666666,0.0
barrel,elhigh-radfar-az000 + ellow-radfar-az180,elhigh-radfar-az000,ellow-radfar-az180,8,0.9484645813638796,0.6076632600204571,0.9499645812595714,0.9484645813638796,0.0014999998956918281,0.892331341619423,0.7841550260611077,0.9023084470380596,0.892331341619423,0.009977105418636611,0.933928020298481,0.8198985904455185,0.9409744888544083,0.933928020298481,0.007046468555927277,0.625,0.375,0.0
barrel,elhigh-radfar-az315 + ellow-radmid-az225,elhigh-radfar-az315,ellow-radmid-az225,9,0.9157786673864143,0.8159683173159334,0.9204378387371285,0.9157786673864143,0.004659171350714142,0.9243146298809946,0.8688186679544366,0.9341992435170643,0.9243146298809946,0.009884613636069739,0.9461269908481174,0.9165335694948832,0.9601966606246101,0.9461269908481174,0.01406966977649271,0.2222222222222222,0.7777777777777778,0.0
barrel,elhigh-radmid-az000 + elhigh-radnear-az225,elhigh-radmid-az000,elhigh-radnear-az225,9,0.9429471776799113,0.9539495162669129,0.9853175473482714,0.9539495162669129,0.03136803108135844,0.9186435385086118,0.9229399107556711,0.9327997728030238,0.9229399107556711,0.009859862047352785,0.9508381485939026,0.9496894015206231,0.9540323482619392,0.9508381485939026,0.003194199668036579,0.5555555555555556,0.4444444444444444,0.0
barrel,elmid-radmid-az270 + elmid-radnear-az270,elmid-radmid-az270,elmid-radnear-az270,14,0.9057242074392973,0.9342290253215839,0.9807787699595331,0.9342290253215839,0.04654974463794914,0.9084224271015291,0.9220229665271036,0.93170870927929,0.9220229665271036,0.009685742752186366,0.9500967732497624,0.9593578789915357,0.9595737712723869,0.9593578789915357,0.00021589228085117096,0.42857142857142855,0.5714285714285714,0.0
barrel,elmid-radmid-az000 + elmid-radnear-az270,elmid-radmid-az000,elmid-radnear-az270,8,0.776566635856772,0.8494097235095169,0.8655555564703212,0.8494097235095169,0.016145832960804296,0.8389969352753806,0.8419885328516119,0.8515038887523398,0.8419885328516119,0.00951535590072794,0.9147190973162651,0.9132332801818848,0.9224789962172508,0.9147190973162651,0.007759898900985718,0.375,0.625,0.0
male,elhigh-radfar-az045 + elmid-radmid-az180,elhigh-radfar-az045,elmid-radmid-az180,8,0.8856026798455665,0.9276732183447239,0.9521050357984172,0.9276732183447239,0.024431817453693272,0.9078827616057041,0.9070758341964202,0.9173497922832814,0.9078827616057041,0.00946703067757726,0.9418605715036392,0.944164901971817,0.9491258263587952,0.944164901971817,0.004960924386978149,0.375,0.625,0.0
barrel,elhigh-radmid-az225 + elmid-radmid-az000,elhigh-radmid-az225,elmid-radmid-az000,8,0.8463699518196811,0.9062468678677733,0.9677083337679505,0.9062468678677733,0.0614614659001772,0.8610536636684052,0.889913155207323,0.8993404467800294,0.889913155207323,0.009427291572706498,0.9234127029776573,0.9307261034846306,0.933413989841938,0.9307261034846306,0.002687886357307434,0.375,0.625,0.0
barrel,elhigh-radfar-az315 + ellow-radmid-az045,elhigh-radfar-az315,ellow-radmid-az045,8,0.9276432700746227,0.772231247460851,0.9370920160702533,0.9276432700746227,0.009448745995630614,0.9226124371312165,0.8681785044830126,0.9320077001218192,0.9226124371312165,0.00939526299060267,0.9443339854478836,0.9249229803681374,0.9564442187547684,0.9443339854478836,0.012110233306884766,0.5,0.5,0.0
barrel,elmid-radmid-az045 + elmid-radnear-az090,elmid-radmid-az045,elmid-radnear-az090,8,0.8639847895549364,0.8940833335357408,0.8987708339082698,0.8940833335357408,0.004687500372529074,0.8321407582503957,0.8433103834357722,0.8526954700671454,0.8433103834357722,0.009385086631373163,0.9054936021566391,0.9062061607837677,0.9135993868112564,0.9062061607837677,0.0073932260274887085,0.375,0.625,0.0
