target_class,viewpoint_triple,viewpoint_1,viewpoint_2,viewpoint_3,scene_count,expected_pair_12_target_ap50_95,expected_pair_13_target_ap50_95,expected_pair_23_target_ap50_95,expected_best_pair_target_ap50_95_on_matched_scenes,best_pair_for_target_ap50_95,expected_triple_or_target_ap50_95,third_view_gain_target_ap50_95,expected_pair_12_target_strict_quality_iou50,expected_pair_13_target_strict_quality_iou50,expected_pair_23_target_strict_quality_iou50,expected_best_pair_target_strict_quality_iou50_on_matched_scenes,best_pair_for_target_strict_quality_iou50,expected_triple_or_target_strict_quality_iou50,third_view_gain_target_strict_quality_iou50
barrel,elhigh-radfar-az180 + elmid-radfar-az225 + elmid-radmid-az135,elhigh-radfar-az180,elmid-radfar-az225,elmid-radmid-az135,3,0.8595238098253807,0.9666666666666667,0.9666666666666667,0.9666666666666667,elhigh-radfar-az180 + elmid-radmid-az135,0.9666666666666667,0.0,0.8365917768494953,0.8909211621976425,0.8909211621976425,0.8909211621976425,elhigh-radfar-az180 + elmid-radmid-az135,0.8909211621976425,0.0
male,elhigh-radmid-az180 + elhigh-radmid-az225 + ellow-radfar-az270,elhigh-radmid-az180,elhigh-radmid-az225,ellow-radfar-az270,3,0.9592592598111541,0.9592592598111541,0.90625,0.9592592598111541,elhigh-radmid-az180 + elhigh-radmid-az225,0.9592592598111541,0.0,0.8906936810960602,0.8885021665709564,0.8771413056694589,0.8906936810960602,elhigh-radmid-az180 + elhigh-radmid-az225,0.8906936810960602,0.0
male,elhigh-radmid-az180 + ellow-radfar-az225 + elmid-radnear-az090,elhigh-radmid-az180,ellow-radfar-az225,elmid-radnear-az090,3,0.8708333363963497,0.9208333333333334,0.9083333333333333,0.9208333333333334,elhigh-radmid-az180 + elmid-radnear-az090,0.9208333333333334,0.0,0.8406282739965363,0.8905435928739523,0.8905435928739523,0.8905435928739523,elhigh-radmid-az180 + elmid-radnear-az090,0.8905435928739523,0.0
barrel,elhigh-radfar-az225 + elhigh-radmid-az135 + ellow-radnear-az225,elhigh-radfar-az225,elhigh-radmid-az135,ellow-radnear-az225,3,0.7345114090790351,0.8365947421640157,0.822820297349371,0.8365947421640157,elhigh-radfar-az225 + ellow-radnear-az225,0.8365947421640157,0.0,0.783670205311425,0.8857336687807754,0.8904811036984732,0.8904811036984732,elhigh-radmid-az135 + ellow-radnear-az225,0.8904811036984732,0.0
male,elhigh-radmid-az135 + elmid-radmid-az000 + elmid-radnear-az315,elhigh-radmid-az135,elmid-radmid-az000,elmid-radnear-az315,3,0.9583333333333334,0.9208333333333334,0.9583333333333334,0.9583333333333334,elhigh-radmid-az135 + elmid-radmid-az000,0.9583333333333334,0.0,0.8804262094770282,0.8898798778234737,0.8903535488453885,0.8903535488453885,elmid-radmid-az000 + elmid-radnear-az315,0.8903535488453885,0.0
male,ellow-radmid-az045 + ellow-radmid-az135 + elmid-radfar-az090,ellow-radmid-az045,ellow-radmid-az135,elmid-radfar-az090,3,0.8869047626852989,0.8318888939370712,0.8869047626852989,0.8869047626852989,ellow-radmid-az045 + ellow-radmid-az135,0.8869047626852989,0.0,0.8897775585198046,0.8844130164157539,0.8666217312456806,0.8897775585198046,ellow-radmid-az045 + ellow-radmid-az135,0.8897775585198046,0.0
barrel,elhigh-radmid-az045 + elhigh-radnear-az180 + elmid-radnear-az270,elhigh-radmid-az045,elhigh-radnear-az180,elmid-radnear-az270,3,0.9402777778605621,0.9125,0.9402777778605621,0.9402777778605621,elhigh-radmid-az045 + elhigh-radnear-az180,0.9402777778605621,0.0,0.8821040722407479,0.8849209613790947,0.8897661628913909,0.8897661628913909,elhigh-radnear-az180 + elmid-radnear-az270,0.8897661628913909,0.0
male,elhigh-radnear-az090 + elhigh-radnear-az270 + ellow-radfar-az090,elhigh-radnear-az090,elhigh-radnear-az270,ellow-radfar-az090,3,0.9125000011175871,0.9018518540483934,0.9125000011175871,0.9125000011175871,elhigh-radnear-az090 + elhigh-radnear-az270,0.9125000011175871,0.0,0.8896222986205989,0.8837494210058748,0.8850049126650413,0.8896222986205989,elhigh-radnear-az090 + elhigh-radnear-az270,0.8896222986205989,0.0
male,elhigh-radmid-az000 + ellow-radmid-az000 + elmid-radmid-az000,elhigh-radmid-az000,ellow-radmid-az000,elmid-radmid-az000,3,0.867407408411856,0.867407408411856,0.8269312167624948,0.867407408411856,elhigh-radmid-az000 + ellow-radmid-az000,0.867407408411856,0.0,0.8840958559547367,0.8894380274626231,0.8894380274626231,0.8894380274626231,elhigh-radmid-az000 + elmid-radmid-az000,0.8894380274626231,0.0
barrel,elhigh-radmid-az270 + elhigh-radnear-az045 + elmid-radfar-az180,elhigh-radmid-az270,elhigh-radnear-az045,elmid-radfar-az180,4,0.9152730855857953,0.8783422462238786,0.9152730855857953,0.9152730855857953,elhigh-radmid-az270 + elhigh-radnear-az045,0.9152730855857953,0.0,0.8881555899354243,0.8756376588794357,0.889411875301171,0.889411875301171,elhigh-radnear-az045 + elmid-radfar-az180,0.889411875301171,0.0
male,elhigh-radmid-az225 + elhigh-radnear-az180 + elmid-radnear-az180,elhigh-radmid-az225,elhigh-radnear-az180,elmid-radnear-az180,3,0.9041666666666667,0.8333333333333334,0.9041666666666667,0.9041666666666667,elhigh-radmid-az225 + elhigh-radnear-az180,0.9041666666666667,0.0,0.8768571663318051,0.8867399018829355,0.889225917782376,0.889225917782376,elhigh-radnear-az180 + elmid-radnear-az180,0.889225917782376,0.0
male,elhigh-radfar-az090 + elhigh-radmid-az315 + ellow-radmid-az000,elhigh-radfar-az090,elhigh-radmid-az315,ellow-radmid-az000,3,0.9185185192911712,0.9666666666666667,0.9666666666666667,0.9666666666666667,elhigh-radfar-az090 + ellow-radmid-az000,0.9666666666666667,0.0,0.8655300842728645,0.8891605040560234,0.888581385102705,0.8891605040560234,elhigh-radfar-az090 + ellow-radmid-az000,0.8891605040560234,0.0
container,elhigh-radmid-az315 + elhigh-radnear-az090 + elmid-radnear-az180,elhigh-radmid-az315,elhigh-radnear-az090,elmid-radnear-az180,3,0.8634259264778207,0.8666666666666667,0.8708333333333332,0.8708333333333332,elhigh-radnear-az090 + elmid-radnear-az180,0.8708333333333332,0.0,0.8499485106046597,0.8891483569323597,0.8891483569323597,0.8891483569323597,elhigh-radmid-az315 + elmid-radnear-az180,0.8891483569323597,0.0
barrel,elhigh-radfar-az000 + elmid-radmid-az045 + elmid-radmid-az270,elhigh-radfar-az000,elmid-radmid-az045,elmid-radmid-az270,3,0.9208333333333334,0.9541666666666666,0.9541666666666666,0.9541666666666666,elhigh-radfar-az000 + elmid-radmid-az270,0.9541666666666666,0.0,0.8638237736414306,0.8840652975450922,0.8890995532258389,0.8890995532258389,elmid-radmid-az045 + elmid-radmid-az270,0.8890995532258389,0.0
male,elhigh-radmid-az045 + ellow-radfar-az000 + elmid-radmid-az000,elhigh-radmid-az045,ellow-radfar-az000,elmid-radmid-az000,3,0.8939166669448216,0.9583333333333334,0.9583333333333334,0.9583333333333334,elhigh-radmid-az045 + elmid-radmid-az000,0.9583333333333334,0.0,0.8378831832985357,0.8889182448263521,0.8889182448263521,0.8889182448263521,elhigh-radmid-az045 + elmid-radmid-az000,0.8889182448263521,0.0
container,elhigh-radnear-az090 + elhigh-radnear-az135 + elmid-radnear-az270,elhigh-radnear-az090,elhigh-radnear-az135,elmid-radnear-az270,3,0.8888888895511627,0.904444445338514,0.904444445338514,0.904444445338514,elhigh-radnear-az090 + elmid-radnear-az270,0.904444445338514,0.0,0.8725744987317169,0.8809265121679223,0.8888371791993054,0.8888371791993054,elhigh-radnear-az135 + elmid-radnear-az270,0.8888371791993054,0.0
barrel,ellow-radnear-az045 + ellow-radnear-az270 + elmid-radmid-az270,ellow-radnear-az045,ellow-radnear-az270,elmid-radmid-az270,3,0.7557098810503513,0.8916666669150194,0.8916666669150194,0.8916666669150194,ellow-radnear-az045 + elmid-radmid-az270,0.8916666669150194,0.0,0.8887999394859255,0.8814495678631301,0.8797192644901889,0.8887999394859255,ellow-radnear-az045 + ellow-radnear-az270,0.8887999394859255,0.0
barrel,ellow-radfar-az000 + ellow-radmid-az090 + ellow-radnear-az000,ellow-radfar-az000,ellow-radmid-az090,ellow-radnear-az000,3,0.9037037046695197,0.8714814829605597,0.9481481485344746,0.9481481485344746,ellow-radmid-az090 + ellow-radnear-az000,0.9481481485344746,0.0,0.8616483070121758,0.8701254856305489,0.8887136884115941,0.8887136884115941,ellow-radmid-az090 + ellow-radnear-az000,0.8887136884115941,0.0
barrel,elhigh-radnear-az135 + ellow-radmid-az045 + ellow-radnear-az045,elhigh-radnear-az135,ellow-radmid-az045,ellow-radnear-az045,3,0.9194444445272287,0.9,0.8905092602250754,0.9194444445272287,elhigh-radnear-az135 + ellow-radmid-az045,0.9194444445272287,0.0,0.8886373179434924,0.8731184673562721,0.8883209342425028,0.8886373179434924,elhigh-radnear-az135 + ellow-radmid-az045,0.8886373179434924,0.0
barrel,elhigh-radnear-az135 + ellow-radmid-az045 + elmid-radmid-az180,elhigh-radnear-az135,ellow-radmid-az045,elmid-radmid-az180,3,0.9194444445272287,0.8555555562178294,0.8972222223877907,0.9194444445272287,elhigh-radnear-az135 + ellow-radmid-az045,0.9194444445272287,0.0,0.8886373179434924,0.8172804515119765,0.8883209342425028,0.8886373179434924,elhigh-radnear-az135 + ellow-radmid-az045,0.8886373179434924,0.0
