viewpoint,scene_count,sample_count,target_visible_rate,target_found_rate,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,absent_view_count,false_alarm_rate_when_target_absent,manifest_train_images,manifest_val_images,manifest_test_images
ellow-radnear-az000,35,35,0.9142857142857143,0.9142857142857143,0.7719857478323442,0.8296687708935887,0.8720060127122061,3,0.3333333333333333,141,29,35
ellow-radnear-az045,32,32,0.96875,0.96875,0.7916880877488965,0.8971224627147438,0.9269900098443031,1,0.0,146,27,32
ellow-radnear-az090,32,32,1.0,1.0,0.8485322125212844,0.9094453527842968,0.9551473651081324,0,0.0,148,25,32
ellow-radnear-az135,32,32,1.0,1.0,0.8764634217007157,0.9251432507259009,0.9596788734197617,0,0.0,148,25,32
ellow-radnear-az180,39,39,0.9487179487179487,0.9487179487179487,0.8000259317383128,0.8734431234640052,0.9035053956202972,2,0.0,135,31,39
ellow-radnear-az225,36,36,1.0,1.0,0.8585031392068458,0.9422698168641391,0.9678751445478864,0,0.0,139,30,36
ellow-radnear-az270,30,30,0.9666666666666667,0.9666666666666667,0.7783753879723747,0.8906602007951817,0.9181212941805522,1,1.0,150,25,30
ellow-radnear-az315,29,29,0.9655172413793104,0.9655172413793104,0.8081763111201424,0.8596479500500089,0.9213548343757103,1,0.0,140,36,29
ellow-radmid-az000,31,31,0.9354838709677419,0.9354838709677419,0.7389956506975638,0.8368998104301066,0.8780882954597473,2,0.0,147,27,31
ellow-radmid-az045,37,37,0.9459459459459459,0.9459459459459459,0.7552149865218167,0.8364017477807015,0.8832993990666157,2,0.0,143,25,37
ellow-radmid-az090,32,32,0.9375,0.9375,0.7510242319267016,0.841288041614738,0.8810465279966593,2,0.0,147,26,32
ellow-radmid-az135,30,30,0.9333333333333333,0.9333333333333333,0.7768196805426065,0.8226393198726646,0.8745723704497019,2,0.0,146,29,30
ellow-radmid-az180,21,21,0.9523809523809523,0.9523809523809523,0.7245926032250074,0.8616092318182323,0.8985433351425898,1,0.0,152,32,21
ellow-radmid-az225,29,29,0.9310344827586207,0.9310344827586207,0.7389009151067059,0.8255299704416494,0.872074700635055,2,0.5,155,21,29
ellow-radmid-az270,26,26,0.9615384615384616,0.9615384615384616,0.8232399069741068,0.8804566067770992,0.9149148831000695,1,0.0,142,37,26
ellow-radmid-az315,33,33,1.0,1.0,0.8816379968561886,0.926455908994406,0.9577774279045336,0,0.0,152,20,33
ellow-radfar-az000,39,39,0.9230769230769231,0.9230769230769231,0.7268851492390102,0.8034095371747858,0.851168039517525,3,0.0,136,30,39
ellow-radfar-az045,22,22,0.9545454545454546,0.9545454545454546,0.7062323675506756,0.8089307169448573,0.8774843215942383,1,0.0,148,35,22
ellow-radfar-az090,28,28,0.9285714285714286,0.9285714285714286,0.7264335852327901,0.8165494316422262,0.8607013097831181,2,0.0,140,37,28
ellow-radfar-az135,36,36,0.9444444444444444,0.9444444444444444,0.7317797763994801,0.7766151696698516,0.856710852848159,2,0.0,145,24,36
ellow-radfar-az180,25,25,0.96,0.96,0.7695561731382309,0.8611496800146489,0.9022188258171081,1,0.0,145,35,25
ellow-radfar-az225,30,30,0.9333333333333333,0.9333333333333333,0.670843147244176,0.7785229607420039,0.8344523251056671,2,0.0,141,34,30
ellow-radfar-az270,32,32,0.84375,0.84375,0.610903836640479,0.7292866114635945,0.7852726839482784,5,0.0,137,36,32
ellow-radfar-az315,28,28,0.8928571428571429,0.8928571428571429,0.7391064342960014,0.74552128459872,0.7946598002953189,3,0.0,149,28,28
elmid-radnear-az000,21,21,1.0,1.0,0.9263145329839101,0.9310569471536381,0.9638969273794264,0,0.0,148,36,21
