viewpoint,ellow-radnear-az000,ellow-radnear-az045,ellow-radnear-az090,ellow-radnear-az135,ellow-radnear-az180,ellow-radnear-az225,ellow-radnear-az270,ellow-radnear-az315,ellow-radmid-az000,ellow-radmid-az045,ellow-radmid-az090,ellow-radmid-az135,ellow-radmid-az180,ellow-radmid-az225,ellow-radmid-az270,ellow-radmid-az315,ellow-radfar-az000,ellow-radfar-az045,ellow-radfar-az090,ellow-radfar-az135,ellow-radfar-az180,ellow-radfar-az225,ellow-radfar-az270,ellow-radfar-az315,elmid-radnear-az000,elmid-radnear-az045,elmid-radnear-az090,elmid-radnear-az135,elmid-radnear-az180,elmid-radnear-az225,elmid-radnear-az270,elmid-radnear-az315,elmid-radmid-az000,elmid-radmid-az045,elmid-radmid-az090,elmid-radmid-az135,elmid-radmid-az180,elmid-radmid-az225,elmid-radmid-az270,elmid-radmid-az315,elmid-radfar-az000,elmid-radfar-az045,elmid-radfar-az090,elmid-radfar-az135,elmid-radfar-az180,elmid-radfar-az225,elmid-radfar-az270,elmid-radfar-az315,elhigh-radnear-az000,elhigh-radnear-az045,elhigh-radnear-az090,elhigh-radnear-az135,elhigh-radnear-az180,elhigh-radnear-az225,elhigh-radnear-az270,elhigh-radnear-az315,elhigh-radmid-az000,elhigh-radmid-az045,elhigh-radmid-az090,elhigh-radmid-az135,elhigh-radmid-az180,elhigh-radmid-az225,elhigh-radmid-az270,elhigh-radmid-az315,elhigh-radfar-az000,elhigh-radfar-az045,elhigh-radfar-az090,elhigh-radfar-az135,elhigh-radfar-az180,elhigh-radfar-az225,elhigh-radfar-az270,elhigh-radfar-az315
elmid-radnear-az045,0.838049,0.968819,0.972845,0.959000,0.984352,0.979322,0.956465,0.941268,0.980484,0.871162,0.882527,0.940529,0.863736,0.936489,0.937208,0.985114,0.914174,0.911438,0.964760,0.953488,0.981899,0.901503,0.676704,0.624900,0.989966,0.930102,0.949608,0.956187,0.984142,0.889077,0.941219,0.984464,0.964852,0.953956,0.969646,0.970373,0.938678,0.846936,0.961225,0.965111,0.980524,0.938337,0.930812,0.922065,0.972598,0.960599,0.926002,0.983612,0.968941,0.923651,0.923916,0.940791,0.987250,0.963855,0.971744,0.950507,0.968630,0.978754,0.938169,0.954802,0.950453,0.969553,0.931490,0.962319,0.972741,0.958068,0.946503,0.916256,0.985003,0.977539,0.969578,0.964162
elmid-radnear-az090,0.866184,0.933205,0.967849,0.982443,0.920608,0.952093,0.917999,0.911223,0.931454,0.876213,0.941821,0.929540,0.805858,0.897291,0.948988,0.967307,0.913761,0.735100,0.797378,0.855425,0.793448,0.890200,0.839303,0.825381,0.924665,0.949608,0.886206,0.956502,0.938356,0.898674,0.948184,0.932662,0.977139,0.910193,0.916479,0.873923,0.902689,0.882504,0.976103,0.859683,0.949836,0.868641,0.890584,0.902766,0.977653,0.897491,0.934180,0.899332,0.988429,0.979843,0.967737,0.856726,0.917093,0.947029,0.795747,0.883454,0.937077,0.920696,0.840277,0.899016,0.943759,0.924693,0.908308,0.932132,0.900993,0.920448,0.946888,0.961915,0.889763,0.902306,0.977361,0.960940
elmid-radnear-az135,0.968125,0.968190,0.979980,0.941270,0.966978,0.964465,0.978074,0.902693,0.973198,0.953069,0.958083,0.909899,0.972678,0.966580,0.951800,0.970366,0.938641,0.958013,0.950782,0.932996,0.979234,0.894485,0.976153,0.801069,0.957569,0.956187,0.956502,0.923357,0.955171,0.916530,0.945412,0.983091,0.960752,0.964798,0.943239,0.976190,0.927124,0.972795,0.956571,0.959226,0.962699,0.976935,0.947780,0.961385,0.932831,0.972306,0.919076,0.932793,0.968958,0.952791,0.967051,0.966430,0.984038,0.968221,0.967729,0.960779,0.954684,0.958415,0.934993,0.946043,0.962213,0.974434,0.882898,0.960192,0.962226,0.925183,0.967365,0.927230,0.983346,0.947513,0.938859,0.974870
elmid-radnear-az180,0.926624,0.885004,0.961598,0.952594,0.969898,0.948413,0.915500,0.908579,0.941943,0.844151,0.939473,0.850721,0.930993,0.864387,0.974662,0.973316,0.936874,0.944916,0.926384,0.896675,0.467209,0.879724,0.932239,0.936768,0.981437,0.984142,0.938356,0.955171,0.901173,0.967887,0.951530,0.937656,0.966429,0.959346,0.960697,0.846703,0.967210,0.959297,0.965127,0.942870,0.955600,0.855730,0.918730,0.920565,0.939475,0.949795,0.920098,0.946044,0.976614,0.977552,0.930850,0.921716,0.952745,0.971170,0.963091,0.905886,0.976766,0.978851,0.981846,0.925076,0.953773,0.930206,0.885991,0.944820,0.874571,0.937719,0.959497,0.970323,0.913270,0.919596,0.961123,0.985019
elmid-radnear-az225,0.753322,0.985947,0.983272,0.987539,0.886166,0.950810,0.989086,0.913446,0.828867,0.911838,0.982762,0.953364,0.819242,0.980234,0.718888,0.979604,0.869564,0.918079,0.991207,0.832913,,0.818389,0.585761,0.633753,0.924371,0.889077,0.898674,0.916530,0.967887,0.877092,0.984167,0.987171,0.982758,0.955739,0.949555,0.981291,0.974993,0.584126,0.981405,0.990136,0.987485,0.959779,0.841827,0.883137,0.966233,0.965049,0.975537,0.983478,0.980465,0.985180,0.974977,0.985161,0.958600,0.954050,0.944607,0.907117,0.943849,0.925064,0.886205,0.869147,0.948683,0.976484,0.845275,0.948819,0.980923,0.917629,0.929975,0.967723,0.983587,0.909964,0.952183,0.979371
elmid-radnear-az270,0.955295,0.952265,0.944889,0.950197,0.964487,0.977511,0.956791,0.982430,0.948230,0.934704,0.880612,0.975621,0.973892,0.755116,0.947441,0.972467,0.976978,0.915302,0.944658,0.928893,0.973976,0.832274,0.929658,0.833512,0.982728,0.941219,0.948184,0.945412,0.951530,0.984167,0.914245,0.987801,0.906665,0.963923,0.981064,0.940587,0.929619,0.981112,0.954109,0.959279,0.957146,0.917480,0.942766,0.977094,0.914204,0.979971,0.924567,0.947231,0.977194,0.924961,0.951819,0.954908,0.958666,0.981424,0.957244,0.963731,0.946926,0.923154,0.910064,0.975056,0.944782,0.971178,0.953201,0.976676,0.950071,0.953351,0.944804,0.951312,0.981001,0.961837,0.941069,0.948804
elmid-radnear-az315,0.987679,0.896797,0.940531,0.983685,0.837270,0.964977,0.959639,0.979330,0.952611,0.890980,0.975246,0.913776,0.929307,0.877115,0.981848,0.957592,0.962360,0.905317,0.975686,0.862816,0.982316,0.869741,0.924846,0.971883,0.978540,0.984464,0.932662,0.983091,0.937656,0.987171,0.987801,0.938288,0.960740,0.984180,0.973966,0.979671,0.982839,0.887768,0.949488,0.975643,0.985521,0.924259,0.984558,0.960232,0.982395,0.953657,0.885616,0.951914,0.981278,0.985330,0.980355,0.929726,0.989122,0.980662,0.984061,0.976665,0.962659,0.962664,0.959698,0.941727,0.942424,0.980498,0.931938,0.973546,0.879514,0.905941,0.942134,0.959290,0.935040,0.938830,0.975734,0.980046
elmid-radmid-az000,0.946363,0.952442,0.946843,0.933417,0.896216,0.959884,0.833265,0.815307,0.884034,0.934300,0.841425,0.868433,0.972875,0.786811,0.909305,0.960596,0.812374,0.903481,0.970304,0.892602,0.906579,0.802034,0.828899,0.906524,0.979532,0.964852,0.977139,0.960752,0.966429,0.982758,0.906665,0.960740,0.887477,0.946971,0.980820,0.974107,0.918359,0.919688,0.940707,0.943974,0.959618,0.945683,0.936448,0.921345,0.914995,0.934081,0.933083,0.925026,0.981000,0.918009,0.868418,0.938062,0.948363,0.947480,0.923818,0.927403,0.926323,0.921091,0.922722,0.950772,0.925501,0.932824,0.869539,0.971465,0.930380,0.882223,0.920597,0.949865,0.976154,0.974067,0.970967,0.916764
elmid-radmid-az045,0.814870,0.921841,0.956871,0.972947,0.956504,0.979470,0.965607,0.924840,0.909595,0.809172,0.973939,0.872290,0.955676,0.940591,0.942699,0.977725,0.809134,0.842432,0.882407,0.923102,0.855455,0.845972,0.870411,0.833874,0.967710,0.953956,0.910193,0.964798,0.959346,0.955739,0.963923,0.984180,0.946971,0.898972,0.949655,0.926502,0.908025,0.954005,0.948497,0.947672,0.940102,0.943084,0.842867,0.932840,0.950063,0.951514,0.922550,0.856610,0.983717,0.951347,0.969748,0.897486,0.930361,0.976166,0.859528,0.974602,0.957470,0.976137,0.874108,0.926043,0.904823,0.931215,0.928948,0.851013,0.937201,0.981145,0.948928,0.936913,0.883775,0.937830,0.976351,0.976713
elmid-radmid-az090,0.776071,0.926306,0.892356,0.942007,0.978218,0.979420,0.795515,0.907380,0.943511,0.941711,0.974777,0.891827,0.881682,0.970844,0.980874,0.982860,0.955653,0.917328,0.971968,0.940431,0.942827,0.959609,0.760363,0.930555,0.977075,0.969646,0.916479,0.943239,0.960697,0.949555,0.981064,0.973966,0.980820,0.949655,0.904438,0.976473,0.847515,0.903216,0.952120,0.916831,0.951767,0.917673,0.897990,0.966717,0.943263,0.956531,0.979063,0.982596,0.978275,0.848257,0.942550,0.928726,0.933765,0.966452,0.938260,0.983981,0.953603,0.945369,0.906235,0.927053,0.935882,0.953189,0.876452,0.976718,0.968415,0.958002,0.972927,0.989663,0.973303,0.969323,0.934991,
