group,target_class,subset_name,player_count,player_index,viewpoint,ring_id,elevation,radius,azimuth,rank,shapley_value,share_of_subset_value,singleton_subset_scene_value,mean_strict_quality_on_observed_rows,observed_scene_count,observed_scene_rate_within_subset,matched_scene_count,matched_scene_rate_within_subset,subset_scene_count,complete_subset_scene_count,max_views_seen_in_any_subset_scene,grand_value_all_players,empty_coalition_value
per_class,barrel,edges_az135_225,8,6,elmid-radfar-az225,elmid-radfar,mid,far,225,1,0.179535114481993,0.22190550832798833,0.2475556636204556,0.7426669908613668,5,0.3333333333333333,5,0.3333333333333333,15,0,4,0.8090610991802438,0.0
per_class,barrel,edges_az135_225,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,2,0.13800483558749643,0.1705740589027523,0.21965167475098776,0.6589550242529633,5,0.3333333333333333,5,0.3333333333333333,15,0,4,0.8090610991802438,0.0
per_class,barrel,edges_az135_225,8,3,elmid-radnear-az135,elmid-radnear,mid,near,135,3,0.10538076216454713,0.13025068473978163,0.16611747842455765,0.8305873921227883,3,0.2,3,0.2,15,0,4,0.8090610991802438,0.0
per_class,barrel,edges_az135_225,8,1,ellow-radmid-az135,ellow-radmid,low,mid,135,4,0.10222222900643933,0.1263467358769478,0.1473494382799392,0.736747191399696,3,0.2,3,0.2,15,0,4,0.8090610991802438,0.0
per_class,barrel,edges_az135_225,8,4,elmid-radnear-az225,elmid-radnear,mid,near,225,5,0.08626051884442933,0.10661805261905452,0.1422420298005022,0.7112101490025111,3,0.2,3,0.2,15,0,4,0.8090610991802438,0.0
per_class,barrel,edges_az135_225,8,5,elmid-radfar-az135,elmid-radfar,mid,far,135,6,0.0766242559736728,0.09470762597696263,0.1617921983154441,0.6067207436829154,4,0.26666666666666666,4,0.26666666666666666,15,0,4,0.8090610991802438,0.0
per_class,barrel,edges_az135_225,8,2,ellow-radmid-az225,ellow-radmid,low,mid,225,7,0.06052488279047994,0.07480879114297413,0.10125241288306815,0.7593930966230111,2,0.13333333333333333,2,0.13333333333333333,15,0,4,0.8090610991802438,0.0
per_class,barrel,edges_az135_225,8,8,elhigh-radmid-az225,elhigh-radmid,high,mid,225,8,0.06050850033118624,0.0747885424135391,0.08464088085287713,0.6348066063965785,2,0.13333333333333333,2,0.13333333333333333,15,0,4,0.8090610991802438,0.0
per_class,container,edges_az135_225,8,8,elhigh-radmid-az225,elhigh-radmid,high,mid,225,1,0.3324733634756457,0.3472488190332825,0.3783061237512861,0.9457653093782152,4,0.4,4,0.4,10,0,2,0.9574499472776592,0.0
per_class,container,edges_az135_225,8,4,elmid-radnear-az225,elmid-radnear,mid,near,225,2,0.23958986897438372,0.2502374872499763,0.28511367950887845,0.9503789316962615,3,0.3,3,0.3,10,0,2,0.9574499472776592,0.0
per_class,container,edges_az135_225,8,2,ellow-radmid-az225,ellow-radmid,low,mid,225,3,0.09472327721336946,0.09893287631661421,0.09472327721336952,0.9472327721336953,1,0.1,1,0.1,10,0,2,0.9574499472776592,0.0
per_class,container,edges_az135_225,8,1,ellow-radmid-az135,ellow-radmid,low,mid,135,4,0.09374928445829202,0.09791559832955408,0.09374928445829198,0.9374928445829198,1,0.1,1,0.1,10,0,2,0.9574499472776592,0.0
per_class,container,edges_az135_225,8,3,elmid-radnear-az135,elmid-radnear,mid,near,135,5,0.050181915155867125,0.05241205067539101,0.09601467543150762,0.9601467543150761,1,0.1,1,0.1,10,0,2,0.9574499472776592,0.0
per_class,container,edges_az135_225,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,6,0.04949138794647781,0.05169083573214232,0.09529553954944951,0.9529553954944951,1,0.1,1,0.1,10,0,2,0.9574499472776592,0.0
per_class,container,edges_az135_225,8,6,elmid-radfar-az225,elmid-radfar,mid,far,225,7,0.04905720327930035,0.05123735545527564,0.09486135488227206,0.9486135488227205,1,0.1,1,0.1,10,0,2,0.9574499472776592,0.0
per_class,container,edges_az135_225,8,5,elmid-radfar-az135,elmid-radfar,mid,far,135,8,0.048183646774323345,0.05032497720776431,0.09370745730881822,0.9370745730881822,1,0.1,1,0.1,10,0,2,0.9574499472776592,0.0
per_class,male,edges_az135_225,8,3,elmid-radnear-az135,elmid-radnear,mid,near,135,1,0.16748384652509193,0.23288932184432182,0.16748384652509182,0.7257633349420646,3,0.23076923076923078,3,0.23076923076923078,13,0,3,0.719156400983678,0.0
per_class,male,edges_az135_225,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,2,0.15030506583312503,0.20900191617224634,0.22100051794912462,0.7182516833346551,4,0.3076923076923077,4,0.3076923076923077,13,0,3,0.719156400983678,0.0
per_class,male,edges_az135_225,8,8,elhigh-radmid-az225,elhigh-radmid,high,mid,225,3,0.10727876995972087,0.14917307252356038,0.1489016764020422,0.6452405977421828,3,0.23076923076923078,3,0.23076923076923078,13,0,3,0.719156400983678,0.0
per_class,male,edges_az135_225,8,2,ellow-radmid-az225,ellow-radmid,low,mid,225,4,0.08555308258017214,0.11896311075469918,0.11418736408335033,0.49481191102785144,3,0.23076923076923078,2,0.15384615384615385,13,0,3,0.719156400983678,0.0
per_class,male,edges_az135_225,8,1,ellow-radmid-az135,ellow-radmid,low,mid,135,5,0.06139056702002782,0.08536469526803411,0.11485004178737877,0.746525271617962,2,0.15384615384615385,2,0.15384615384615385,13,0,3,0.719156400983678,0.0
per_class,male,edges_az135_225,8,4,elmid-radnear-az225,elmid-radnear,mid,near,225,6,0.060698975873587,0.08440302525370226,0.060698975873587156,0.789086686356633,1,0.07692307692307693,1,0.07692307692307693,13,0,3,0.719156400983678,0.0
per_class,male,edges_az135_225,8,5,elmid-radfar-az135,elmid-radfar,mid,far,135,7,0.046299972603214584,0.06438095043009345,0.09094363453919713,0.5911336245047814,2,0.15384615384615385,2,0.15384615384615385,13,0,3,0.719156400983678,0.0
