group,target_class,ring_id,viewpoint,azimuth,rank,shapley_value,share_of_ring_value,singleton_ring_scene_value,mean_strict_quality_on_observed_rows,observed_scene_count,observed_scene_rate_within_ring,matched_scene_count,matched_scene_rate_within_ring,ring_scene_count,complete_ring_scene_count,max_views_seen_in_any_ring_scene,grand_value_all_8_players,empty_coalition_value
per_class,barrel,ellow-radnear,ellow-radnear-az225,225,1,0.2003549342693322,0.2366087866959337,0.25483276636210095,0.8664314056311433,5,0.29411764705882354,5,0.29411764705882354,17,0,4,0.8467772353983144,0.0
per_class,barrel,ellow-radnear,ellow-radnear-az090,90,2,0.15914835340665548,0.1879459517257734,0.2558804394594515,0.869993494162135,5,0.29411764705882354,5,0.29411764705882354,17,0,4,0.8467772353983144,0.0
per_class,barrel,ellow-radnear,ellow-radnear-az000,0,3,0.14357148701795208,0.16955048035793935,0.25179484368429217,0.7134187237721612,6,0.35294117647058826,5,0.29411764705882354,17,0,4,0.8467772353983144,0.0
per_class,barrel,ellow-radnear,ellow-radnear-az180,180,4,0.11299945398935228,0.13344649485788151,0.14869476955120806,0.8426036941235123,3,0.17647058823529413,3,0.17647058823529413,17,0,4,0.8467772353983144,0.0
per_class,barrel,ellow-radnear,ellow-radnear-az045,45,5,0.08960420162418317,0.10581791512384527,0.1460446019464066,0.620689558272228,4,0.23529411764705882,3,0.17647058823529413,17,0,4,0.8467772353983144,0.0
per_class,barrel,ellow-radnear,ellow-radnear-az270,270,6,0.07358455325335819,0.08689954119839423,0.1457630622369283,0.8259906860092604,3,0.17647058823529413,3,0.17647058823529413,17,0,4,0.8467772353983144,0.0
per_class,barrel,ellow-radnear,ellow-radnear-az135,135,7,0.03663186926205306,0.04326033782051526,0.09471985373173991,0.8051187567197893,2,0.11764705882352941,2,0.11764705882352941,17,0,4,0.8467772353983144,0.0
per_class,barrel,ellow-radnear,ellow-radnear-az315,315,8,0.030882382575427466,0.03647049221971673,0.0965174648505504,0.8203984512296785,2,0.11764705882352941,2,0.11764705882352941,17,0,4,0.8467772353983144,0.0
per_class,barrel,ellow-radmid,ellow-radmid-az045,45,1,0.1940498303257221,0.2947798510092377,0.23160202512828743,0.656205737863481,6,0.35294117647058826,5,0.29411764705882354,17,0,2,0.6582872935899579,0.0
per_class,barrel,ellow-radmid,ellow-radmid-az135,135,2,0.11259764967957041,0.17104636649679378,0.13001421024700519,0.736747191399696,3,0.17647058823529413,3,0.17647058823529413,17,0,2,0.6582872935899579,0.0
per_class,barrel,ellow-radmid,ellow-radmid-az000,0,3,0.08673230109806102,0.13175448158063022,0.08673230109806089,0.4914830395556784,3,0.17647058823529413,2,0.11764705882352941,17,0,2,0.6582872935899579,0.0
per_class,barrel,ellow-radmid,ellow-radmid-az270,270,4,0.07425593167799459,0.11280170892110222,0.09265399367024518,0.787558946197084,2,0.11764705882352941,2,0.11764705882352941,17,0,2,0.6582872935899579,0.0
per_class,barrel,ellow-radmid,ellow-radmid-az225,225,5,0.07018623149827469,0.10661945351476457,0.08934036430858955,0.7593930966230111,2,0.11764705882352941,2,0.11764705882352941,17,0,2,0.6582872935899579,0.0
per_class,barrel,ellow-radmid,ellow-radmid-az090,90,6,0.056379634097071654,0.08564594007216263,0.09352346612179328,0.5299663080234952,3,0.17647058823529413,2,0.11764705882352941,17,0,2,0.6582872935899579,0.0
per_class,barrel,ellow-radmid,ellow-radmid-az180,180,7,0.039300719443812235,0.059701470507635766,0.03930071944381218,0.33405611527240353,2,0.11764705882352941,1,0.058823529411764705,17,0,2,0.6582872935899579,0.0
per_class,barrel,ellow-radmid,ellow-radmid-az315,315,8,0.024784995769451496,0.037650727897673625,0.044512267226738254,0.7567085428545504,1,0.058823529411764705,1,0.058823529411764705,17,0,2,0.6582872935899579,0.0
per_class,barrel,ellow-radfar,ellow-radfar-az135,135,1,0.19860278465528597,0.30079245529990206,0.23430075881843315,0.6024876655331138,7,0.3888888888888889,6,0.3333333333333333,18,0,3,0.6602651800467239,0.0
per_class,barrel,ellow-radfar,ellow-radfar-az000,0,2,0.19381028914447468,0.2935340148192574,0.2484184807364333,0.6387903790365428,7,0.3888888888888889,6,0.3333333333333333,18,0,3,0.6602651800467239,0.0
per_class,barrel,ellow-radfar,ellow-radfar-az180,180,3,0.09392676571791851,0.1422561245941695,0.11008888057080905,0.6605332834248543,3,0.16666666666666666,3,0.16666666666666666,18,0,3,0.6602651800467239,0.0
per_class,barrel,ellow-radfar,ellow-radfar-az045,45,4,0.07743230068089643,0.11727454819806932,0.11702373604382979,0.7021424162629787,3,0.16666666666666666,3,0.16666666666666666,18,0,3,0.6602651800467239,0.0
per_class,barrel,ellow-radfar,ellow-radfar-az225,225,5,0.05321377533637816,0.08059455040868954,0.0680161111387372,0.40809666683242324,3,0.16666666666666666,2,0.1111111111111111,18,0,3,0.6602651800467239,0.0
per_class,barrel,ellow-radfar,ellow-radfar-az315,315,6,0.028585032631036626,0.04329326079108669,0.04338736843339556,0.39048631590056004,2,0.1111111111111111,1,0.05555555555555555,18,0,3,0.6602651800467239,0.0
per_class,barrel,ellow-radfar,ellow-radfar-az270,270,7,0.014694231880733277,0.022255045888825205,0.03574524071030735,0.12868286655710648,5,0.2777777777777778,1,0.05555555555555555,18,0,3,0.6602651800467239,0.0
per_class,barrel,ellow-radfar,ellow-radfar-az090,90,8,0.0,0.0,0.0,nan,0,0.0,0,0.0,18,0,3,0.6602651800467239,0.0
per_class,barrel,elmid-radnear,elmid-radnear-az090,90,1,0.19353614894056997,0.22705739547795237,0.28430586182708045,0.7818411200244713,4,0.36363636363636365,4,0.36363636363636365,11,0,4,0.8523666385460792,0.0
per_class,barrel,elmid-radnear,elmid-radnear-az135,135,2,0.14792281565294027,0.1735436477256536,0.2265238342153059,0.8305873921227883,3,0.2727272727272727,3,0.2727272727272727,11,0,4,0.8523666385460792,0.0
per_class,barrel,elmid-radnear,elmid-radnear-az270,270,3,0.13666092467884547,0.16033115152413083,0.1366609246788454,0.7516350857336498,2,0.18181818181818182,2,0.18181818181818182,11,0,4,0.8523666385460792,0.0
per_class,barrel,elmid-radnear,elmid-radnear-az315,315,4,0.11722548483152338,0.13752941460904694,0.14876695271179455,0.8182182399148701,2,0.18181818181818182,2,0.18181818181818182,11,0,4,0.8523666385460792,0.0
per_class,barrel,elmid-radnear,elmid-radnear-az225,225,5,0.08440524720197845,0.09902457860851094,0.19396640427341214,0.7112101490025111,3,0.2727272727272727,3,0.2727272727272727,11,0,4,0.8523666385460792,0.0
per_class,barrel,elmid-radnear,elmid-radnear-az180,180,6,0.08241807681330254,0.09669322224282127,0.14354574011411358,0.7895015706276247,2,0.18181818181818182,2,0.18181818181818182,11,0,4,0.8523666385460792,0.0
per_class,barrel,elmid-radnear,elmid-radnear-az045,45,7,0.0690221390336116,0.0809770536671236,0.14154300387976448,0.7784865213387047,2,0.18181818181818182,2,0.18181818181818182,11,0,4,0.8523666385460792,0.0
per_class,barrel,elmid-radnear,elmid-radnear-az000,0,8,0.02117580139330717,0.024843536144760082,0.06919999551435554,0.761199950657911,1,0.09090909090909091,1,0.09090909090909091,11,0,4,0.8523666385460792,0.0
per_class,barrel,elmid-radmid,elmid-radmid-az000,0,1,0.2630421756324806,0.3236069049153196,0.3555464161215004,0.7618851774032152,7,0.4666666666666667,7,0.4666666666666667,15,0,4,0.8128447558970122,0.0
per_class,barrel,elmid-radmid,elmid-radmid-az090,90,2,0.11639971143660827,0.1432004212269977,0.14531051990580698,0.7265525995290348,3,0.2,3,0.2,15,0,4,0.8128447558970122,0.0
per_class,barrel,elmid-radmid,elmid-radmid-az315,315,3,0.11031841384088367,0.1357189217750961,0.24381416148396937,0.7314424844519081,5,0.3333333333333333,5,0.3333333333333333,15,0,4,0.8128447558970122,0.0
per_class,barrel,elmid-radmid,elmid-radmid-az270,270,4,0.10942543828867453,0.13462034108581833,0.19663170664319599,0.737368899911985,4,0.26666666666666666,4,0.26666666666666666,15,0,4,0.8128447558970122,0.0
per_class,barrel,elmid-radmid,elmid-radmid-az225,225,5,0.09138918622259029,0.11243129214967752,0.14139776991345177,0.7069888495672588,3,0.2,3,0.2,15,0,4,0.8128447558970122,0.0
per_class,barrel,elmid-radmid,elmid-radmid-az180,180,6,0.07422559859487987,0.09131583621151428,0.19320979892188983,0.7245367459570868,4,0.26666666666666666,4,0.26666666666666666,15,0,4,0.8128447558970122,0.0
per_class,barrel,elmid-radmid,elmid-radmid-az045,45,7,0.02934329343972933,0.03609950513532886,0.09813875184451343,0.7360406388338507,2,0.13333333333333333,2,0.13333333333333333,15,0,4,0.8128447558970122,0.0
per_class,barrel,elmid-radmid,elmid-radmid-az135,135,8,0.018700938441165688,0.023006777500247665,0.05532861633074759,0.8299292449612139,1,0.06666666666666667,1,0.06666666666666667,15,0,4,0.8128447558970122,0.0
per_class,barrel,elmid-radfar,elmid-radfar-az225,225,1,0.18224307345909152,0.2393757688244599,0.28564115033129495,0.7426669908613668,5,0.38461538461538464,5,0.38461538461538464,13,0,3,0.7613263211813841,0.0
per_class,barrel,elmid-radfar,elmid-radfar-az090,90,2,0.16395303808122397,0.2153518583553117,0.21971535946168347,0.7140749182504713,4,0.3076923076923077,4,0.3076923076923077,13,0,3,0.7613263211813841,0.0
per_class,barrel,elmid-radfar,elmid-radfar-az135,135,3,0.162778250620443,0.21380877830133693,0.18668330574858935,0.6067207436829154,4,0.3076923076923077,4,0.3076923076923077,13,0,3,0.7613263211813841,0.0
per_class,barrel,elmid-radfar,elmid-radfar-az045,45,4,0.09364327648980478,0.12300018255574603,0.1754895574459939,0.7604547489326402,3,0.23076923076923078,3,0.23076923076923078,13,0,3,0.7613263211813841,0.0
per_class,barrel,elmid-radfar,elmid-radfar-az180,180,5,0.05914090359061186,0.07768141195859389,0.09984998502984702,0.6490249026940056,2,0.15384615384615385,2,0.15384615384615385,13,0,3,0.7613263211813841,0.0
per_class,barrel,elmid-radfar,elmid-radfar-az315,315,6,0.03496478948115923,0.04592615348816891,0.05539259189911132,0.7201036946884471,1,0.07692307692307693,1,0.07692307692307693,13,0,3,0.7613263211813841,0.0
per_class,barrel,elmid-radfar,elmid-radfar-az270,270,7,0.032464141028608055,0.04264155871851639,0.05544438534527584,0.7207770094885859,1,0.07692307692307693,1,0.07692307692307693,13,0,3,0.7613263211813841,0.0
per_class,barrel,elmid-radfar,elmid-radfar-az000,0,8,0.032138848430441735,0.04221428779786629,0.05242012745172476,0.6814616568724219,1,0.07692307692307693,1,0.07692307692307693,13,0,3,0.7613263211813841,0.0
per_class,barrel,elhigh-radnear,elhigh-radnear-az270,270,1,0.14149105896404088,0.18953887124514848,0.1414910589640409,0.7074552948202045,3,0.2,3,0.2,15,0,3,0.7465015383627412,0.0
per_class,barrel,elhigh-radnear,elhigh-radnear-az315,315,2,0.11273388256613147,0.15101627628709807,0.13726859161329444,0.6863429580664722,3,0.2,3,0.2,15,0,3,0.7465015383627412,0.0
per_class,barrel,elhigh-radnear,elhigh-radnear-az225,225,3,0.1115876987342304,0.1494808690936783,0.17794121578196118,0.6672795591823544,4,0.26666666666666666,4,0.26666666666666666,15,0,3,0.7465015383627412,0.0
per_class,barrel,elhigh-radnear,elhigh-radnear-az135,135,4,0.11094671913632456,0.14862222438236042,0.13753228625331435,0.6876614312665718,3,0.2,3,0.2,15,0,3,0.7465015383627412,0.0
per_class,barrel,elhigh-radnear,elhigh-radnear-az090,90,5,0.09703080964767692,0.12998072296071753,0.09703080964767707,0.7277310723575781,2,0.13333333333333333,2,0.13333333333333333,15,0,3,0.7465015383627412,0.0
per_class,barrel,elhigh-radnear,elhigh-radnear-az180,180,6,0.07329541896951491,0.09818522160084162,0.09740609726072336,0.7305457294554252,2,0.13333333333333333,2,0.13333333333333333,15,0,3,0.7465015383627412,0.0
per_class,barrel,elhigh-radnear,elhigh-radnear-az000,0,7,0.05192904797504558,0.06956321629147418,0.09565371013017554,0.7174028259763165,2,0.13333333333333333,2,0.13333333333333333,15,0,3,0.7465015383627412,0.0
per_class,barrel,elhigh-radnear,elhigh-radnear-az045,45,8,0.047486902369776395,0.06361259813868124,0.047486902369776374,0.7123035355466456,1,0.06666666666666667,1,0.06666666666666667,15,0,3,0.7465015383627412,0.0
per_class,barrel,elhigh-radmid,elhigh-radmid-az135,135,1,0.1549170568242233,0.21446950176530452,0.20592344507905103,0.6589550242529633,5,0.3125,5,0.3125,16,0,4,0.7223267436586397,0.0
per_class,barrel,elhigh-radmid,elhigh-radmid-az180,180,2,0.11437791173173309,0.15834650002352163,0.17658423280504465,0.7063369312201786,4,0.25,4,0.25,16,0,4,0.7223267436586397,0.0
per_class,barrel,elhigh-radmid,elhigh-radmid-az270,270,3,0.09817825121326787,0.1359194465318944,0.16301051598574,0.65204206394296,4,0.25,4,0.25,16,0,4,0.7223267436586397,0.0
per_class,barrel,elhigh-radmid,elhigh-radmid-az045,45,4,0.09271909479952795,0.1283617083453102,0.16445177507016018,0.6578071002806407,4,0.25,4,0.25,16,0,4,0.7223267436586397,0.0
per_class,barrel,elhigh-radmid,elhigh-radmid-az090,90,5,0.09269256609636115,0.12832498160993774,0.1184913344786902,0.6319537838863477,3,0.1875,3,0.1875,16,0,4,0.7223267436586397,0.0
per_class,barrel,elhigh-radmid,elhigh-radmid-az225,225,6,0.07935082579957223,0.10985447582579358,0.07935082579957231,0.6348066063965785,2,0.125,2,0.125,16,0,4,0.7223267436586397,0.0
per_class,barrel,elhigh-radmid,elhigh-radmid-az000,0,7,0.07211075133008847,0.09983120791685221,0.1793949668005108,0.7175798672020433,4,0.25,4,0.25,16,0,4,0.7223267436586397,0.0
per_class,barrel,elhigh-radmid,elhigh-radmid-az315,315,8,0.017980285863865388,0.024892177981385374,0.04496563344079885,0.7194501350527815,1,0.0625,1,0.0625,16,0,4,0.7223267436586397,0.0
per_class,barrel,elhigh-radfar,elhigh-radfar-az225,225,1,0.15404329030988073,0.20530523799734102,0.1966249647218131,0.6554165490727103,3,0.3,3,0.3,10,0,2,0.7503134932771457,0.0
per_class,barrel,elhigh-radfar,elhigh-radfar-az180,180,2,0.12445361734651302,0.1658688247800752,0.15038585932284648,0.7519292966142324,2,0.2,2,0.2,10,0,2,0.7503134932771457,0.0
per_class,barrel,elhigh-radfar,elhigh-radfar-az315,315,3,0.11350830711520915,0.1512811753117203,0.14133843266262894,0.7066921633131447,2,0.2,2,0.2,10,0,2,0.7503134932771457,0.0
per_class,barrel,elhigh-radfar,elhigh-radfar-az270,270,4,0.11208147750943756,0.14937953070775667,0.13801371948577099,0.690068597428855,2,0.2,2,0.2,10,0,2,0.7503134932771457,0.0
per_class,barrel,elhigh-radfar,elhigh-radfar-az090,90,5,0.09859130190372922,0.13140014512215661,0.12642142745114882,0.6321071372557441,2,0.2,2,0.2,10,0,2,0.7503134932771457,0.0
per_class,barrel,elhigh-radfar,elhigh-radfar-az000,0,6,0.06789681384816457,0.09049126059510341,0.06789681384816468,0.6789681384816468,1,0.1,1,0.1,10,0,2,0.7503134932771457,0.0
per_class,barrel,elhigh-radfar,elhigh-radfar-az135,135,7,0.04266106990989183,0.05685766055407186,0.061138199636855364,0.6113819963685536,1,0.1,1,0.1,10,0,2,0.7503134932771457,0.0
per_class,barrel,elhigh-radfar,elhigh-radfar-az045,45,8,0.03707761533431941,0.04941616493177463,0.06118216001928829,0.6118216001928829,1,0.1,1,0.1,10,0,2,0.7503134932771457,0.0
per_class,container,ellow-radnear,ellow-radnear-az180,180,1,0.21218931567433086,0.21910660691017564,0.264132262868132,0.9508761463252753,5,0.2777777777777778,5,0.2777777777777778,18,0,4,0.9684295634285434,0.0
per_class,container,ellow-radnear,ellow-radnear-az000,0,2,0.16719914564137145,0.1726497743929194,0.26667772098140513,0.8000331629442154,6,0.3333333333333333,5,0.2777777777777778,18,0,4,0.9684295634285434,0.0
per_class,container,ellow-radnear,ellow-radnear-az135,135,3,0.1657468002104397,0.1711500830516204,0.3162416181722981,0.9487248545168944,6,0.3333333333333333,6,0.3333333333333333,18,0,4,0.9684295634285434,0.0
per_class,container,ellow-radnear,ellow-radnear-az045,45,4,0.152260466925158,0.15722410041480803,0.26411590035334853,0.9508172412720548,5,0.2777777777777778,5,0.2777777777777778,18,0,4,0.9684295634285434,0.0
per_class,container,ellow-radnear,ellow-radnear-az225,225,5,0.12109168351990938,0.12503922648871538,0.2116517380073621,0.9524328210331294,4,0.2222222222222222,4,0.2222222222222222,18,0,4,0.9684295634285434,0.0
per_class,container,ellow-radnear,ellow-radnear-az315,315,6,0.06935148206444147,0.0716123140839645,0.15957478810924267,0.9574487286554559,3,0.16666666666666666,3,0.16666666666666666,18,0,4,0.9684295634285434,0.0
per_class,container,ellow-radnear,ellow-radnear-az090,90,7,0.05258398573419892,0.05429820373103354,0.05258398573419893,0.9465117432155807,1,0.05555555555555555,1,0.05555555555555555,18,0,4,0.9684295634285434,0.0
per_class,container,ellow-radnear,ellow-radnear-az270,270,8,0.02800668365869353,0.028919690926763032,0.054229218231067,0.9761259281592061,1,0.05555555555555555,1,0.05555555555555555,18,0,4,0.9684295634285434,0.0
per_class,container,ellow-radmid,ellow-radmid-az315,315,1,0.2462359694422971,0.2566618159954719,0.3629325249317282,0.9436245648224932,5,0.38461538461538464,5,0.38461538461538464,13,0,3,0.9593790509400949,0.0
per_class,container,ellow-radmid,ellow-radmid-az270,270,2,0.17044292807195754,0.17765963088827155,0.21817909254634044,0.9454427343674752,3,0.23076923076923078,3,0.23076923076923078,13,0,3,0.9593790509400949,0.0
per_class,container,ellow-radmid,ellow-radmid-az180,180,3,0.14588600564344062,0.1520629468618134,0.21487102883591383,0.9311077916222933,3,0.23076923076923078,3,0.23076923076923078,13,0,3,0.9593790509400949,0.0
per_class,container,ellow-radmid,ellow-radmid-az045,45,4,0.11212137378347084,0.11686869092420059,0.1466237178725067,0.9530541661712935,2,0.15384615384615385,2,0.15384615384615385,13,0,3,0.9593790509400949,0.0
per_class,container,ellow-radmid,ellow-radmid-az000,0,5,0.09820263662529718,0.10236062224734685,0.14580076104214995,0.9477049467739747,2,0.15384615384615385,2,0.15384615384615385,13,0,3,0.9593790509400949,0.0
per_class,container,ellow-radmid,ellow-radmid-az090,90,6,0.0765158997919028,0.07975564998727555,0.14651684294530243,0.9523594791444658,2,0.15384615384615385,2,0.15384615384615385,13,0,3,0.9593790509400949,0.0
per_class,container,ellow-radmid,ellow-radmid-az225,225,7,0.0728640593948996,0.07594918747027064,0.07286405939489964,0.9472327721336953,1,0.07692307692307693,1,0.07692307692307693,13,0,3,0.9593790509400949,0.0
per_class,container,ellow-radmid,ellow-radmid-az135,135,8,0.037110178186828685,0.038681455625348964,0.07211483419868614,0.9374928445829198,1,0.07692307692307693,1,0.07692307692307693,13,0,3,0.9593790509400949,0.0
per_class,container,ellow-radfar,ellow-radfar-az045,45,1,0.20035304442582347,0.21332017630132033,0.2643583814723383,0.9252543351531841,4,0.2857142857142857,4,0.2857142857142857,14,0,3,0.939212820370163,0.0
per_class,container,ellow-radfar,ellow-radfar-az000,0,2,0.16858454108142146,0.17949557057257678,0.26051256336555895,0.9117939717794563,4,0.2857142857142857,4,0.2857142857142857,14,0,3,0.939212820370163,0.0
per_class,container,ellow-radfar,ellow-radfar-az180,180,3,0.13313582530870266,0.14175256387176563,0.19454887341157345,0.9078947425873428,3,0.21428571428571427,3,0.21428571428571427,14,0,3,0.939212820370163,0.0
per_class,container,ellow-radfar,ellow-radfar-az135,135,4,0.12579335733864322,0.13393488100925358,0.2620942372268326,0.9173298302939141,4,0.2857142857142857,4,0.2857142857142857,14,0,3,0.939212820370163,0.0
per_class,container,ellow-radfar,ellow-radfar-az225,225,5,0.12576027465265271,0.13389965716512262,0.20239268279901548,0.9444991863954056,3,0.21428571428571427,3,0.21428571428571427,14,0,3,0.939212820370163,0.0
per_class,container,ellow-radfar,ellow-radfar-az090,90,6,0.08854427209693966,0.09427498238582663,0.131370390252318,0.919592731766226,2,0.14285714285714285,2,0.14285714285714285,14,0,3,0.939212820370163,0.0
per_class,container,ellow-radfar,ellow-radfar-az315,315,7,0.06281559398974754,0.06688110791012268,0.06281559398974755,0.8794183158564657,1,0.07142857142857142,1,0.07142857142857142,14,0,3,0.939212820370163,0.0
per_class,container,ellow-radfar,ellow-radfar-az270,270,8,0.03422591147623187,0.03644106078401138,0.06584540423033758,0.9218356592247261,1,0.07142857142857142,1,0.07142857142857142,14,0,3,0.939212820370163,0.0
per_class,container,elmid-radnear,elmid-radnear-az270,270,1,0.2668092557163444,0.276592824302179,0.29573074267309907,0.9463383765539171,5,0.3125,5,0.3125,16,0,3,0.9646282631860832,0.0
per_class,container,elmid-radnear,elmid-radnear-az180,180,2,0.2404088401142095,0.24922433779843856,0.35855156070849126,0.9561374952226434,6,0.375,6,0.375,16,0,3,0.9646282631860832,0.0
per_class,container,elmid-radnear,elmid-radnear-az225,225,3,0.1105657099006843,0.11462001904805835,0.17819604969304903,0.9503789316962615,3,0.1875,3,0.1875,16,0,3,0.9646282631860832,0.0
per_class,container,elmid-radnear,elmid-radnear-az000,0,4,0.10142671114712468,0.10514590440479224,0.18013895002499547,0.9607410667999758,3,0.1875,3,0.1875,16,0,3,0.9646282631860832,0.0
per_class,container,elmid-radnear,elmid-radnear-az045,45,5,0.08320955051220484,0.0862607428040424,0.1808811051371335,0.9646992273980454,3,0.1875,3,0.1875,16,0,3,0.9646282631860832,0.0
per_class,container,elmid-radnear,elmid-radnear-az135,135,6,0.0600091721446922,0.06220963498051273,0.06000917214469226,0.9601467543150761,1,0.0625,1,0.0625,16,0,3,0.9646282631860832,0.0
per_class,container,elmid-radnear,elmid-radnear-az090,90,7,0.051177963254871554,0.05305459647826946,0.11984076524645104,0.9587261219716083,2,0.125,2,0.125,16,0,3,0.9646282631860832,0.0
per_class,container,elmid-radnear,elmid-radnear-az315,315,8,0.05102106039595148,0.05289194018370699,0.11897014299310982,0.9517611439448785,2,0.125,2,0.125,16,0,3,0.9646282631860832,0.0
per_class,container,elmid-radmid,elmid-radmid-az090,90,1,0.31938869490828803,0.32552563656081707,0.5085419575743437,0.9605792531959827,9,0.5294117647058824,9,0.5294117647058824,17,0,3,0.9811475934203957,0.0
per_class,container,elmid-radmid,elmid-radmid-az045,45,2,0.170400771928172,0.17367496294225712,0.2247372844977838,0.9551334591155811,4,0.23529411764705882,4,0.23529411764705882,17,0,3,0.9811475934203957,0.0
per_class,container,elmid-radmid,elmid-radmid-az270,270,3,0.13456060439604892,0.1371461391725529,0.2789517806638267,0.9484360542570108,5,0.29411764705882354,5,0.29411764705882354,17,0,3,0.9811475934203957,0.0
per_class,container,elmid-radmid,elmid-radmid-az180,180,4,0.10482367341299198,0.10683782349968811,0.2224267783775439,0.9453138081045616,4,0.23529411764705882,4,0.23529411764705882,17,0,3,0.9811475934203957,0.0
per_class,container,elmid-radmid,elmid-radmid-az000,0,5,0.0759188901678157,0.0773776449913652,0.16559006447772553,0.9383436987071114,3,0.17647058823529413,3,0.17647058823529413,17,0,3,0.9811475934203957,0.0
per_class,container,elmid-radmid,elmid-radmid-az315,315,6,0.06926261479878955,0.07059347162778226,0.1693735132722192,0.9597832418759088,3,0.17647058823529413,3,0.17647058823529413,17,0,3,0.9811475934203957,0.0
per_class,container,elmid-radmid,elmid-radmid-az135,135,7,0.058033198917728235,0.05914828646260823,0.11233291389427853,0.9548297681013675,2,0.11764705882352941,2,0.11764705882352941,17,0,3,0.9811475934203957,0.0
