added_drone_number,base_coalition_size,num_ring_player_profiles,num_rings,mean_marginal_gain_across_all_ring_players,mean_shapley_component_across_all_ring_players,mean_share_of_total_shapley_from_this_size,mean_cumulative_share_of_total_shapley,mean_top_marginal_gain_across_rings,mean_top_minus_second_gap_across_rings
1,0,72,9,0.17829845087414395,0.022287306359267994,0.1981074447465387,0.1981074447465387,0.22890553758673848,0.018851315890173317
2,1,72,9,0.15459917454084257,0.01932489681760532,0.17121368210100885,0.3693211268475476,0.20317674823335238,0.019995464702832134
3,2,72,9,0.13387605838831118,0.016734507298538898,0.14772655298381127,0.5170476798313588,0.18103848251808788,0.021364241386662455
4,3,72,9,0.11584949219700505,0.014481186524625631,0.1273231190880305,0.6443707989193893,0.16154960806495983,0.021545312612703343
5,4,72,9,0.1002398657473795,0.012529983218422438,0.10968044210675115,0.7540512410261405,0.14443892612536274,0.021577125421036156
6,5,72,9,0.08676756881988984,0.01084594610248623,0.09447558373305773,0.8485268247591983,0.1298287701860712,0.022142765286998583
7,6,72,9,0.07515299119499133,0.009394123899373916,0.08138560566003478,0.9299124304192331,0.1178703944454789,0.024103755849488755
8,7,72,9,0.0651165226531394,0.008139565331642425,0.07008756958076698,1.0,0.10800222234044897,0.02574802238173721
