ring_id,viewpoint,azimuth,base_coalition_size,added_drone_number,num_contexts_of_this_size,mean_marginal_gain,min_marginal_gain,max_marginal_gain,shapley_component_from_this_size,cumulative_shapley_through_this_size,total_shapley_value,share_of_total_shapley_from_this_size,cumulative_share_of_total_shapley,grand_value_all_8_players,ring_scene_count
ellow-radnear,ellow-radnear-az315,315,0,1,1,0.1618817568275991,0.1618817568275991,0.1618817568275991,0.020235219603449886,0.020235219603449886,0.08524743496578524,0.2373704218968167,0.2373704218968167,0.9201977394836536,154
ellow-radnear,ellow-radnear-az270,270,0,1,1,0.17350523392113928,0.17350523392113928,0.17350523392113928,0.02168815424014241,0.02168815424014241,0.09855394849782435,0.2200637779684818,0.2200637779684818,0.9201977394836536,154
ellow-radnear,ellow-radnear-az045,45,0,1,1,0.18641505718747925,0.18641505718747925,0.18641505718747925,0.023301882148434906,0.023301882148434906,0.11951638610212917,0.19496809524112432,0.19496809524112432,0.9201977394836536,154
ellow-radnear,ellow-radnear-az000,0,0,1,1,0.18856108429399743,0.18856108429399743,0.18856108429399743,0.02357013553674968,0.02357013553674968,0.11151232918889227,0.2113679779464018,0.2113679779464018,0.9201977394836536,154
ellow-radnear,ellow-radnear-az090,90,0,1,1,0.18897565772141234,0.18897565772141234,0.18897565772141234,0.023621957215176542,0.023621957215176542,0.10072868155001359,0.2345107356880058,0.2345107356880058,0.9201977394836536,154
ellow-radnear,ellow-radnear-az135,135,0,1,1,0.192237558592395,0.192237558592395,0.192237558592395,0.024029694824049375,0.024029694824049375,0.11333962046770192,0.21201495756637945,0.21201495756637945,0.9201977394836536,154
ellow-radnear,ellow-radnear-az225,225,0,1,1,0.22027086627992865,0.22027086627992865,0.22027086627992865,0.02753385828499108,0.02753385828499108,0.14663901987458028,0.18776624604106512,0.18776624604106512,0.9201977394836536,154
ellow-radnear,ellow-radnear-az180,180,0,1,1,0.22119663516296234,0.22119663516296234,0.22119663516296234,0.027649579395370293,0.027649579395370293,0.1446603188367268,0.1911345116457087,0.1911345116457087,0.9201977394836536,154
ellow-radnear,ellow-radnear-az315,315,1,2,7,0.13360017067292776,0.1214200155887043,0.14143619991244455,0.01670002133411597,0.03693524093756585,0.08524743496578524,0.19590057273651296,0.43327099463332963,0.9201977394836536,154
ellow-radnear,ellow-radnear-az270,270,1,2,7,0.14713935115210777,0.13897082277115258,0.1557554908936774,0.01839241889401347,0.04008057313415588,0.09855394849782435,0.18662285148747235,0.40668662945595413,0.9201977394836536,154
