combination_label,viewpoint_1,viewpoint_2,viewpoint_3,drone_count,sample_count,mean_best_box_quality,mean_noisy_or_max_iou,mean_support_weighted_or,mean_support_ratio,mean_target_ap50_95,mean_azimuth_gap_max,elevation_pattern,radius_pattern
elhigh-radmid-az000 + elhigh-radfar-az045,elhigh-radmid-az000,elhigh-radfar-az045,,2,10,0.8472894354954394,0.9191734607181166,0.8974687269910632,1.0,0.8946808094711617,45.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az090,elhigh-radmid-az000,elhigh-radfar-az090,,2,6,0.887738790239311,0.9396555053238776,0.9326798344363926,1.0,0.9458333333333333,90.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az135,elhigh-radmid-az000,elhigh-radfar-az135,,2,1,0.9665112863923184,0.9888189066201483,0.9844938558139926,1.0,1.0,135.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az180,elhigh-radmid-az000,elhigh-radfar-az180,,2,5,0.9515436205223018,0.9808238201542399,0.9743243688401675,1.0,0.9956250000000001,180.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az225,elhigh-radmid-az000,elhigh-radfar-az225,,2,6,0.9204105688300697,0.9677977829323366,0.9536470904801284,1.0,0.9563999314025335,135.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az270,elhigh-radmid-az000,elhigh-radfar-az270,,2,5,0.9029997693971374,0.9511246680529615,0.921633306365047,1.0,0.9153530131638495,90.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az315,elhigh-radmid-az000,elhigh-radfar-az315,,2,4,0.939588658792319,0.9821180503805254,0.9694282461326997,1.0,0.9863690480944656,45.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radmid-az045,elhigh-radmid-az000,elhigh-radmid-az045,,2,7,0.8446927340316738,0.9145047622358816,0.9042644976266988,1.0,0.8920634922290606,45.0,high + high,mid + mid
elhigh-radmid-az000 + elhigh-radmid-az090,elhigh-radmid-az000,elhigh-radmid-az090,,2,6,0.8682245297460328,0.9339057827881284,0.9116039730755191,1.0,0.9167476851838056,90.0,high + high,mid + mid
elhigh-radmid-az000 + elhigh-radmid-az135,elhigh-radmid-az000,elhigh-radmid-az135,,2,6,0.7905421406918579,0.8787719388800617,0.8611781276953666,1.0,0.8366732808056647,135.0,high + high,mid + mid
elhigh-radmid-az000 + elhigh-radmid-az180,elhigh-radmid-az000,elhigh-radmid-az180,,2,7,0.8704245010524697,0.9437640507284145,0.9285712050711596,1.0,0.9041167195853426,180.0,high + high,mid + mid
elhigh-radmid-az000 + elhigh-radmid-az225,elhigh-radmid-az000,elhigh-radmid-az225,,2,4,0.8825469546968563,0.9483203863116092,0.936332553168018,1.0,0.9360625002086163,135.0,high + high,mid + mid
elhigh-radmid-az000 + elhigh-radmid-az270,elhigh-radmid-az000,elhigh-radmid-az270,,2,8,0.845482195224736,0.908528842451521,0.8968755503416208,1.0,0.8921875,90.0,high + high,mid + mid
elhigh-radmid-az000 + elhigh-radmid-az315,elhigh-radmid-az000,elhigh-radmid-az315,,2,4,0.9107112954109864,0.9656276206248718,0.9529479786793946,1.0,0.9515625,45.0,high + high,mid + mid
elhigh-radmid-az045 + elhigh-radfar-az000,elhigh-radmid-az045,elhigh-radfar-az000,,2,7,0.9405288929833421,0.9752274998412505,0.9668999159498037,1.0,0.9499595214395101,45.0,high + high,mid + far
elhigh-radmid-az045 + elhigh-radfar-az045,elhigh-radmid-az045,elhigh-radfar-az045,,2,6,0.8243817481275494,0.8912698864118401,0.867329395822797,1.0,0.8291666683223512,0.0,high + high,mid + far
elhigh-radmid-az045 + elhigh-radfar-az090,elhigh-radmid-az045,elhigh-radfar-az090,,2,7,0.8730532347975897,0.9239819866270497,0.9084551443284737,1.0,0.8744608097636185,45.0,high + high,mid + far
elhigh-radmid-az045 + elhigh-radfar-az135,elhigh-radmid-az045,elhigh-radfar-az135,,2,5,0.9491594846283533,0.9783994904789253,0.9754983138127449,1.0,0.951785317469311,90.0,high + high,mid + far
elhigh-radmid-az045 + elhigh-radfar-az180,elhigh-radmid-az045,elhigh-radfar-az180,,2,2,0.9288543106728611,0.9678581522591145,0.9566664041740478,1.0,1.0,135.0,high + high,mid + far
elhigh-radmid-az045 + elhigh-radfar-az225,elhigh-radmid-az045,elhigh-radfar-az225,,2,6,0.9123023653373412,0.9605548896775069,0.9487729294336823,1.0,0.940624669315229,180.0,high + high,mid + far
elhigh-radmid-az045 + elhigh-radfar-az270,elhigh-radmid-az045,elhigh-radfar-az270,,2,3,0.8766666892992845,0.9448679604491833,0.9174350734105864,1.0,0.9666666666666667,135.0,high + high,mid + far
elhigh-radmid-az045 + elhigh-radfar-az315,elhigh-radmid-az045,elhigh-radfar-az315,,2,1,0.9571864247348074,0.9896571308287219,0.9823129774803806,1.0,0.888541666790843,90.0,high + high,mid + far
elhigh-radmid-az045 + elhigh-radmid-az090,elhigh-radmid-az045,elhigh-radmid-az090,,2,3,0.8752796600907319,0.9297621575533555,0.9060381007081805,1.0,0.8658412711364883,45.0,high + high,mid + mid
elhigh-radmid-az045 + elhigh-radmid-az135,elhigh-radmid-az045,elhigh-radmid-az135,,2,4,0.8405979432835275,0.91245698141761,0.9006802152206603,1.0,0.8313492078097566,90.0,high + high,mid + mid
elhigh-radmid-az045 + elhigh-radmid-az180,elhigh-radmid-az045,elhigh-radmid-az180,,2,3,0.8718679110759844,0.9298494735995638,0.9107139865454373,1.0,0.890625,135.0,high + high,mid + mid
elhigh-radmid-az045 + elhigh-radmid-az225,elhigh-radmid-az045,elhigh-radmid-az225,,2,7,0.946859426675945,0.9778839215234626,0.9738823218070615,1.0,0.9821428573557309,180.0,high + high,mid + mid
elhigh-radmid-az045 + elhigh-radmid-az270,elhigh-radmid-az045,elhigh-radmid-az270,,2,7,0.9127054457181326,0.9522537338411828,0.9429691289395853,1.0,0.9329251706625532,135.0,high + high,mid + mid
elhigh-radmid-az045 + elhigh-radmid-az315,elhigh-radmid-az045,elhigh-radmid-az315,,2,3,0.9526918271919295,0.9852691952871737,0.97487111532881,1.0,0.9925925931444874,90.0,high + high,mid + mid
elhigh-radmid-az090 + elhigh-radfar-az000,elhigh-radmid-az090,elhigh-radfar-az000,,2,5,0.8899750063415631,0.9415251678761966,0.923502304086961,1.0,0.8942083350419999,90.0,high + high,mid + far
elhigh-radmid-az090 + elhigh-radfar-az045,elhigh-radmid-az090,elhigh-radfar-az045,,2,4,0.8051612905357857,0.8726090540903813,0.8702874656311842,1.0,0.8597222235467699,45.0,high + high,mid + far
elhigh-radmid-az090 + elhigh-radfar-az090,elhigh-radmid-az090,elhigh-radfar-az090,,2,4,0.8936464577815331,0.9458517352494878,0.936858267331658,1.0,0.9322916666977108,0.0,high + high,mid + far
elhigh-radmid-az090 + elhigh-radfar-az135,elhigh-radmid-az090,elhigh-radfar-az135,,2,4,0.8589486243738342,0.9308923181557213,0.9084096534358836,1.0,0.8707142869587101,45.0,high + high,mid + far
elhigh-radmid-az090 + elhigh-radfar-az180,elhigh-radmid-az090,elhigh-radfar-az180,,2,4,0.8238420759982636,0.9032867141105472,0.8736916912792148,1.0,0.89375,90.0,high + high,mid + far
elhigh-radmid-az090 + elhigh-radfar-az225,elhigh-radmid-az090,elhigh-radfar-az225,,2,6,0.9146861186354412,0.9619444929274752,0.935923879097419,1.0,0.9425401969531225,135.0,high + high,mid + far
elhigh-radmid-az090 + elhigh-radfar-az270,elhigh-radmid-az090,elhigh-radfar-az270,,2,6,0.8914198126205152,0.9505372247593725,0.9327889203168184,1.0,0.9529629633713652,180.0,high + high,mid + far
elhigh-radmid-az090 + elhigh-radfar-az315,elhigh-radmid-az090,elhigh-radfar-az315,,2,5,0.8703701340007441,0.9278691768875429,0.918143679394586,1.0,0.8904166667163371,135.0,high + high,mid + far
elhigh-radmid-az090 + elhigh-radmid-az135,elhigh-radmid-az090,elhigh-radmid-az135,,2,8,0.8831308414050545,0.9363115388781472,0.9045074402742369,1.0,0.8860092615603848,45.0,high + high,mid + mid
elhigh-radmid-az090 + elhigh-radmid-az180,elhigh-radmid-az090,elhigh-radmid-az180,,2,4,0.9304181479971723,0.9698193881588913,0.9615006863378959,1.0,0.9335815069020176,90.0,high + high,mid + mid
elhigh-radmid-az090 + elhigh-radmid-az225,elhigh-radmid-az090,elhigh-radmid-az225,,2,5,0.9492621837828018,0.980481480122093,0.9754374617850055,1.0,0.9784333341956138,135.0,high + high,mid + mid
elhigh-radmid-az090 + elhigh-radmid-az270,elhigh-radmid-az090,elhigh-radmid-az270,,2,5,0.8475158173943982,0.9138396196913583,0.903890534291946,1.0,0.9027083333581686,180.0,high + high,mid + mid
elhigh-radmid-az090 + elhigh-radmid-az315,elhigh-radmid-az090,elhigh-radmid-az315,,2,3,0.8602322375922439,0.9173013346627988,0.9139979198354475,1.0,0.913310185957838,135.0,high + high,mid + mid
elhigh-radmid-az135 + elhigh-radfar-az000,elhigh-radmid-az135,elhigh-radfar-az000,,2,3,0.8488588929323804,0.8749891029207344,0.8468769417783379,1.0,0.8916666666666666,135.0,high + high,mid + far
elhigh-radmid-az135 + elhigh-radfar-az045,elhigh-radmid-az135,elhigh-radfar-az045,,2,5,0.7714109146593742,0.8529070628289409,0.8275449904505457,1.0,0.8103968266835289,90.0,high + high,mid + far
elhigh-radmid-az135 + elhigh-radfar-az090,elhigh-radmid-az135,elhigh-radfar-az090,,2,6,0.9038472134253196,0.9524171693860909,0.9374370896763349,1.0,0.9537450398717607,45.0,high + high,mid + far
elhigh-radmid-az135 + elhigh-radfar-az135,elhigh-radmid-az135,elhigh-radfar-az135,,2,5,0.8717609755885831,0.9398603548831632,0.908675120317568,1.0,0.9396428578808195,0.0,high + high,mid + far
