scene_key,target_class,drone_count,combination_label,viewpoint_1,viewpoint_2,viewpoint_3,elevation_pattern,radius_pattern,azimuth_gap_max,support_count,support_ratio,mean_target_ap50_95,best_target_ap50_95,best_box_quality,best_box_confidence,best_box_iou,noisy_or_confidence,fused_quality_noisy_or_max_iou,fused_quality_support_weighted_or,mean_matched_iou,max_matched_iou,gain_noisy_vs_best,gain_support_vs_best
S0-SM_barrel_1,barrel,2,ellow-radnear-az090 + ellow-radnear-az135,ellow-radnear-az090,ellow-radnear-az135,,low + low,near + near,45,2,1.0,0.9,1.0,0.8696051268801597,0.8987376689910889,0.9728056192398071,0.9892575431196917,0.9623552968222019,0.9160735047742011,0.9260212481021881,0.9728056192398071,0.09275016994204222,0.04646837789404146
S0-SM_barrel_1,barrel,2,ellow-radnear-az090 + ellow-radnear-az270,ellow-radnear-az090,ellow-radnear-az270,,low + low,near + near,180,2,1.0,0.95,1.0,0.8696051268801597,0.8939145803451538,0.9728056192398071,0.977923672539653,0.9513296438342035,0.9353940706833532,0.9565103054046631,0.9728056192398071,0.08172451695404381,0.06578894380319356
S0-SM_barrel_1,barrel,2,ellow-radnear-az090 + ellow-radmid-az135,ellow-radnear-az090,ellow-radmid-az135,,low + low,near + mid,45,2,1.0,0.9,1.0,0.8696051268801597,0.8939145803451538,0.9728056192398071,0.9823483646340634,0.9556340091670519,0.915296237633906,0.9317430257797241,0.9728056192398071,0.0860288822868922,0.04569111075374632
S0-SM_barrel_1,barrel,2,ellow-radnear-az090 + ellow-radfar-az135,ellow-radnear-az090,ellow-radfar-az135,,low + low,near + far,45,2,1.0,0.9,1.0,0.8696051268801597,0.8939145803451538,0.9728056192398071,0.9770969036174009,0.9505253583808237,0.9084394181691694,0.9297331869602203,0.9728056192398071,0.08092023150066407,0.038834291289009726
S0-SM_barrel_1,barrel,2,ellow-radnear-az090 + elmid-radmid-az090,ellow-radnear-az090,elmid-radmid-az090,,low + mid,near + mid,0,2,1.0,0.85,1.0,0.8696051268801597,0.8939145803451538,0.9728056192398071,0.9836749938784664,0.956924561550655,0.8923558393460239,0.9071653187274933,0.9728056192398071,0.0873194346704953,0.022750712465864242
S0-SM_barrel_1,barrel,2,ellow-radnear-az090 + elmid-radfar-az225,ellow-radnear-az090,elmid-radfar-az225,,low + mid,near + far,135,2,1.0,1.0,1.0,0.8696051268801597,0.8939145803451538,0.9728056192398071,0.9794543509238096,0.95281869636756,0.9444710236394346,0.9642828404903412,0.9728056192398071,0.08321356948740033,0.07486589675927491
S0-SM_barrel_1,barrel,2,ellow-radnear-az090 + elhigh-radnear-az090,ellow-radnear-az090,elhigh-radnear-az090,,low + high,near + near,0,2,1.0,0.9,1.0,0.8696051268801597,0.8939145803451538,0.9728056192398071,0.983128525368862,0.9563929539137742,0.8989071623969834,0.914333313703537,0.9728056192398071,0.08678782703361454,0.029302035516823755
S0-SM_barrel_1,barrel,2,ellow-radnear-az090 + elhigh-radmid-az045,ellow-radnear-az090,elhigh-radmid-az045,,low + high,near + mid,45,2,1.0,0.8,1.0,0.8696051268801597,0.8939145803451538,0.9728056192398071,0.9770782439021417,0.9505072061049663,0.8447206729391249,0.864537388086319,0.9728056192398071,0.08090207922480663,-0.02488445394103478
S0-SM_barrel_1,barrel,2,ellow-radnear-az090 + elhigh-radfar-az270,ellow-radnear-az090,elhigh-radfar-az270,,low + high,near + far,180,2,1.0,0.95,1.0,0.8696051268801597,0.8939145803451538,0.9728056192398071,0.977068917206104,0.9504981330426518,0.9246283578282655,0.9463286995887756,0.9728056192398071,0.08089300616249218,0.055023230948105795
S0-SM_barrel_1,barrel,2,ellow-radnear-az135 + ellow-radnear-az270,ellow-radnear-az135,ellow-radnear-az270,,low + low,near + near,135,2,1.0,0.8500000000000001,0.9,0.7902033012941416,0.8987376689910889,0.940214991569519,0.9789273550877766,0.9204021749110255,0.890555602686794,0.9097259342670441,0.940214991569519,0.13019887361688387,0.10035230139265239
S0-SM_barrel_1,barrel,2,ellow-radnear-az135 + ellow-radmid-az135,ellow-radnear-az135,ellow-radmid-az135,,low + low,near + mid,0,2,1.0,0.8,0.8,0.7902033012941416,0.8987376689910889,0.8906804323196411,0.9831508820996362,0.8756732527039405,0.8700478819330929,0.8849586546421051,0.8906804323196411,0.08546995140979885,0.07984458063895128
S0-SM_barrel_1,barrel,2,ellow-radnear-az135 + ellow-radfar-az135,ellow-radnear-az135,ellow-radfar-az135,,low + low,near + far,0,2,1.0,0.8,0.8,0.7902033012941416,0.8987376689910889,0.8866607546806335,0.9781381745524556,0.8672767320306175,0.8636459429319715,0.8829488158226013,0.8866607546806335,0.07707343073647588,0.07344264163782988
S0-SM_barrel_1,barrel,2,ellow-radnear-az135 + elmid-radmid-az090,ellow-radnear-az135,elmid-radmid-az090,,low + mid,near + mid,45,2,1.0,0.75,0.8,0.7902033012941416,0.8987376689910889,0.8792368769645691,0.9844171972078755,0.8655359021032667,0.84697380095748,0.8603809475898743,0.8792368769645691,0.07533260080912507,0.05677049966333836
S0-SM_barrel_1,barrel,2,ellow-radnear-az135 + elmid-radfar-az225,ellow-radnear-az135,elmid-radfar-az225,,low + mid,near + far,90,2,1.0,0.9,1.0,0.7902033012941416,0.8987376689910889,0.9557600617408752,0.9803884424050437,0.9370161182430852,0.899504895277727,0.9174984693527222,0.9557600617408752,0.14681281694894355,0.10930159398358541
S0-SM_barrel_1,barrel,2,ellow-radnear-az135 + elhigh-radnear-az090,ellow-radnear-az135,elhigh-radnear-az090,,low + high,near + near,45,2,1.0,0.8,0.8,0.7902033012941416,0.8987376689910889,0.8792368769645691,0.9838955734514201,0.8650772712606905,0.853577564343067,0.867548942565918,0.8792368769645691,0.07487396996654883,0.06337426304892535
S0-SM_barrel_1,barrel,2,ellow-radnear-az135 + elhigh-radmid-az045,ellow-radnear-az135,elhigh-radmid-az045,,low + high,near + mid,90,2,1.0,0.7,0.8,0.7902033012941416,0.8987376689910889,0.8792368769645691,0.978120363186207,0.8599994934232907,0.7998608779344789,0.8177530169487,0.8792368769645691,0.06979619212914911,0.009657576640337284
S0-SM_barrel_1,barrel,2,ellow-radnear-az135 + elhigh-radfar-az270,ellow-radnear-az135,elhigh-radfar-az270,,low + high,near + far,135,2,1.0,0.8500000000000001,0.9,0.7902033012941416,0.8987376689910889,0.9198517799377441,0.9781114605209353,0.899717567937689,0.8798546169046848,0.8995443284511566,0.9198517799377441,0.10951426664354735,0.08965131561054318
S0-SM_barrel_1,barrel,2,ellow-radnear-az270 + ellow-radmid-az135,ellow-radnear-az270,ellow-radmid-az135,,low + low,near + mid,135,2,1.0,0.8500000000000001,0.9,0.7445566805165171,0.8336092233657837,0.940214991569519,0.9653741552485755,0.907659253238471,0.8837495615927403,0.9154477119445801,0.940214991569519,0.16310257272195383,0.13919288107622318
S0-SM_barrel_1,barrel,2,ellow-radnear-az270 + ellow-radfar-az135,ellow-radnear-az270,ellow-radfar-az135,,low + low,near + far,135,2,1.0,0.8500000000000001,0.9,0.7445566805165171,0.7919004559516907,0.940214991569519,0.9550727712628166,0.8979737375811463,0.8723996408619797,0.9134378731250763,0.940214991569519,0.15341705706462916,0.1278429603454626
S0-SM_barrel_1,barrel,2,ellow-radnear-az270 + elmid-radmid-az090,ellow-radnear-az270,elmid-radmid-az090,,low + mid,near + mid,180,2,1.0,0.8,0.9,0.7445566805165171,0.8461145162582397,0.940214991569519,0.9679765009976862,0.9101060177250321,0.8623412301794878,0.8908700048923492,0.940214991569519,0.16554933720851495,0.1177845496629707
S0-SM_barrel_1,barrel,2,ellow-radnear-az270 + elmid-radfar-az225,ellow-radnear-az270,elmid-radfar-az225,,low + mid,near + far,45,2,1.0,0.95,1.0,0.770657237116577,0.8063291907310486,0.9557600617408752,0.9596971928956641,0.9172402483345046,0.9097809682310962,0.9479875266551971,0.9557600617408752,0.1465830112179276,0.13912373111451926
S0-SM_barrel_1,barrel,2,ellow-radnear-az270 + elhigh-radnear-az090,ellow-radnear-az270,elhigh-radnear-az090,,low + high,near + near,180,2,1.0,0.8500000000000001,0.9,0.7445566805165171,0.8409633040428162,0.940214991569519,0.9669045360843604,0.9090981402430867,0.8683170156488754,0.8980379998683929,0.940214991569519,0.16454145972656953,0.12376033513235829
S0-SM_barrel_1,barrel,2,ellow-radnear-az270 + elhigh-radmid-az045,ellow-radnear-az270,elhigh-radmid-az045,,low + high,near + mid,135,2,1.0,0.75,0.9,0.7445566805165171,0.7919004559516907,0.940214991569519,0.9550361679458845,0.8979393225938256,0.8101018600833105,0.8482420742511749,0.940214991569519,0.15338264207730845,0.0655451795667934
S0-SM_barrel_1,barrel,2,ellow-radnear-az270 + elhigh-radfar-az270,ellow-radnear-az270,elhigh-radfar-az270,,low + high,near + far,0,2,1.0,0.9,0.9,0.7445566805165171,0.7919004559516907,0.940214991569519,0.9550178724892682,0.8979221209312372,0.8881985054064241,0.9300333857536316,0.940214991569519,0.1533654404147201,0.14364182488990695
S0-SM_barrel_1,barrel,2,ellow-radmid-az135 + ellow-radfar-az135,ellow-radmid-az135,ellow-radfar-az135,,low + low,mid + far,0,2,1.0,0.8,0.8,0.7424794234530765,0.8336092233657837,0.8906804323196411,0.964077400958324,0.858684876275156,0.8567472360897036,0.8886705935001373,0.8906804323196411,0.1162054528220795,0.11426781263662711
S0-SM_barrel_1,barrel,2,ellow-radmid-az135 + elmid-radmid-az090,ellow-radmid-az135,elmid-radmid-az090,,low + mid,mid + mid,45,2,1.0,0.75,0.8,0.7424794234530765,0.8461145162582397,0.8906804323196411,0.9743948748474764,0.8678744483791929,0.8439260565919965,0.8661027252674103,0.8906804323196411,0.12539502492611643,0.10144663313892
S0-SM_barrel_1,barrel,2,ellow-radmid-az135 + elmid-radfar-az225,ellow-radmid-az135,elmid-radfar-az225,,low + mid,mid + far,90,2,1.0,0.9,1.0,0.770657237116577,0.8336092233657837,0.9557600617408752,0.967774963634362,0.9249606589944511,0.8934694409962148,0.9232202470302582,0.9557600617408752,0.15430342187787416,0.12281220387963787
S0-SM_barrel_1,barrel,2,ellow-radmid-az135 + elhigh-radnear-az090,ellow-radmid-az135,elhigh-radnear-az090,,low + high,near + mid,45,2,1.0,0.8,0.8,0.7424794234530765,0.8409633040428162,0.8906804323196411,0.9735377606463445,0.8671110335319814,0.8501620214238326,0.873270720243454,0.8906804323196411,0.12463161007890489,0.10768259797075608
S0-SM_barrel_1,barrel,2,ellow-radmid-az135 + elhigh-radmid-az045,ellow-radmid-az135,elhigh-radmid-az045,,low + high,mid + mid,90,2,1.0,0.7,0.8,0.7424794234530765,0.8336092233657837,0.8906804323196411,0.964048133934412,0.8586588087096454,0.793869339101446,0.823474794626236,0.8906804323196411,0.1161793852565689,0.05138991564836948
S0-SM_barrel_1,barrel,2,ellow-radmid-az135 + elhigh-radfar-az270,ellow-radmid-az135,elhigh-radfar-az270,,low + high,mid + far,135,2,1.0,0.8500000000000001,0.9,0.7424794234530765,0.8336092233657837,0.9198517799377441,0.9640335053812876,0.8867679358446002,0.8727068575941123,0.9052661061286926,0.9198517799377441,0.14428851239152374,0.13022743414103577
S0-SM_barrel_1,barrel,2,ellow-radfar-az135 + elmid-radmid-az090,ellow-radfar-az135,elmid-radmid-az090,,low + mid,mid + far,45,2,1.0,0.75,0.8,0.712026533706343,0.8461145162582397,0.8866607546806335,0.9667772057886239,0.8572034068925755,0.8353853063019337,0.8640928864479065,0.8866607546806335,0.1451768731862325,0.1233587725955908
S0-SM_barrel_1,barrel,2,ellow-radfar-az135 + elmid-radfar-az225,ellow-radfar-az135,elmid-radfar-az225,,low + mid,far + far,90,2,1.0,0.9,1.0,0.770657237116577,0.8063291907310486,0.9557600617408752,0.9581878336757832,0.915797663073322,0.8826926054030467,0.9212104082107544,0.9557600617408752,0.14514042595674503,0.11203536828646976
S0-SM_barrel_1,barrel,2,ellow-radfar-az135 + elhigh-radnear-az090,ellow-radfar-az135,elhigh-radnear-az090,,low + high,near + far,45,2,1.0,0.8,0.8,0.7197477012297604,0.8409633040428162,0.8866607546806335,0.965665095281441,0.8562173421509883,0.8413462220752511,0.8712608814239502,0.8866607546806335,0.13646964092122793,0.12159852084549072
S0-SM_barrel_1,barrel,2,ellow-radfar-az135 + elhigh-radmid-az045,ellow-radfar-az135,elhigh-radmid-az045,,low + high,mid + far,90,2,1.0,0.7,0.8,0.6952369304719035,0.7841070294380188,0.8866607546806335,0.9533522511334311,0.845300026466449,0.7831454648455727,0.8214649558067322,0.8866607546806335,0.15006309599454548,0.08790853437366919
S0-SM_barrel_1,barrel,2,ellow-radfar-az135 + elhigh-radfar-az270,ellow-radfar-az135,elhigh-radfar-az270,,low + high,far + far,135,2,1.0,0.8500000000000001,0.9,0.7210195804470629,0.7841070294380188,0.9198517799377441,0.9533332705032969,0.8769253057463285,0.8611042514164692,0.9032562673091888,0.9198517799377441,0.1559057252992656,0.14008467096940624
S0-SM_barrel_1,barrel,2,elmid-radmid-az090 + elmid-radfar-az225,elmid-radmid-az090,elmid-radfar-az225,,mid + mid,mid + far,135,2,1.0,0.85,1.0,0.770657237116577,0.8461145162582397,0.9557600617408752,0.9701968738289892,0.9272754240315989,0.8718601829764246,0.8986425399780273,0.9557600617408752,0.15661818691502194,0.10120294585984768
S0-SM_barrel_1,barrel,2,elmid-radmid-az090 + elhigh-radnear-az090,elmid-radmid-az090,elhigh-radnear-az090,,mid + high,near + mid,0,2,1.0,0.75,0.8,0.7197477012297604,0.8461145162582397,0.8558610081672668,0.9755265611099375,0.834915146085498,0.8279225765964647,0.8486930131912231,0.8558610081672668,0.1151674448557376,0.10817487536670434
