slice_id,slice_label,row_count,scene_count,definition,best_box,support_weighted_or,support_weighted_or_delta_vs_best_box,roy_odds_mean_iou,roy_odds_mean_iou_delta_vs_best_box,noisy_or_mean_iou,noisy_or_mean_iou_delta_vs_best_box,roy_odds_best_iou,roy_odds_best_iou_delta_vs_best_box,noisy_or_best_iou,noisy_or_best_iou_delta_vs_best_box
full_ordered_pair_cache,Full ordered-pair cache,23692,205,All ordered primary-secondary view pairs.,0.9099524059346402,0.92278560378906,0.012833197854419831,0.9325547064850501,0.022602300550409904,0.9362102057157079,0.02625779978106768,0.9478763923474266,0.03792398641278638,0.951810338251855,0.0418579323172148
weak_primary_quality,Weak primary quality,5835,99,Primary strict quality in the bottom quartile (<= 0.8752).,0.7836069284787056,0.7882562447778311,0.004649316299125461,0.8153944256186847,0.03178749713997908,0.8292413004581801,0.04563437197947451,0.85114759324649,0.06754066476778442,0.8660443420066426,0.08243741352793699
small_target_box,Small target box,5858,86,Primary-view target-box scale proxy in the bottom quartile based on the largest target-class ground-truth box ratio (<= 0.0213).,0.7877692676186857,0.7985527574309604,0.010783489812274727,0.8263070057227738,0.038537738104088115,0.8398968228653868,0.052127555246701096,0.8552940046141387,0.06752473699545303,0.8699056097189851,0.08213634210029941
low_primary_iou,Low primary IoU,5800,112,Primary matched IoU in the bottom quartile (<= 0.9408).,0.7867625607204675,0.789927374871308,0.003164814150840578,0.817145935331395,0.03038337461092755,0.830754623449122,0.043992062728654524,0.8520558427803964,0.0652932820599289,0.8666963913617379,0.07993383064127046
far_primary_view,Far primary view,7530,198,Primary radius is `far`.,0.9003959000139179,0.9130370491103779,0.01264114909645997,0.9238000819450812,0.023404181931163337,0.9286039404829088,0.028208040468990947,0.9399360699383505,0.039540169924432655,0.9451353134412159,0.044739413427298036
hard_scene,Hard scene,5888,52,Scene-level mean single-view strict quality in the bottom quartile (<= 0.8249).,0.7859010687606518,0.7917419029978542,0.005840834237202386,0.8201043165275993,0.0342032477669475,0.8332354304950124,0.047334361734360564,0.8539283667264236,0.06802729796577178,0.8680371740189857,0.08213610525833392
primary_miss_only,Primary miss only,419,29,Primary view does not detect the target.,0.7590827418762287,0.37954137093811435,-0.37954137093811435,0.7590827418762287,0.0,0.7590827418762287,0.0,0.7590827418762287,0.0,0.7590827418762287,0.0
