relationship_axis,drone_count,relationship_type,scene_count,mean_AP50_95,ci95_low,ci95_high,significant_matched_wins,significant_matched_losses,robustness_score
azimuth,2,diagonal_135,204,0.9306359257116774,0.9182045868707076,0.9419680892988964,1,0,0.9406359257116774
distance,2,near_far,194,0.9285389010172376,0.916500746335474,0.9415420886044716,0,0,0.9285389010172376
elevation,2,adjacent_elevation,201,0.9336180671106,0.9216486561593188,0.9443926014628116,2,0,0.9536180671106
mixed_diversity,2,elevation_only,167,0.9381007541673544,0.9234326352551244,0.9518178220379792,2,0,0.9581007541673544
