group,target_class,subset_name,player_count,player_index,viewpoint,ring_id,elevation,radius,azimuth,rank,shapley_value,share_of_subset_value,singleton_subset_scene_value,mean_strict_quality_on_observed_rows,observed_scene_count,observed_scene_rate_within_subset,matched_scene_count,matched_scene_rate_within_subset,subset_scene_count,complete_subset_scene_count,max_views_seen_in_any_subset_scene,grand_value_all_players,empty_coalition_value
per_class,tent,perimeter_unique_az_best_overlap,8,1,ellow-radnear-az225,ellow-radnear,low,near,225,1,0.33818769689672223,0.34604933493868595,0.41793356821468947,0.9751783258342753,6,0.42857142857142855,6,0.42857142857142855,14,0,4,0.9772817420864089,0.0
per_class,tent,perimeter_unique_az_best_overlap,8,5,elmid-radfar-az180,elmid-radfar,mid,far,180,2,0.1648436954859956,0.16867571385716168,0.33787896274348916,0.9460610956817697,5,0.35714285714285715,5,0.35714285714285715,14,0,4,0.9772817420864089,0.0
per_class,tent,perimeter_unique_az_best_overlap,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,3,0.13021721253725832,0.13324429069886873,0.2761628692779719,0.9665700424729016,4,0.2857142857142857,4,0.2857142857142857,14,0,4,0.9772817420864089,0.0
per_class,tent,perimeter_unique_az_best_overlap,8,6,elhigh-radnear-az270,elhigh-radnear,high,near,270,4,0.09254626342010784,0.09469762856976112,0.13772549080721092,0.9640784356504764,2,0.14285714285714285,2,0.14285714285714285,14,0,4,0.9772817420864089,0.0
per_class,tent,perimeter_unique_az_best_overlap,8,8,elhigh-radfar-az000,elhigh-radfar,high,far,0,5,0.09196627932660767,0.09410416194849594,0.1365836499610223,0.9560855497271561,2,0.14285714285714285,2,0.14285714285714285,14,0,4,0.9772817420864089,0.0
per_class,tent,perimeter_unique_az_best_overlap,8,4,elmid-radnear-az090,elmid-radnear,mid,near,90,6,0.05433225958336362,0.05559528766737125,0.13851833771934555,0.9696283640354189,2,0.14285714285714285,2,0.14285714285714285,14,0,4,0.9772817420864089,0.0
per_class,tent,perimeter_unique_az_best_overlap,8,2,ellow-radmid-az045,ellow-radmid,low,mid,45,7,0.05284458307710626,0.054073028075084885,0.1365274543562955,0.9556921804940686,2,0.14285714285714285,2,0.14285714285714285,14,0,4,0.9772817420864089,0.0
per_class,tent,perimeter_unique_az_best_overlap,8,3,ellow-radfar-az315,ellow-radfar,low,far,315,8,0.05234375175924777,0.05356055424457081,0.13611779669261231,0.9528245768482861,2,0.14285714285714285,2,0.14285714285714285,14,0,4,0.9772817420864089,0.0
per_class,tower,perimeter_unique_az_best_overlap,8,1,ellow-radnear-az225,ellow-radnear,low,near,225,1,0.24597195737124758,0.2515946140502225,0.32185947862364284,0.9655784358709285,4,0.3333333333333333,4,0.3333333333333333,12,0,3,0.9776519195365106,0.0
per_class,tower,perimeter_unique_az_best_overlap,8,6,elhigh-radnear-az270,elhigh-radnear,high,near,270,2,0.24454116439838253,0.25013111467557453,0.3195919237703162,0.9587757713109486,4,0.3333333333333333,4,0.3333333333333333,12,0,3,0.9776519195365106,0.0
per_class,tower,perimeter_unique_az_best_overlap,8,2,ellow-radmid-az045,ellow-radmid,low,mid,45,3,0.12678402257701266,0.12968217015020944,0.2436088875555953,0.9744355502223812,3,0.25,3,0.25,12,0,3,0.9776519195365106,0.0
per_class,tower,perimeter_unique_az_best_overlap,8,8,elhigh-radfar-az000,elhigh-radfar,high,far,0,4,0.11947830425896638,0.12220945090110309,0.23440210068867331,0.9376084027546933,3,0.25,3,0.25,12,0,3,0.9776519195365106,0.0
per_class,tower,perimeter_unique_az_best_overlap,8,3,ellow-radfar-az315,ellow-radfar,low,far,315,5,0.08102474946216254,0.08287688884258018,0.16064252222172906,0.6425700888869162,3,0.25,3,0.25,12,0,3,0.9776519195365106,0.0
per_class,tower,perimeter_unique_az_best_overlap,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,6,0.08023752461657142,0.08207166887639393,0.15803750306875988,0.9482250184125594,2,0.16666666666666666,2,0.16666666666666666,12,0,3,0.9776519195365106,0.0
per_class,tower,perimeter_unique_az_best_overlap,8,4,elmid-radnear-az090,elmid-radnear,mid,near,90,7,0.04018699580829092,0.04110562768325862,0.07967428404426968,0.9560914085312362,1,0.08333333333333333,1,0.08333333333333333,12,0,3,0.9776519195365106,0.0
per_class,tower,perimeter_unique_az_best_overlap,8,5,elmid-radfar-az180,elmid-radfar,mid,far,180,8,0.039427201043876384,0.04032846482065743,0.07668514828337436,0.9202217794004923,1,0.08333333333333333,1,0.08333333333333333,12,0,3,0.9776519195365106,0.0
per_class,tree,perimeter_unique_az_best_overlap,8,2,ellow-radmid-az045,ellow-radmid,low,mid,45,1,0.26692277114002,0.2771175669679445,0.36844440722821287,0.9474284757296901,7,0.3888888888888889,7,0.3888888888888889,18,0,3,0.9632112971419681,0.0
per_class,tree,perimeter_unique_az_best_overlap,8,3,ellow-radfar-az315,ellow-radfar,low,far,315,2,0.2071876246182414,0.21510090800741918,0.36800591617845413,0.9463009273160249,7,0.3888888888888889,7,0.3888888888888889,18,0,3,0.9632112971419681,0.0
per_class,tree,perimeter_unique_az_best_overlap,8,4,elmid-radnear-az090,elmid-radnear,mid,near,90,3,0.1955417761046352,0.20301026024595537,0.3144368771960726,0.9433106315882179,6,0.3333333333333333,6,0.3333333333333333,18,0,3,0.9632112971419681,0.0
per_class,tree,perimeter_unique_az_best_overlap,8,1,ellow-radnear-az225,ellow-radnear,low,near,225,4,0.12404036279914137,0.12877793602213017,0.15784527768254464,0.9470716660952677,3,0.16666666666666666,3,0.16666666666666666,18,0,3,0.9632112971419681,0.0
per_class,tree,perimeter_unique_az_best_overlap,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,5,0.0704353269876357,0.07312552001479922,0.10461772737873787,0.9415595464086408,2,0.1111111111111111,2,0.1111111111111111,18,0,3,0.9632112971419681,0.0
per_class,tree,perimeter_unique_az_best_overlap,8,6,elhigh-radnear-az270,elhigh-radnear,high,near,270,6,0.05383879124293201,0.055895099447734874,0.10411893922737647,0.9370704530463883,2,0.1111111111111111,2,0.1111111111111111,18,0,3,0.9632112971419681,0.0
per_class,tree,perimeter_unique_az_best_overlap,8,8,elhigh-radfar-az000,elhigh-radfar,high,far,0,7,0.02703041604100291,0.028062810435474872,0.051595281174843736,0.9287150611471873,1,0.05555555555555555,1,0.05555555555555555,18,0,3,0.9632112971419681,0.0
per_class,tree,perimeter_unique_az_best_overlap,8,5,elmid-radfar-az180,elmid-radfar,mid,far,180,8,0.01821422820835924,0.018909898858541562,0.052483620299404045,0.9447051653892728,1,0.05555555555555555,1,0.05555555555555555,18,0,3,0.9632112971419681,0.0
per_class,whitevan,perimeter_unique_az_best_overlap,8,5,elmid-radfar-az180,elmid-radfar,mid,far,180,1,0.22557414586585456,0.23915646190915998,0.309518384773727,0.928555154321181,5,0.3333333333333333,5,0.3333333333333333,15,1,8,0.9432074051653078,0.0
per_class,whitevan,perimeter_unique_az_best_overlap,8,8,elhigh-radfar-az000,elhigh-radfar,high,far,0,2,0.21752642157420038,0.2306241664165862,0.29966084588099257,0.8989825376429778,5,0.3333333333333333,5,0.3333333333333333,15,1,8,0.9432074051653078,0.0
per_class,whitevan,perimeter_unique_az_best_overlap,8,6,elhigh-radnear-az270,elhigh-radnear,high,near,270,3,0.12404842986575751,0.13151765898616605,0.24854003332644106,0.932025124974154,4,0.26666666666666666,4,0.26666666666666666,15,1,8,0.9432074051653078,0.0
per_class,whitevan,perimeter_unique_az_best_overlap,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,4,0.12245221685333749,0.1298253344733615,0.2472693150042069,0.9272599312657759,4,0.26666666666666666,4,0.26666666666666666,15,1,8,0.9432074051653078,0.0
per_class,whitevan,perimeter_unique_az_best_overlap,8,4,elmid-radnear-az090,elmid-radnear,mid,near,90,5,0.10355267859114288,0.10978781339507625,0.1891317936295491,0.9456589681477455,3,0.2,3,0.2,15,1,8,0.9432074051653078,0.0
per_class,whitevan,perimeter_unique_az_best_overlap,8,1,ellow-radnear-az225,ellow-radnear,low,near,225,6,0.06675891918304096,0.07077862071210171,0.1948712675178849,0.9743563375894245,3,0.2,3,0.2,15,1,8,0.9432074051653078,0.0
per_class,whitevan,perimeter_unique_az_best_overlap,8,2,ellow-radmid-az045,ellow-radmid,low,mid,45,7,0.0419320573569045,0.04445687886595359,0.12707568910077,0.953067668255775,2,0.13333333333333333,2,0.13333333333333333,15,1,8,0.9432074051653078,0.0
per_class,whitevan,perimeter_unique_az_best_overlap,8,3,ellow-radfar-az315,ellow-radfar,low,far,315,8,0.041362535875069294,0.0438530652415945,0.12569637329006583,0.6284818664503291,3,0.2,2,0.13333333333333333,15,1,8,0.9432074051653078,0.0
