group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,perimeter_unique_az_best_overlap,8,8,1,elmid-radnear-az090,6,elhigh-radnear-az270,40,2,elmid-radnear-az090 + elhigh-radnear-az270,0.19211456466930296,0.36044131027452414,0.16832674560522118,2
overall,all,perimeter_unique_az_best_overlap,8,8,1,elmid-radnear-az090,2,ellow-radmid-az045,10,2,ellow-radmid-az045 + elmid-radnear-az090,0.19211456466930296,0.35483738341577564,0.16272281874647268,3
overall,all,perimeter_unique_az_best_overlap,8,8,1,elmid-radnear-az090,8,elhigh-radfar-az000,136,2,elmid-radnear-az090 + elhigh-radfar-az000,0.19211456466930296,0.3442192816593147,0.15210471699001174,4
overall,all,perimeter_unique_az_best_overlap,8,8,1,elmid-radnear-az090,5,elmid-radfar-az180,24,2,elmid-radnear-az090 + elmid-radfar-az180,0.19211456466930296,0.33273583622644787,0.1406212715571449,5
overall,all,perimeter_unique_az_best_overlap,8,8,1,elmid-radnear-az090,7,elhigh-radmid-az135,72,2,elmid-radnear-az090 + elhigh-radmid-az135,0.19211456466930296,0.3316080776022397,0.13949351293293674,6
overall,all,perimeter_unique_az_best_overlap,8,8,1,elmid-radnear-az090,3,ellow-radfar-az315,12,2,ellow-radfar-az315 + elmid-radnear-az090,0.19211456466930296,0.2980946487564472,0.10598008408714424,7
overall,all,perimeter_unique_az_best_overlap,8,16,1,elmid-radfar-az180,1,ellow-radnear-az225,17,2,ellow-radnear-az225 + elmid-radfar-az180,0.15982455257339523,0.3840594024780228,0.22423484990462755,1
overall,all,perimeter_unique_az_best_overlap,8,16,1,elmid-radfar-az180,2,ellow-radmid-az045,18,2,ellow-radmid-az045 + elmid-radfar-az180,0.15982455257339523,0.34947341106275703,0.1896488584893618,2
overall,all,perimeter_unique_az_best_overlap,8,16,1,elmid-radfar-az180,4,elmid-radnear-az090,24,2,elmid-radnear-az090 + elmid-radfar-az180,0.15982455257339523,0.33273583622644787,0.17291128365305264,3
overall,all,perimeter_unique_az_best_overlap,8,16,1,elmid-radfar-az180,8,elhigh-radfar-az000,144,2,elmid-radfar-az180 + elhigh-radfar-az000,0.15982455257339523,0.3180875678742124,0.15826301530081716,4
overall,all,perimeter_unique_az_best_overlap,8,16,1,elmid-radfar-az180,7,elhigh-radmid-az135,80,2,elmid-radfar-az180 + elhigh-radmid-az135,0.15982455257339523,0.3125436941118236,0.15271914153842836,5
overall,all,perimeter_unique_az_best_overlap,8,16,1,elmid-radfar-az180,6,elhigh-radnear-az270,48,2,elmid-radfar-az180 + elhigh-radnear-az270,0.15982455257339523,0.30700637830347743,0.1471818257300822,6
overall,all,perimeter_unique_az_best_overlap,8,16,1,elmid-radfar-az180,3,ellow-radfar-az315,20,2,ellow-radfar-az315 + elmid-radfar-az180,0.15982455257339523,0.274535849851065,0.11471129727766977,7
overall,all,perimeter_unique_az_best_overlap,8,32,1,elhigh-radnear-az270,2,ellow-radmid-az045,34,2,ellow-radmid-az045 + elhigh-radnear-az270,0.17797303403327955,0.37110100741292945,0.1931279733796499,1
overall,all,perimeter_unique_az_best_overlap,8,32,1,elhigh-radnear-az270,1,ellow-radnear-az225,33,2,ellow-radnear-az225 + elhigh-radnear-az270,0.17797303403327955,0.3644782793138961,0.18650524528061654,2
overall,all,perimeter_unique_az_best_overlap,8,32,1,elhigh-radnear-az270,4,elmid-radnear-az090,40,2,elmid-radnear-az090 + elhigh-radnear-az270,0.17797303403327955,0.36044131027452414,0.1824682762412446,3
overall,all,perimeter_unique_az_best_overlap,8,32,1,elhigh-radnear-az270,7,elhigh-radmid-az135,96,2,elhigh-radnear-az270 + elhigh-radmid-az135,0.17797303403327955,0.3244004657352786,0.14642743170199904,4
overall,all,perimeter_unique_az_best_overlap,8,32,1,elhigh-radnear-az270,8,elhigh-radfar-az000,160,2,elhigh-radnear-az270 + elhigh-radfar-az000,0.17797303403327955,0.3226769750383505,0.14470394100507097,5
overall,all,perimeter_unique_az_best_overlap,8,32,1,elhigh-radnear-az270,3,ellow-radfar-az315,36,2,ellow-radfar-az315 + elhigh-radnear-az270,0.17797303403327955,0.3079717996794936,0.12999876564621407,6
overall,all,perimeter_unique_az_best_overlap,8,32,1,elhigh-radnear-az270,5,elmid-radfar-az180,48,2,elmid-radfar-az180 + elhigh-radnear-az270,0.17797303403327955,0.30700637830347743,0.12903334427019789,7
overall,all,perimeter_unique_az_best_overlap,8,64,1,elhigh-radmid-az135,2,ellow-radmid-az045,66,2,ellow-radmid-az045 + elhigh-radmid-az135,0.18032056499314222,0.3692809681985104,0.1889604032053682,1
overall,all,perimeter_unique_az_best_overlap,8,64,1,elhigh-radmid-az135,1,ellow-radnear-az225,65,2,ellow-radnear-az225 + elhigh-radmid-az135,0.18032056499314222,0.3627202658108968,0.18239970081775456,2
overall,all,perimeter_unique_az_best_overlap,8,64,1,elhigh-radmid-az135,8,elhigh-radfar-az000,192,2,elhigh-radmid-az135 + elhigh-radfar-az000,0.18032056499314222,0.34403281273404923,0.163712247740907,3
overall,all,perimeter_unique_az_best_overlap,8,64,1,elhigh-radmid-az135,4,elmid-radnear-az090,72,2,elmid-radnear-az090 + elhigh-radmid-az135,0.18032056499314222,0.3316080776022397,0.15128751260909748,4
overall,all,perimeter_unique_az_best_overlap,8,64,1,elhigh-radmid-az135,6,elhigh-radnear-az270,96,2,elhigh-radnear-az270 + elhigh-radmid-az135,0.18032056499314222,0.3244004657352786,0.14407990074213636,5
overall,all,perimeter_unique_az_best_overlap,8,64,1,elhigh-radmid-az135,5,elmid-radfar-az180,80,2,elmid-radfar-az180 + elhigh-radmid-az135,0.18032056499314222,0.3125436941118236,0.13222312911868137,6
