target_class,added_image_number,base_coalition_size,scene_support,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou,fraction_of_total_target_ap50_95_gain_captured,fraction_of_total_target_strict_quality_gain_captured,fraction_of_total_noisy_or_best_iou_gain_captured
barrel,1,0,20,0.6998554608464844,0.6831145077712668,0.6831145077712668,0.6998554608464844,0.6831145077712668,0.6831145077712668,0.0,0.0,0.0
barrel,2,1,20,0.8121661632115268,0.7668430105413715,0.8574917974355427,0.11231070236504245,0.0837285027701046,0.17437728966427596,0.5130159175550674,0.5342772487697434,0.6666574259016812
barrel,3,2,20,0.8508174813039073,0.7936030381006922,0.9063510528295253,0.0386513180923805,0.02676002755932074,0.04885925539398256,0.6895684721943057,0.7050347976136866,0.8534500150922579
barrel,4,3,20,0.8726262178044866,0.8088238085761035,0.924344574490845,0.021808736500579306,0.015220770475411247,0.017993521661319487,0.789187019055462,0.8021595652222392,0.9222405947413402
barrel,5,4,20,0.8868394597981124,0.8197415755007723,0.9332241229368516,0.014213241993625711,0.01091776692466892,0.008879548446006691,0.8541106570458317,0.8718265756456489,0.9561877728491144
barrel,6,5,20,0.8978945451770874,0.8284797875314966,0.9391265896685799,0.011055085378975218,0.008738212030724375,0.005902466731728341,0.9046083803252275,0.9275856986262763,0.9787533448075962
barrel,7,6,20,0.9073944366949906,0.8361635391451143,0.9435421018566679,0.009499891517902946,0.007683751613617708,0.004415512188087984,0.9480022462801398,0.9766162382458085,0.9956341782866321
barrel,8,7,19,0.9187779124154202,0.8398280922686464,0.9446840679219297,0.0077048211575353655,0.005486205020061103,0.003033830796162999,1.0,1.0,1.0
container,1,0,22,0.9500055414351447,0.9391700110194282,0.9391700110194282,0.9500055414351447,0.9391700110194282,0.9391700110194282,0.0,0.0,0.0
container,2,1,22,0.9917192663765682,0.9521929396443294,0.9802938529180006,0.04171372494142327,0.01302292862490151,0.041123841898572246,0.8354208816685884,0.541788969186813,0.8209134413292598
container,3,2,22,0.996842426449312,0.9560428184128564,0.9843091486348584,0.005123160072743845,0.0038498787685268447,0.004015295716858203,0.9380248785763483,0.7019543136782326,0.9010667069947125
container,4,3,22,0.9986369734922015,0.9582859579409775,0.9859100521728453,0.001794547042889595,0.0022431395281211934,0.0016009035379869673,0.9739651374449045,0.7952749704742089,0.933023916533801
container,5,4,22,0.9993915300614205,0.9599049687118356,0.9870209840588001,0.0007545565692190496,0.0016190107708578506,0.001110931885954881,0.9890770056659981,0.8626301869474338,0.9552003201838017
