ring_id,azimuth,viewpoint,singleton_value,shapley_value
elmid-radnear,0,elmid-radnear-az000,0.12948474099487683,0.0715045877128996
elmid-radnear,45,elmid-radnear-az045,0.19710768743664897,0.10409147290288452
elmid-radnear,90,elmid-radnear-az090,0.18193630958748558,0.11202051897144114
elmid-radnear,135,elmid-radnear-az135,0.26294263328350614,0.15349121214559056
elmid-radnear,180,elmid-radnear-az180,0.19097696959349028,0.11870761940103938
elmid-radnear,225,elmid-radnear-az225,0.145213904569886,0.07935805569585955
elmid-radnear,270,elmid-radnear-az270,0.2603478563729449,0.19184559984855604
elmid-radnear,315,elmid-radnear-az315,0.2050563717331663,0.11242490632751628
