ring_id,n_scenes,observed_top_azimuth,observed_top_shapley,observed_second_azimuth,observed_second_shapley,observed_gap_top_minus_second,gap_bootstrap_ci_low,gap_bootstrap_ci_high,gap_positive_rate,top_selected_rate
ellow-radnear,154,225,0.14663901987458022,180,0.1446603188367268,0.0019787010378534142,-0.06587930683898205,0.07345342765095611,0.525,0.43375
ellow-radmid,149,315,0.15426358160303538,45,0.13326922237212696,0.02099435923090842,-0.05010166576606999,0.09450092968332192,0.72625,0.62025
ellow-radfar,154,0,0.13610467033369003,135,0.12394982719720253,0.0121548431364875,-0.055277692211197806,0.07597656626614015,0.6395,0.42775
elmid-radnear,151,270,0.19184559984855604,135,0.15349121214559064,0.0383543877029654,-0.038447729822712676,0.11299923967985098,0.82175,0.80925
elmid-radmid,148,0,0.1717745812962656,270,0.15125422384860893,0.02052035744765668,-0.05292071369394307,0.09530467445446482,0.7155,0.6455
elmid-radfar,145,225,0.137632638818158,90,0.12521495999606563,0.012417678822092354,-0.05438211943315039,0.08071889538158719,0.63875,0.3925
elhigh-radnear,150,225,0.14752328411989063,135,0.1378176235717591,0.009705660548131517,-0.06141203178719499,0.08094960537514918,0.6135,0.40375
elhigh-radmid,159,0,0.1698908547126536,225,0.13605158625440456,0.033839268458249055,-0.04165071262214618,0.10645333812248003,0.817,0.7715
elhigh-radfar,147,45,0.17173251888225793,315,0.12912470699733214,0.042607811884925795,-0.028605457640069613,0.1191095646899512,0.8645,0.80975
