left_method_id,left_method_label,right_method_id,right_method_label,win_rate_left_over_right,tie_rate,mean_score_gap_left_minus_right
geometry_calibrated_selector,Geometry-calibrated selector,viewpoint_cell_prior_selector,Viewpoint-cell prior selector,0.20977545162924194,0.6499240249873375,0.0192690895528461
geometry_calibrated_selector,Geometry-calibrated selector,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,0.021610670268445046,0.001266250211041702,-0.05009240807798609
geometry_calibrated_selector,Geometry-calibrated selector,geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,0.06879959479993247,0.0014350835725139288,-0.0345086202230933
geometry_calibrated_selector,Geometry-calibrated selector,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,0.012493668748944791,0.00219483369913895,-0.05072547031965813
geometry_calibrated_selector,Geometry-calibrated selector,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,0.019922336653722776,0.001266250211041702,-0.05062235305600841
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,best_box,Best box (max),0.0,0.6132871855478642,-0.028214475618754196
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,noisy_or_best_iou,Noisy-OR + best IoU,0.0036299172716528784,0.01806516967752828,-0.07007240793596896
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,support_weighted_or,Support-weighted OR,0.058078676346446055,0.0013506668917778154,-0.041047673473174076
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,geometry_prior_selector,Geometry prior selector,0.1875738645956441,0.6397940232990039,-0.006274629442523889
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,geometry_calibrated_selector,Geometry-calibrated selector,0.14063819010636502,0.6499240249873375,-0.0192690895528461
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,viewpoint_cell_prior_selector,Viewpoint-cell prior selector,0.0,1.0,0.0
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,0.010130001688333615,0.001266250211041702,-0.06936149763083219
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,0.049214924869154145,0.0014350835725139288,-0.0537777097759394
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,0.0031234171872361978,0.0016039169339861557,-0.06999455987250423
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,0.008441668073611346,0.001266250211041702,-0.0698914426088545
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,best_box,Best box (max),0.976954246159041,0.001266250211041702,0.04114702201207799
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,noisy_or_best_iou,Noisy-OR + best IoU,0.6193651865608645,0.008188418031403005,-0.0007109103051367809
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,support_weighted_or,Support-weighted OR,0.9433564072260678,0.0021104170184028364,0.028313824157658107
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,geometry_prior_selector,Geometry prior selector,0.9860712476785413,0.001266250211041702,0.0630868681883083
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,geometry_calibrated_selector,Geometry-calibrated selector,0.9771230795205132,0.001266250211041702,0.05009240807798609
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,viewpoint_cell_prior_selector,Viewpoint-cell prior selector,0.9886037481006247,0.001266250211041702,0.06936149763083219
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,0.0,1.0,0.0
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,0.9658956609826101,0.0345264224210704,0.015583787854892794
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,0.5612020935336822,0.04448759074793179,-0.0006330622416720417
