target_class,scene_count,row_count,actual_mean_quality,predicted_geometry_mean_prior,predicted_cell_mean_prior,predicted_hybrid_mean_prior,geometry_prior_actual_correlation,cell_prior_actual_correlation,hybrid_prior_actual_correlation,geometry_prior_mae,cell_prior_mae,hybrid_prior_mae,mean_geometry_weight,mean_viewpoint_cell_weight,mean_hybrid_weight
barrel,20,212,0.6854194879978471,0.6848639236092186,0.683709714650573,0.6842868191298959,0.3218971779559386,0.286312403598958,0.342558538083555,0.11435137801544275,0.1113326584114981,0.1091152357571901,0.999450650428861,0.9977525281259476,0.9986015892774043
container,22,237,0.9392566727219537,0.9392298058476193,0.9388434846282735,0.9390366452379464,0.016584787939778856,-0.050909083000745384,-0.022725893963569277,0.018239281745996837,0.01840326406614245,0.01775516765964553,1.0000211114412536,0.9996101732233663,0.99981564233231
male,20,212,0.6714393247837472,0.67121667491547,0.6686204720823634,0.6699185734989166,0.3363142198973612,0.12981271785993856,0.2846970954053998,0.0939149951817928,0.09948871663173554,0.09379909768083076,0.9990882887861221,0.9951886340713325,0.9971384614287272
rock,21,235,0.9400970325151939,0.939904452712108,0.9387501449444167,0.9393272988282622,0.1596781222753062,0.20903657239883094,0.21373650872837016,0.030900570613412066,0.027129996226130087,0.02652532943273392,0.9997773272452167,0.9985481818525683,0.9991627545488926
suv,22,241,0.8691295250297167,0.8678138666762032,0.8732365368657683,0.8705252017709856,0.17253534143759908,-0.053266592838050644,0.12198894734923044,0.09620852926097445,0.07925518741851618,0.0835753230656777,1.0006091371057781,1.0050345673498453,1.0019407683019377
tank,20,200,0.8567291240325455,0.8567833833309038,0.8578897419721099,0.8573365626515068,0.35574477836264884,0.13447343661829247,0.3065789169617789,0.07991423461314667,0.08309695654256027,0.08027711510878431,0.9996867377616501,1.0009718517198345,1.0003292947407423
tent,18,205,0.9575719100908845,0.9575145427267752,0.9572497198849697,0.9573821313058724,0.09548653676411965,0.008396282411576222,0.06402794850989602,0.013446131073393621,0.012689067902795528,0.012612971652163863,0.9999252840866815,0.9996487418949614,0.9997870129908215
tower,13,165,0.9473851490046243,0.924019759713602,0.9473348015463767,0.9356772806299893,0.014685998496198255,0.00953825171139768,0.01592014756270324,0.047372490393528505,0.021718833961515922,0.03255627058538118,0.9803564706968071,0.9998457271317964,0.9875478771582238
tree,30,326,0.9376227540924422,0.9374684814157221,0.9375905374597759,0.9375295094377489,-0.08796332341076014,-0.024718919951690618,-0.05907234040294039,0.021819977905197036,0.02217844658597531,0.021532964761580967,0.9998608766547574,0.9999909267487634,0.9999259017017604
whitevan,19,181,0.9112081284166732,0.910636845339939,0.9087888984517315,0.9097128718958353,-0.06878491259391528,-0.11077371892723975,-0.1126103046166598,0.06718128432372324,0.06055261745758657,0.061576009128058586,0.9994519961412456,0.9974084472321961,0.9984302216867209
