slice_id,slice_label,slice_description,method_id,method_label,method_family,pair_row_count,scene_count,primary_miss_row_count,mean_primary_single_quality,mean_best_constituent_single,mean_pair_score,gain_vs_primary,gain_vs_best_constituent,rescue_rate_given_primary_miss,rank_desc_within_slice
hard_scene_mean_q25,Hard scenes by mean quality (Q1),Scene mean single-view quality <= dataset Q1 (0.8249).,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,5888,52,340,0.6981405997120756,0.7859010687606518,0.8674811258000842,0.16934052608800854,0.08158005703943239,0.9117647058823529,3
hard_scene_mean_q25,Hard scenes by mean quality (Q1),Scene mean single-view quality <= dataset Q1 (0.8249).,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,Geometry-aware accumulation,5888,52,340,0.6981405997120756,0.7859010687606518,0.8672055079206729,0.1690649082085972,0.08130443916002106,0.9117647058823529,4
hard_scene_mean_q25,Hard scenes by mean quality (Q1),Scene mean single-view quality <= dataset Q1 (0.8249).,support_weighted_or,Support-weighted OR,Evidence accumulation,5888,52,340,0.6981405997120756,0.7859010687606518,0.7917419029978542,0.09360130328577854,0.005840834237202386,0.9117647058823529,5
hard_scene_mean_q25,Hard scenes by mean quality (Q1),Scene mean single-view quality <= dataset Q1 (0.8249).,best_box,Best box (max),Selection,5888,52,340,0.6981405997120756,0.7859010687606518,0.7859010687606518,0.08776046904857615,0.0,0.9117647058823529,6
hard_scene_mean_q25,Hard scenes by mean quality (Q1),Scene mean single-view quality <= dataset Q1 (0.8249).,geometry_calibrated_selector,Geometry-calibrated selector,Geometry-aware selection,5888,52,340,0.6981405997120756,0.7859010687606518,0.7693937137298812,0.07125311401780554,-0.01650735503077061,0.9117647058823529,7
hard_scene_mean_q25,Hard scenes by mean quality (Q1),Scene mean single-view quality <= dataset Q1 (0.8249).,geometry_prior_selector,Geometry prior selector,Geometry-aware selection,5888,52,340,0.6981405997120756,0.7859010687606518,0.7409157816731612,0.04277518196108554,-0.04498528708749061,0.7088235294117647,8
hard_scene_mean_q25,Hard scenes by mean quality (Q1),Scene mean single-view quality <= dataset Q1 (0.8249).,viewpoint_cell_prior_selector,Viewpoint-cell selector,Geometry-aware selection,5888,52,340,0.6981405997120756,0.7859010687606518,0.713359910150399,0.015219310438323363,-0.07254115861025279,0.47058823529411764,9
hard_scene_mean_q25,Hard scenes by mean quality (Q1),Scene mean single-view quality <= dataset Q1 (0.8249).,primary_single_reference,Primary single reference,Reference,5888,52,340,0.6981405997120756,0.7859010687606518,0.6981405997120756,0.0,-0.08776046904857615,0.0,10
hard_scene_mean_q25,Hard scenes by mean quality (Q1),Scene mean single-view quality <= dataset Q1 (0.8249).,mean_quality,Mean quality,Naive averaging,5888,52,340,0.6981405997120756,0.7859010687606518,0.6981405997120756,0.0,-0.08776046904857615,0.9117647058823529,10
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,noisy_or_best_iou,Noisy-OR + best IoU,Evidence accumulation,5800,112,419,0.6694427779447009,0.7867625607204675,0.8666963913617379,0.19725361341703707,0.07993383064127046,0.9284009546539379,1
