scene_key,target_class,viewpoint_1,viewpoint_2,ordered_label,best_constituent_single,best_box_score,noisy_or_best_iou_score,support_weighted_or_score,geometry_prior_selector_score,geometry_calibrated_selector_score,viewpoint_cell_prior_selector_score,geometry_weighted_or_best_iou_score,geometry_weighted_or_mean_iou_score,viewpoint_cell_weighted_or_best_iou_score,hybrid_geometry_cell_weighted_or_best_iou_score
S0-SM_barrel_1,barrel,elhigh-radfar-az270,elhigh-radmid-az045,elhigh-radfar-az270 + elhigh-radmid-az045,0.7210195804470629,0.7210195804470629,0.8768903324932752,0.7989190637489734,0.5928629394154044,0.5928629394154044,0.5928629394154044,0.8766061065922208,0.7986601106252482,0.8754563695989942,0.8760008157606631
S0-SM_barrel_1,barrel,elhigh-radfar-az270,elhigh-radnear-az090,elhigh-radfar-az270 + elhigh-radnear-az090,0.7210195804470629,0.7210195804470629,0.8882301638808464,0.8573346789036909,0.7197477012297604,0.7197477012297604,0.7197477012297604,0.8924509198008361,0.86140862343805,0.8900812051784818,0.8912295366382542
S0-SM_barrel_1,barrel,elhigh-radfar-az270,ellow-radfar-az135,elhigh-radfar-az270 + ellow-radfar-az135,0.7210195804470629,0.7210195804470629,0.8769253057463284,0.8611042514164692,0.7210195804470629,0.7210195804470629,0.7210195804470629,0.8334019209901065,0.8183660941252723,0.8623729105595378,0.8481552535406249
S0-SM_barrel_1,barrel,elhigh-radfar-az270,ellow-radmid-az135,elhigh-radfar-az270 + ellow-radmid-az135,0.7424794234530765,0.7424794234530765,0.8867679358446001,0.8727068575941123,0.7210195804470629,0.7424794234530765,0.7424794234530765,0.8713420447582914,0.8575255678887066,0.8901582954545525,0.8809273659335236
S0-SM_barrel_1,barrel,elhigh-radfar-az270,ellow-radnear-az090,elhigh-radfar-az270 + ellow-radnear-az090,0.8696051268801597,0.8696051268801597,0.950498133042652,0.9246283578282655,0.8696051268801597,0.8696051268801597,0.8696051268801597,0.9728056192398072,0.9463286995887756,0.9728056192398072,0.9728056192398072
S0-SM_barrel_1,barrel,elhigh-radfar-az270,ellow-radnear-az135,elhigh-radfar-az270 + ellow-radnear-az135,0.7902033012941416,0.7902033012941416,0.8997175679376889,0.8798546169046848,0.7902033012941416,0.7902033012941416,0.7902033012941416,0.919851779937744,0.8995443284511566,0.9065654027428643,0.9189350348026402
S0-SM_barrel_1,barrel,elhigh-radfar-az270,ellow-radnear-az270,elhigh-radfar-az270 + ellow-radnear-az270,0.7445566805165171,0.7445566805165171,0.8979221209312372,0.8881985054064241,0.7445566805165171,0.7445566805165171,0.7445566805165171,0.9127708784000345,0.902886465401496,0.9116550437627527,0.9121895956594054
S0-SM_barrel_1,barrel,elhigh-radfar-az270,elmid-radfar-az225,elhigh-radfar-az270 + elmid-radfar-az225,0.770657237116577,0.770657237116577,0.9157488310679531,0.8985463090108058,0.7210195804470629,0.770657237116577,0.770657237116577,0.9059635378718918,0.8889448344736715,0.9213329853372482,0.9137886845197424
S0-SM_barrel_1,barrel,elhigh-radfar-az270,elmid-radmid-az090,elhigh-radfar-az270 + elmid-radmid-az090,0.7210195804470629,0.7210195804470629,0.8892543907356824,0.8513937167156722,0.712026533706343,0.712026533706343,0.712026533706343,0.9055621492140021,0.867007160120401,0.8927655091312757,0.8990232720052762
S0-SM_barrel_1,barrel,elhigh-radmid-az045,elhigh-radnear-az090,elhigh-radmid-az045 + elhigh-radnear-az090,0.7197477012297604,0.7197477012297604,0.8264511605798663,0.7783663662899324,0.7197477012297604,0.7197477012297604,0.7197477012297604,0.8333870072694807,0.7848986697610187,0.8286422117691024,0.8310663986547435
