group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,perimeter_unique_az_clean_reverse_cycle,8,8,1,elmid-radnear-az270,1,ellow-radnear-az225,9,2,ellow-radnear-az225 + elmid-radnear-az270,0.25863504152838607,0.4393533791769516,0.18071833764856554,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,8,1,elmid-radnear-az270,7,elhigh-radmid-az000,72,2,elmid-radnear-az270 + elhigh-radmid-az000,0.25863504152838607,0.43100376859857137,0.1723687270701853,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,8,1,elmid-radnear-az270,3,ellow-radfar-az135,12,2,ellow-radfar-az135 + elmid-radnear-az270,0.25863504152838607,0.4167162859145316,0.15808124438614551,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,8,1,elmid-radnear-az270,8,elhigh-radfar-az045,136,2,elmid-radnear-az270 + elhigh-radfar-az045,0.25863504152838607,0.4063587119328371,0.14772367040445106,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,8,1,elmid-radnear-az270,5,elmid-radfar-az090,24,2,elmid-radnear-az270 + elmid-radfar-az090,0.25863504152838607,0.3909525335146515,0.1323174919862654,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,8,1,elmid-radnear-az270,6,elhigh-radnear-az315,40,2,elmid-radnear-az270 + elhigh-radnear-az315,0.25863504152838607,0.3799231328295748,0.12128809130118873,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,8,1,elmid-radnear-az270,2,ellow-radmid-az180,10,2,ellow-radmid-az180 + elmid-radnear-az270,0.25863504152838607,0.33672999957539607,0.07809495804701,7
overall,all,perimeter_unique_az_clean_reverse_cycle,8,16,1,elmid-radfar-az090,4,elmid-radnear-az270,24,2,elmid-radnear-az270 + elmid-radfar-az090,0.1645345795989165,0.3909525335146515,0.22641795391573497,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,16,1,elmid-radfar-az090,1,ellow-radnear-az225,17,2,ellow-radnear-az225 + elmid-radfar-az090,0.1645345795989165,0.3877037467509495,0.22316916715203297,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,16,1,elmid-radfar-az090,7,elhigh-radmid-az000,80,2,elmid-radfar-az090 + elhigh-radmid-az000,0.1645345795989165,0.374263677822117,0.2097290982232005,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,16,1,elmid-radfar-az090,8,elhigh-radfar-az045,144,2,elmid-radfar-az090 + elhigh-radfar-az045,0.1645345795989165,0.35493209196890235,0.19039751236998584,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,16,1,elmid-radfar-az090,3,ellow-radfar-az135,20,2,ellow-radfar-az135 + elmid-radfar-az090,0.1645345795989165,0.3241544835856537,0.15961990398673717,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,16,1,elmid-radfar-az090,6,elhigh-radnear-az315,48,2,elmid-radfar-az090 + elhigh-radnear-az315,0.1645345795989165,0.3079116028005037,0.1433770232015872,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,16,1,elmid-radfar-az090,2,ellow-radmid-az180,18,2,ellow-radmid-az180 + elmid-radfar-az090,0.1645345795989165,0.27359965119693436,0.10906507159801784,7
overall,all,perimeter_unique_az_clean_reverse_cycle,8,32,1,elhigh-radnear-az315,7,elhigh-radmid-az000,96,2,elhigh-radnear-az315 + elhigh-radmid-az000,0.1671497781093131,0.381376123070562,0.2142263449612489,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,32,1,elhigh-radnear-az315,4,elmid-radnear-az270,40,2,elmid-radnear-az270 + elhigh-radnear-az315,0.1671497781093131,0.3799231328295748,0.21277335472026168,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,32,1,elhigh-radnear-az315,1,ellow-radnear-az225,33,2,ellow-radnear-az225 + elhigh-radnear-az315,0.1671497781093131,0.3720729364855641,0.204923158376251,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,32,1,elhigh-radnear-az315,8,elhigh-radfar-az045,160,2,elhigh-radnear-az315 + elhigh-radfar-az045,0.1671497781093131,0.361134091962843,0.1939843138535299,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,32,1,elhigh-radnear-az315,3,ellow-radfar-az135,36,2,ellow-radfar-az135 + elhigh-radnear-az315,0.1671497781093131,0.33831734266326857,0.17116756455395546,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,32,1,elhigh-radnear-az315,5,elmid-radfar-az090,48,2,elmid-radfar-az090 + elhigh-radnear-az315,0.1671497781093131,0.3079116028005037,0.1407618246911906,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,32,1,elhigh-radnear-az315,2,ellow-radmid-az180,34,2,ellow-radmid-az180 + elhigh-radnear-az315,0.1671497781093131,0.27425869129519276,0.10710891318587965,7
