group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,base_value,best_addition_player_index,best_addition_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,expanded_value,delta_value
overall,all,perimeter_unique_az_clean_reverse_cycle,8,8,1,elmid-radnear-az270,0.25863504152838607,1,ellow-radnear-az225,9,2,ellow-radnear-az225 + elmid-radnear-az270,0.4393533791769516,0.18071833764856554
overall,all,perimeter_unique_az_clean_reverse_cycle,8,9,2,ellow-radnear-az225 + elmid-radnear-az270,0.4393533791769516,7,elhigh-radmid-az000,73,3,ellow-radnear-az225 + elmid-radnear-az270 + elhigh-radmid-az000,0.5886670206303081,0.14931364145335646
overall,all,perimeter_unique_az_clean_reverse_cycle,8,73,3,ellow-radnear-az225 + elmid-radnear-az270 + elhigh-radmid-az000,0.5886670206303081,6,elhigh-radnear-az315,105,4,ellow-radnear-az225 + elmid-radnear-az270 + elhigh-radnear-az315 + elhigh-radmid-az000,0.6913544392971154,0.1026874186668073
overall,all,perimeter_unique_az_clean_reverse_cycle,8,105,4,ellow-radnear-az225 + elmid-radnear-az270 + elhigh-radnear-az315 + elhigh-radmid-az000,0.6913544392971154,3,ellow-radfar-az135,109,5,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radnear-az270 + elhigh-radnear-az315 + elhigh-radmid-az000,0.7773566913479145,0.08600225205079914
overall,all,perimeter_unique_az_clean_reverse_cycle,8,109,5,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radnear-az270 + elhigh-radnear-az315 + elhigh-radmid-az000,0.7773566913479145,5,elmid-radfar-az090,125,6,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radnear-az270 + elmid-radfar-az090 + elhigh-radnear-az315 + elhigh-radmid-az000,0.8500415838251454,0.07268489247723087
overall,all,perimeter_unique_az_clean_reverse_cycle,8,125,6,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radnear-az270 + elmid-radfar-az090 + elhigh-radnear-az315 + elhigh-radmid-az000,0.8500415838251454,8,elhigh-radfar-az045,253,7,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radnear-az270 + elmid-radfar-az090 + elhigh-radnear-az315 + elhigh-radmid-az000 + elhigh-radfar-az045,0.8945231957966309,0.04448161197148548
overall,all,perimeter_unique_az_clean_reverse_cycle,8,253,7,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radnear-az270 + elmid-radfar-az090 + elhigh-radnear-az315 + elhigh-radmid-az000 + elhigh-radfar-az045,0.8945231957966309,2,ellow-radmid-az180,255,8,ellow-radnear-az225 + ellow-radmid-az180 + ellow-radfar-az135 + elmid-radnear-az270 + elmid-radfar-az090 + elhigh-radnear-az315 + elhigh-radmid-az000 + elhigh-radfar-az045,0.9152057631599894,0.020682567363358495
