scene_key,target_class,view_count,scene_mean_distractor_count,scene_median_distractor_count,scene_max_distractor_count,scene_mean_target_visible_rate,scene_mean_target_detected_rate,scene_detected_given_visible,scene_mean_target_ap50_95,scene_mean_target_strict_quality_iou50,scene_mean_target_match_confidence_iou50,scene_clutter_group
S0-SM_tent_7,tent,11,4.545454545454546,5.0,8,1.0,1.0,1.0,0.9492424253995221,0.9616591759630725,0.975675945932215,Q2 mid-low clutter
S0-SM_tent_8,tent,11,6.454545454545454,5.0,13,1.0,1.0,1.0,0.9338541672762596,0.9620684480510484,0.9757320068099282,Q3 mid-high clutter
S0-SM_tent_9,tent,12,5.333333333333333,6.0,7,1.0,1.0,1.0,1.0,0.9654406183357503,0.9779481391112009,Q2 mid-low clutter
S0-SM_tower_1,tower,8,3.625,3.0,8,1.0,1.0,1.0,0.9284821450182547,0.9596677512883085,0.9754347875714302,Q1 low clutter
S0-SM_tower_10,tower,15,10.866666666666667,8.0,28,1.0,1.0,1.0,0.9136931829278668,0.928096748749873,0.9684702277183532,Q4 high clutter
S0-SM_tower_11,tower,11,5.090909090909091,4.0,17,1.0,1.0,1.0,0.9566115703095089,0.960904376337233,0.9744918454777111,Q2 mid-low clutter
S0-SM_tower_12,tower,12,10.833333333333334,8.0,33,1.0,1.0,1.0,0.9615476209971877,0.9467377407971554,0.9716245929400126,Q4 high clutter
S0-SM_tower_13,tower,14,6.285714285714286,5.5,16,1.0,1.0,1.0,0.925658123386469,0.9575480162628887,0.9716510943004063,Q3 mid-high clutter
S0-SM_tower_2,tower,11,6.363636363636363,7.0,16,1.0,1.0,1.0,0.9221450226581716,0.9591682131516631,0.9755179286003113,Q3 mid-high clutter
S0-SM_tower_3,tower,14,9.785714285714286,10.5,17,1.0,1.0,1.0,0.8894903890484992,0.896043653429495,0.9104276693293026,Q4 high clutter
S0-SM_tower_4,tower,16,5.125,4.0,15,1.0,1.0,1.0,0.8738012958095512,0.9499700345661028,0.9715767949819565,Q2 mid-low clutter
S0-SM_tower_5,tower,14,13.571428571428571,10.0,43,1.0,1.0,1.0,0.9048948085600775,0.9485473619832582,0.9715291133948735,Q4 high clutter
