scene_clutter_group,scene_count,view_count_total,mean_scene_distractor_count,min_scene_distractor_count,max_scene_distractor_count,mean_target_visible_rate,mean_target_detected_rate,mean_detected_given_visible,mean_target_ap50_95,std_target_ap50_95,mean_target_strict_quality_iou50,std_target_strict_quality_iou50,mean_target_match_confidence_iou50,std_target_match_confidence_iou50
Q1 low clutter,53,541,3.282781291036008,0.8,4.0,0.991735203999355,0.991735203999355,1.0,0.8927051482412575,0.08222007978842592,0.9051948913563704,0.07551197802045354,0.9427614542335191,0.05327672008742351
Q2 mid-low clutter,52,598,4.779645301279917,4.090909090909091,5.333333333333333,0.9771759490509491,0.9771759490509491,1.0,0.867498219088533,0.1166541024597633,0.8791889834175557,0.11184043234163847,0.9213075910948203,0.08190607860755836
Q3 mid-high clutter,49,540,6.087929455831617,5.357142857142857,7.2727272727272725,0.9782837060898286,0.9762428897632979,0.9977324263038548,0.8401688606045417,0.10733587250361595,0.8691494884055919,0.11170686006919875,0.9171308100166152,0.08455045144700475
Q4 high clutter,51,535,9.491744910862558,7.333333333333333,13.571428571428571,0.9786803610333021,0.9786803610333021,1.0,0.8037976519227882,0.11489570420518021,0.8375382609237987,0.1277113748353537,0.8969590514635343,0.09228612450522042
