view_clutter_group,sample_count,scene_count,mean_distractor_count,mean_target_visible_rate,mean_target_detected_rate,mean_target_ap50_95,mean_target_strict_quality_iou50,mean_target_match_confidence_iou50
0,190,66,0.0,1.0,1.0,0.9125753892572626,0.9052183002214814,0.9426312295095015
1-4,1038,194,2.576107899807322,0.9778420038535646,0.976878612716763,0.8773955163953775,0.8733844347810263,0.9172798102588782
5-9,585,169,6.505982905982906,0.9863247863247864,0.9863247863247864,0.859416821797667,0.8809265403515647,0.926702437747238
10+,401,163,16.41645885286783,0.9775561097256857,0.9775561097256857,0.7505461017624114,0.851108918967677,0.9073926843609893
