drone_count,relationship_axis,relationship_type,scene_count,mean_AP50_95,ci95_low,ci95_high,significant_matched_wins,significant_matched_losses,robustness_score
2,azimuth,diagonal_135,204,0.9306359257116774,0.9182045868707075,0.9419680892988964,1,0,0.9406359257116774
2,azimuth,adjacent_45,203,0.9289755826173063,0.9169350307736974,0.9399995977529768,0,0,0.9289755826173063
2,azimuth,quarter_turn_90,204,0.9268576657696228,0.9145613629129223,0.9386800758468663,0,0,0.9268576657696228
2,azimuth,opposite_180,194,0.9258783754930348,0.9127642434049174,0.9380679941454303,0,0,0.9258783754930348
2,azimuth,same_azimuth,200,0.9217438187269715,0.9088140502372822,0.9338996823236569,0,1,0.9017438187269715
2,distance,near_far,194,0.9285389010172375,0.916500746335474,0.9415420886044715,0,0,0.9285389010172375
2,distance,same_radius,205,0.9284974412624711,0.9168550290218106,0.9392361722029604,0,0,0.9284974412624711
2,distance,adjacent_radius,200,0.9249546780628374,0.9120173836863786,0.9367346108421278,0,0,0.9249546780628374
2,elevation,adjacent_elevation,201,0.9336180671105999,0.9216486561593187,0.9443926014628117,2,0,0.9536180671105999
2,elevation,low_high,198,0.9275994991070206,0.9140365005106748,0.9403596841327926,0,1,0.9075994991070205
2,elevation,same_elevation,205,0.9208073263663609,0.9083679906544467,0.9327115703386867,0,1,0.9008073263663608
2,mixed_diversity,elevation+azimuth,204,0.9324698583727152,0.9203873889348804,0.9439711649565778,3,0,0.9624698583727153
2,mixed_diversity,distance+elevation+azimuth,205,0.9314144574824067,0.9196552961050551,0.943218263216727,3,0,0.9614144574824067
2,mixed_diversity,distance+elevation,185,0.9287540987590007,0.9154774316976257,0.9413662415669438,3,0,0.9587540987590008
2,mixed_diversity,elevation_only,167,0.9381007541673543,0.9234326352551244,0.9518178220379792,2,0,0.9581007541673543
2,mixed_diversity,distance+azimuth,204,0.9251822326768643,0.9129002611247994,0.9366601241342783,1,3,0.8751822326768643
2,mixed_diversity,azimuth_only,193,0.9201900212188023,0.9062896585388166,0.9322577218430972,1,4,0.8501900212188024
2,mixed_diversity,distance_only,155,0.8987221268434925,0.8763334971723242,0.9197719904813036,0,6,0.7787221268434925
3,azimuth,medium_spread_azimuths,204,0.9494895707363836,0.9395261283561507,0.9591041780058822,0,0,0.9494895707363836
3,azimuth,compact_azimuths,202,0.9482532793101348,0.937664651241212,0.9573136824992524,0,0,0.9482532793101348
3,azimuth,broad_or_opposite_azimuths,194,0.9481565962011487,0.938199600773168,0.9576107366161855,0,0,0.9481565962011487
3,distance,near_far,194,0.9493126025606569,0.9386322235772961,0.9592368363869784,0,0,0.9493126025606569
3,distance,same_radius,197,0.9482323088974695,0.9376449118523312,0.9584009739607677,0,0,0.9482323088974695
3,distance,adjacent_radius,200,0.946577960685377,0.9363051280636385,0.9566293693275774,0,0,0.946577960685377
3,elevation,adjacent_elevation,201,0.9514105519616485,0.9414761655359852,0.9610392490041292,2,0,0.9714105519616485
3,elevation,low_high,198,0.9487133555757543,0.9374280355707677,0.9592571289722375,0,1,0.9287133555757543
3,elevation,same_elevation,197,0.9441334911819392,0.9338710817033486,0.9544063479443026,0,1,0.9241334911819392
3,mixed_diversity,distance+elevation,137,0.9541379154164901,0.9411960942642267,0.9658701998703958,2,0,0.9741379154164901
3,mixed_diversity,distance+elevation+azimuth,205,0.9494903980396002,0.9393283977190152,0.9594812793473488,2,0,0.9694903980396002
3,mixed_diversity,distance+azimuth,197,0.9446286233542871,0.9334089897110213,0.9548045123305994,2,0,0.9646286233542871
3,mixed_diversity,elevation+azimuth,197,0.9485026983913591,0.938214876011489,0.9590553001995115,1,0,0.9585026983913592
3,mixed_diversity,elevation_only,14,0.9376732428592386,0.8893084213901503,0.9809027735814662,0,0,0.9376732428592386
3,mixed_diversity,azimuth_only,118,0.9371773777738313,0.9198180406117865,0.9532716079995053,0,4,0.8571773777738313
3,mixed_diversity,distance_only,17,0.8958767090386046,0.830312253462842,0.949024047565574,0,3,0.8358767090386046
