drone_count,relationship_axis,relationship_type,metric,scene_count,total_combo_count,mean_scene_value,ci95_low,ci95_high,scene_sd
2,azimuth,adjacent_45,AP50,203,3035,0.996351952552826,0.9944689037548393,0.9978977399100194,0.012345017557703834
2,azimuth,diagonal_135,AP50,204,2933,0.9963214671978685,0.9944640886953428,0.9979589873609612,0.013052876651939707
2,azimuth,opposite_180,AP50,194,1485,0.9950074627579049,0.9891921639359795,0.9986656523527272,0.034044842971184014
2,azimuth,quarter_turn_90,AP50,204,3025,0.9938188390187559,0.9906012674333352,0.9963722235820136,0.020417548363452054
2,azimuth,same_azimuth,AP50,200,1368,0.9921169016513787,0.9866574090776588,0.9964357706053824,0.035044651679170806
2,distance,same_radius,AP50,205,3817,0.9960751633367914,0.9944487359480857,0.9975736223654684,0.011483328629142536
2,distance,near_far,AP50,194,2631,0.9944478387575443,0.9917971998041817,0.9967907079416424,0.018194647868520788
2,distance,adjacent_radius,AP50,200,5398,0.9942283366670952,0.9916098193823515,0.996380819722933,0.016737486292525618
2,elevation,low_high,AP50,198,2688,0.997899657676599,0.9965045996279998,0.9990106755480119,0.009047410820001192
2,elevation,adjacent_elevation,AP50,201,5385,0.9976029892303849,0.9962614814978487,0.9986775629261263,0.008597650888154267
2,elevation,same_elevation,AP50,205,3773,0.9900784931395811,0.9858933799598932,0.9935764412964893,0.02834398128238817
2,mixed_diversity,distance+elevation,AP50,185,692,0.9984665220493916,0.9972408015942834,0.9994779263841529,0.007888333891313057
2,mixed_diversity,distance+elevation+azimuth,AP50,205,4686,0.9978952970250946,0.9966811494010664,0.9989105370117309,0.008141748119605094
2,mixed_diversity,elevation_only,AP50,167,351,0.9975066250945183,0.9949331823401341,0.9994905759004025,0.015550892303741652
2,mixed_diversity,elevation+azimuth,AP50,204,2344,0.9971871045516345,0.9957931208303641,0.998332211367251,0.00963152457030651
2,mixed_diversity,azimuth_only,AP50,193,1122,0.9932342775137151,0.9890507169482857,0.9964826604323955,0.026764653445863307
2,mixed_diversity,distance+azimuth,AP50,204,2326,0.9911768927582761,0.987361876505502,0.9945242757304636,0.026832213241243442
2,mixed_diversity,distance_only,AP50,155,325,0.9748210149578327,0.9547593600502298,0.9894930461043447,0.11221793534938984
2,azimuth,diagonal_135,AP50-95,204,2933,0.9306359257116774,0.9182045868707075,0.9419680892988964,0.08605432563410867
