relation_type,relation_group,coalition_size,fusion_method,fusion_label,num_coalitions,mean_score,found_rate,average_precision,auc,precision,recall,f1,best_threshold,mean_delta_vs_best_single
geometry_group,other,3,max_score,Max,54,0.8021096057362027,0.8518518518518519,0.9999999999999999,1.0,1.0,1.0,1.0,0.6278475522994995,0.0
geometry_group,other,3,mean_score,Mean,54,0.5060372376802986,0.8518518518518519,0.9999999999999999,1.0,1.0,1.0,1.0,0.2092825174331665,-0.296072368055904
geometry_group,other,3,noisy_or_score,Noisy-OR,54,0.8254043366238472,0.8518518518518519,0.9999999999999999,1.0,1.0,1.0,1.0,0.6278475522994995,0.02329473088764446
geometry_group,other,3,product_score,Product,54,0.22623556712834858,0.8518518518518519,0.9066022544283413,0.6847826086956521,0.8518518518518519,1.0,0.92,0.0,-0.575874038607854
geometry_group,other,3,log_product_score,Log-product,54,-37.07159030131689,0.8518518518518519,0.9999999999999999,1.0,1.0,1.0,1.0,-55.72750012495371,-37.87369990705309
geometry_group,same_azimuth_different_elevation,3,max_score,Max,1142,0.7305640547965276,0.7924693520140105,0.9999999999999999,1.0,1.0,1.0,1.0,0.0237706489861011,0.0
geometry_group,same_azimuth_different_elevation,3,mean_score,Mean,1142,0.41936667302734304,0.7924693520140105,1.0,1.0,1.0,1.0,1.0,0.007923549662033699,-0.31119738176918466
geometry_group,same_azimuth_different_elevation,3,noisy_or_score,Noisy-OR,1142,0.7504502962286067,0.7924693520140105,1.0,1.0,1.0,1.0,1.0,0.02377064898610115,0.019886241432079014
geometry_group,same_azimuth_different_elevation,3,product_score,Product,1142,0.1419819125006912,0.7924693520140105,0.8420015287708879,0.6193370165745856,0.7924693520140105,1.0,0.8842208109428432,0.0,-0.5885821422958365
geometry_group,same_azimuth_different_elevation,3,log_product_score,Log-product,1142,-44.232656496247166,0.7924693520140105,1.0,1.0,1.0,1.0,1.0,-59.00134592705898,-44.96322055104369
geometry_group,same_elevation_different_azimuth,3,max_score,Max,10372,0.7348677603416741,0.797628229849595,1.0,1.0,1.0,1.0,1.0,0.0147368926554918,0.0
geometry_group,same_elevation_different_azimuth,3,mean_score,Mean,10372,0.42646204084684797,0.797628229849595,1.0,1.0,1.0,1.0,1.0,0.0049122975518306,-0.30840571949482615
geometry_group,same_elevation_different_azimuth,3,noisy_or_score,Noisy-OR,10372,0.7551209136148609,0.797628229849595,1.0,1.0,1.0,1.0,1.0,0.014736892655491829,0.020253153273186913
geometry_group,same_elevation_different_azimuth,3,product_score,Product,10372,0.14137981226397442,0.797628229849595,0.84611134944806,0.6197872597606673,0.797628229849595,1.0,0.8874229015821936,0.0,-0.5934879480776997
geometry_group,same_elevation_different_azimuth,3,log_product_score,Log-product,10372,-43.45981032874771,0.797628229849595,1.0,1.0,1.0,1.0,1.0,-59.47944345658036,-44.19467808908938
azimuth_relation,single_view,1,max_score,Max,14760,0.4224530580397339,0.4725609756097561,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
azimuth_relation,single_view,1,mean_score,Mean,14760,0.4224530580397339,0.4725609756097561,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
azimuth_relation,single_view,1,noisy_or_score,Noisy-OR,14760,0.4224530580397339,0.4725609756097561,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,3.585065801512705e-19
azimuth_relation,single_view,1,product_score,Product,14760,0.4224530580397339,0.4725609756097561,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
azimuth_relation,single_view,1,log_product_score,Log-product,14760,-14.641110056219816,0.4725609756097561,1.0,1.0,1.0,1.0,1.0,-6.363599699279306,-15.06356311425955
azimuth_relation,nearby_45_pair,2,max_score,Max,132840,0.6113561282785762,0.6722523336344475,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
azimuth_relation,nearby_45_pair,2,mean_score,Mean,132840,0.4224530580397339,0.6722523336344475,1.0,1.0,1.0,1.0,1.0,0.00086157635087145,-0.18890307023884229
azimuth_relation,nearby_45_pair,2,noisy_or_score,Noisy-OR,132840,0.6231645338461734,0.6722523336344475,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,0.011808405567597121
azimuth_relation,nearby_45_pair,2,product_score,Product,132840,0.2217415822332945,0.6722523336344475,0.8052862792394568,0.702951781595037,0.6722523336344475,1.0,0.8040082469771588,0.0,-0.3896145460452817
azimuth_relation,nearby_45_pair,2,log_product_score,Log-product,132840,-29.282220112439635,0.6722523336344475,1.0,1.0,1.0,1.0,1.0,-33.99462081520785,-29.893576240718208
azimuth_relation,opposing_180_pair,2,max_score,Max,66420,0.6216011973227183,0.6850045167118338,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
azimuth_relation,opposing_180_pair,2,mean_score,Mean,66420,0.4224530580397339,0.6850045167118338,1.0,1.0,1.0,1.0,1.0,0.00086157635087145,-0.19914813928298444
azimuth_relation,opposing_180_pair,2,noisy_or_score,Noisy-OR,66420,0.6321693817360952,0.6850045167118338,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,0.010568184413376862
azimuth_relation,opposing_180_pair,2,product_score,Product,66420,0.21273673434337262,0.6850045167118338,0.8046180593899659,0.6898654885929052,0.6850045167118338,1.0,0.8130595614646438,0.0,-0.4088644629793457
azimuth_relation,opposing_180_pair,2,log_product_score,Log-product,66420,-29.282220112439635,0.6850045167118338,1.0,1.0,1.0,1.0,1.0,-33.99462081520785,-29.903821309762346
azimuth_relation,other_pair_gap,2,max_score,Max,265680,0.6180355612057706,0.680664709424872,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
azimuth_relation,other_pair_gap,2,mean_score,Mean,265680,0.4224530580397339,0.680664709424872,1.0000000000000002,1.0,1.0,1.0,1.0,0.00086157635087145,-0.19558250316603681
azimuth_relation,other_pair_gap,2,noisy_or_score,Noisy-OR,265680,0.6289137932663234,0.680664709424872,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,0.010878232060552837
azimuth_relation,other_pair_gap,2,product_score,Product,265680,0.2159923228131442,0.680664709424872,0.8047353847277606,0.6942639585487644,0.680664709424872,1.0,0.8099946474842057,0.0,-0.4020432383926265
azimuth_relation,other_pair_gap,2,log_product_score,Log-product,265680,-29.28222011243964,0.680664709424872,1.0000000000000002,1.0,1.0,1.0,1.0,-33.99462081520785,-29.90025567364541
azimuth_relation,same_azimuth,2,max_score,Max,59040,0.6062555956022722,0.6659891598915989,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
azimuth_relation,same_azimuth,2,mean_score,Mean,59040,0.4224530580397339,0.6659891598915989,1.0,1.0,1.0,1.0,1.0,0.00086157635087145,-0.18380253756253823
