model,object,target_class,view_id,filename,n_views_in_game,predecessor_coalition_size,predecessor_coalition_count,shapley_weight_per_coalition,shapley_total_weight_for_size,mean_marginal_detection,mean_marginal_strict_quality,mean_marginal_noisy_or_best_iou
synthetic_m4,parkinglot_car,suv,6,2026-06-28 20.58.01.jpg,6,5,1,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,1,2026-06-29 17.37.15.jpg,7,0,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,1,2026-06-29 17.37.15.jpg,7,1,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,1,2026-06-29 17.37.15.jpg,7,2,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,1,2026-06-29 17.37.15.jpg,7,3,20,0.007142857142857143,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,1,2026-06-29 17.37.15.jpg,7,4,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,1,2026-06-29 17.37.15.jpg,7,5,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,1,2026-06-29 17.37.15.jpg,7,6,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,3,2026-06-29 17.36.06.jpg,7,0,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,3,2026-06-29 17.36.06.jpg,7,1,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,3,2026-06-29 17.36.06.jpg,7,2,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,3,2026-06-29 17.36.06.jpg,7,3,20,0.007142857142857143,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,3,2026-06-29 17.36.06.jpg,7,4,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
