model,object,target_class,view_id,filename,n_views_in_game,single_view_detection,single_view_strict_quality,single_view_noisy_or_quality,shapley_detection,shapley_strict_quality,shapley_noisy_or_best_iou,rank_shapley_strict,rank_shapley_detection
real_uav_finetuned,ooij_tower,tower,1,2026-06-29 17.37.15.jpg,7,1,0.5052050992996983,0.5052050992996983,0.14285714285714285,0.08961750468698512,0.11882029324522347,4,1
real_uav_finetuned,ooij_tower,tower,3,2026-06-29 17.36.06.jpg,7,1,0.24607189197067247,0.24607189197067247,0.14285714285714285,0.03515312742438178,0.11575812547637203,7,1
real_uav_finetuned,ooij_tower,tower,4,2026-06-29 17.36.07.jpg,7,1,0.3761873808459559,0.3761873808459559,0.14285714285714285,0.05736307507354955,0.08449892783083818,5,1
real_uav_finetuned,ooij_tower,tower,5,2026-06-29 17.36.40.jpg,7,1,0.6532714638042799,0.6532714638042799,0.14285714285714285,0.13897295952184566,0.1555830789562381,3,1
real_uav_finetuned,ooij_tower,tower,6,2026-06-29 17.36.50.jpg,7,1,0.7538825629935613,0.7538825629935613,0.14285714285714285,0.1892785091164863,0.19168868330745667,2,1
real_uav_finetuned,ooij_tower,tower,7,2026-06-29 17.36.51.jpg,7,1,0.80136612213989,0.80136612213989,0.14285714285714285,0.2367620682628152,0.20008573330495769,1,1
real_uav_finetuned,ooij_tower,tower,8,2026-06-29 17.36.53.jpg,7,1,0.36046639574733985,0.36046639574733985,0.14285714285714285,0.054218878053826344,0.07912394225874476,6,1
real_uav_finetuned,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,0,0.0,0.0,0.0,0.0,0.0,10,2
real_uav_finetuned,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,0,0.017608696802733876,0.017608696802733876,0.0,0.001956521866970431,0.0037504238116594867,9,2
real_uav_finetuned,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,1,0.6072019267349213,0.6072019267349213,0.125,0.08521992621687953,0.10075060433667866,6,1
real_uav_finetuned,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,1,0.8599412576050888,0.8599412576050888,0.125,0.16088596767784974,0.171845167859789,1,1
real_uav_finetuned,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,1,0.8505784204159799,0.8505784204159799,0.125,0.15152313048874083,0.16067379033718246,2,1
real_uav_finetuned,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,1,0.44694593062037286,0.44694593062037286,0.125,0.05851059353112143,0.07466944084008431,7,1
real_uav_finetuned,la_souris_truck,whitevan,7,2026-07-12 21.01.49.jpg,10,1,0.7965124538279313,0.7965124538279313,0.125,0.12449014719471703,0.13754829862832463,3,1
real_uav_finetuned,la_souris_truck,whitevan,8,2026-07-12 21.01.50.jpg,10,1,0.7860650461740908,0.7860650461740908,0.125,0.12100767797677014,0.13540865883516728,4,1
real_uav_finetuned,la_souris_truck,whitevan,9,2026-07-12 21.01.51.jpg,10,1,0.7857624887329542,0.7857624887329542,0.125,0.12093203861648606,0.13450226544728847,5,1
real_uav_finetuned,la_souris_truck,whitevan,10,2026-07-12 21.05.27.jpg,10,1,0.28527855415138986,0.28527855415138986,0.125,0.03541525403555243,0.045350257380383424,8,1
real_uav_finetuned,m_truck,whitevan,1,2026-07-12 21.22.14.jpg,5,1,0.8449951001385503,0.8449951001385503,0.2,0.19310988590155095,0.22645819031116943,1,1
real_uav_finetuned,m_truck,whitevan,2,2026-07-12 21.21.43.jpg,5,1,0.7088040806430077,0.7088040806430077,0.2,0.14176081612860156,0.16525787706412035,5,1
real_uav_finetuned,m_truck,whitevan,3,2026-07-12 21.21.46.jpg,5,1,0.8381410435441169,0.8381410435441169,0.2,0.18625582930711757,0.201499923992655,2,1
real_uav_finetuned,m_truck,whitevan,4,2026-07-12 21.21.47.jpg,5,1,0.8282885668013326,0.8282885668013326,0.2,0.18132959093572537,0.19817416441632738,3,1
real_uav_finetuned,m_truck,whitevan,5,2026-07-12 21.22.11.jpg,5,1,0.7119167275908214,0.7119167275908214,0.2,0.14253897786555497,0.16461848686733047,4,1
real_uav_finetuned,white_truck_bottendaal,whitevan,1,2026-06-30 15.33.46.jpg,7,1,0.9291180279439119,0.9291180279439119,0.14285714285714285,0.1582604958734737,0.1746183324558799,1,1
real_uav_finetuned,white_truck_bottendaal,whitevan,2,2026-06-30 15.33.52.jpg,7,1,0.9200221060943545,0.9200221060943545,0.14285714285714285,0.1491645740239164,0.15132739742220983,2,1
real_uav_finetuned,white_truck_bottendaal,whitevan,3,2026-06-30 15.34.24.jpg,7,1,0.7859374289061736,0.7859374289061736,0.14285714285714285,0.11227677555802479,0.1182868003136217,7,1
real_uav_finetuned,white_truck_bottendaal,whitevan,4,2026-06-30 15.34.33.jpg,7,1,0.86744166408828,0.86744166408828,0.14285714285714285,0.12807262245319886,0.13496303948545,4,1
real_uav_finetuned,white_truck_bottendaal,whitevan,5,2026-06-30 15.35.01.jpg,7,1,0.8370846227547679,0.8370846227547679,0.14285714285714285,0.12080130786612385,0.12753611549411484,6,1
real_uav_finetuned,white_truck_bottendaal,whitevan,6,2026-06-30 15.33.29.jpg,7,1,0.843443537680829,0.843443537680829,0.14285714285714285,0.12207309085133607,0.12836583623166126,5,1
real_uav_finetuned,white_truck_bottendaal,whitevan,7,2026-06-30 15.33.34.jpg,7,1,0.8986312806821981,0.8986312806821981,0.14285714285714285,0.13846916131783812,0.1435039603116231,3,1
