model,object,target_class,n_views_in_game,coalition_size,coalition_view_ids,coalition_filenames,detection,best_strict_quality,noisy_or_best_iou,best_matched_confidence,best_matched_iou,noisy_or_confidence
synthetic_m4,parkinglot_car,suv,6,0,empty,empty,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,1,1,2026-06-28 20.56.45.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,1,2,2026-06-28 20.56.46.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,1,3,2026-06-28 20.56.47.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,1,4,2026-06-28 20.56.54.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,1,5,2026-06-28 20.58.04.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,1,6,2026-06-28 20.58.01.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,2,1|2,2026-06-28 20.56.45.jpg|2026-06-28 20.56.46.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,2,1|3,2026-06-28 20.56.45.jpg|2026-06-28 20.56.47.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,2,1|4,2026-06-28 20.56.45.jpg|2026-06-28 20.56.54.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,2,1|5,2026-06-28 20.56.45.jpg|2026-06-28 20.58.04.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,2,1|6,2026-06-28 20.56.45.jpg|2026-06-28 20.58.01.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,2,2|3,2026-06-28 20.56.46.jpg|2026-06-28 20.56.47.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,2,2|4,2026-06-28 20.56.46.jpg|2026-06-28 20.56.54.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,2,2|5,2026-06-28 20.56.46.jpg|2026-06-28 20.58.04.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,2,2|6,2026-06-28 20.56.46.jpg|2026-06-28 20.58.01.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,2,3|4,2026-06-28 20.56.47.jpg|2026-06-28 20.56.54.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,2,3|5,2026-06-28 20.56.47.jpg|2026-06-28 20.58.04.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,2,3|6,2026-06-28 20.56.47.jpg|2026-06-28 20.58.01.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,2,4|5,2026-06-28 20.56.54.jpg|2026-06-28 20.58.04.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,2,4|6,2026-06-28 20.56.54.jpg|2026-06-28 20.58.01.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,2,5|6,2026-06-28 20.58.04.jpg|2026-06-28 20.58.01.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,3,1|2|3,2026-06-28 20.56.45.jpg|2026-06-28 20.56.46.jpg|2026-06-28 20.56.47.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,3,1|2|4,2026-06-28 20.56.45.jpg|2026-06-28 20.56.46.jpg|2026-06-28 20.56.54.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,3,1|2|5,2026-06-28 20.56.45.jpg|2026-06-28 20.56.46.jpg|2026-06-28 20.58.04.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,3,1|2|6,2026-06-28 20.56.45.jpg|2026-06-28 20.56.46.jpg|2026-06-28 20.58.01.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,3,1|3|4,2026-06-28 20.56.45.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.56.54.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,3,1|3|5,2026-06-28 20.56.45.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.58.04.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,3,1|3|6,2026-06-28 20.56.45.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.58.01.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,3,1|4|5,2026-06-28 20.56.45.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.04.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,3,1|4|6,2026-06-28 20.56.45.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.01.jpg,0.0,0.0,0.0,0.0,0.0,0.0
