run_name,object_id,description,target_class,available_view_count,view_index,file_name,coalition_count_k1_to_k3,single_view_detection_at_conf25_iou50,single_view_matched_confidence_iou50,single_view_matched_iou_iou50,single_view_strict_quality_iou50,coalition_count_k1,coalition_count_k2,coalition_count_k3,mean_marginal_k1_to_k3_detection_at_conf25_iou50,positive_marginal_rate_k1_to_k3_detection_at_conf25_iou50,mean_marginal_k1_detection_at_conf25_iou50,mean_marginal_k2_detection_at_conf25_iou50,mean_marginal_k3_detection_at_conf25_iou50,mean_marginal_k1_to_k3_best_matched_confidence_iou50,positive_marginal_rate_k1_to_k3_best_matched_confidence_iou50,mean_marginal_k1_best_matched_confidence_iou50,mean_marginal_k2_best_matched_confidence_iou50,mean_marginal_k3_best_matched_confidence_iou50,mean_marginal_k1_to_k3_best_strict_quality_iou50,positive_marginal_rate_k1_to_k3_best_strict_quality_iou50,mean_marginal_k1_best_strict_quality_iou50,mean_marginal_k2_best_strict_quality_iou50,mean_marginal_k3_best_strict_quality_iou50,mean_marginal_k1_to_k3_noisy_or_best_iou_iou50,positive_marginal_rate_k1_to_k3_noisy_or_best_iou_iou50,mean_marginal_k1_noisy_or_best_iou_iou50,mean_marginal_k2_noisy_or_best_iou_iou50,mean_marginal_k3_noisy_or_best_iou_iou50
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,1,2026-07-12 21.05.57.jpg,46,0,0.0,0.0,0.0,1,9,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,2,2026-07-12 21.06.04.jpg,46,0,0.02154119312763214,0.8174429660605093,0.017608696802733876,1,9,36,0.0,0.0,0.0,0.0,0.0,0.0009365736142448757,0.043478260869565216,0.02154119312763214,0.002393465903070238,0.0,0.0007655955131623425,0.043478260869565216,0.017608696802733876,0.0019565218669704305,0.0,0.006897339174889154,1.0,0.017608696802733876,0.013973639278227657,0.004830726437169953
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,3,2026-07-12 21.01.06.jpg,46,1,0.683940052986145,0.8877999235222767,0.6072019267349213,1,9,36,0.08695652173913043,0.08695652173913043,1.0,0.2222222222222222,0.027777777777777776,0.08510219597298166,0.2391304347826087,0.683940052986145,0.1922365145550834,0.04168423141042391,0.086964878598761,0.2391304347826087,0.6072019267349213,0.18655272504057654,0.047616887873413775,0.14022359370928086,1.0,0.6072019267349213,0.26026615143191023,0.09724133391680019
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,4,2026-07-12 21.01.23.jpg,46,1,0.8915921449661255,0.9645007108466178,0.8599412576050888,1,9,36,0.08695652173913043,0.08695652173913043,1.0,0.2222222222222222,0.027777777777777776,0.16637768240078635,0.8043478260869565,0.8915921449661255,0.3144299437602361,0.10921977087855339,0.20865469060075464,1.0,0.8599412576050888,0.3515019778872694,0.15485157525122795,0.24865081862738747,1.0,0.8599412576050888,0.41186185337552406,0.19086776996875038
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,5,2026-07-12 21.01.30.jpg,46,1,0.8926346302032471,0.9528853033881385,0.8505784204159799,1,9,36,0.08695652173913043,0.08695652173913043,1.0,0.2222222222222222,0.027777777777777776,0.16742016763790793,1.0,0.8926346302032471,0.31547242899735767,0.11026225611567497,0.1992918534116458,0.8043478260869565,0.8505784204159799,0.3421391406981605,0.14548873806211896,0.23776516193312466,1.0,0.8505784204159799,0.4014220704333916,0.17982834429464528
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,6,2026-07-12 21.01.33.jpg,46,1,0.613286018371582,0.7287724116181858,0.44694593062037286,1,9,36,0.08695652173913043,0.08695652173913043,1.0,0.2222222222222222,0.027777777777777776,0.06820666595645573,0.15217391304347827,0.613286018371582,0.16083472139305538,0.029908558974663418,0.04864279257136898,0.15217391304347827,0.44694593062037286,0.11532783787855497,0.020907555187655694,0.10485432354962951,1.0,0.44694593062037286,0.19425479039893323,0.07300166219644957
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,7,2026-07-12 21.01.49.jpg,46,1,0.8735823631286621,0.9117771688696744,0.7965124538279313,1,9,36,0.08695652173913043,0.08695652173913043,1.0,0.2222222222222222,0.027777777777777776,0.15247180215690448,0.4782608695652174,0.8735823631286621,0.2987919631931517,0.0958609129819605,0.155804010721259,0.6304347826086957,0.7965124538279313,0.2940805037310063,0.10343743071585904,0.20045918761522205,1.0,0.7965124538279313,0.35807943440440465,0.14449709074535114
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,8,2026-07-12 21.01.50.jpg,46,1,0.8627948760986328,0.9110682827979957,0.7860650461740908,1,9,36,0.08695652173913043,0.08695652173913043,1.0,0.2222222222222222,0.027777777777777776,0.14731256922949915,0.34782608695652173,0.8627948760986328,0.2916003051731322,0.0913661267194483,0.14921760154818559,0.4782608695652174,0.7860650461740908,0.28595474222246364,0.09734310958445204,0.1968980502858021,1.0,0.7860650461740908,0.35248281228381545,0.14163610990051298
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,9,2026-07-12 21.01.51.jpg,46,1,0.8769187927246094,0.8960493209314967,0.7857624887329542,1,9,36,0.08695652173913043,0.08695652173913043,1.0,0.2222222222222222,0.027777777777777776,0.1545752034239147,0.6304347826086957,0.8769187927246094,0.30138696398999953,0.09780716357959642,0.14907290016329416,0.34782608695652173,0.7857624887329542,0.2857530372617059,0.09721704398397844,0.1943464568463533,1.0,0.7857624887329542,0.3500239220608312,0.13899886743477266
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,10,2026-07-12 21.05.27.jpg,46,1,0.3708043694496155,0.7693505731198058,0.28527855415138986,1,9,36,0.08695652173913043,0.08695652173913043,1.0,0.2222222222222222,0.027777777777777776,0.03130728459876517,0.08695652173913043,0.3708043694496155,0.0800075050857332,0.00970175489783287,0.024041235282610686,0.08695652173913043,0.28527855415138986,0.06143871238889398,0.007435273815240445,0.05892410589546892,1.0,0.28527855415138986,0.11420099676587775,0.03881725961520224
