run_name,object_id,description,target_class,view_index,file_name,image_path,label_path,target_gt_present,target_gt_count,target_gt_area,target_prediction_count,best_target_prediction_confidence,best_target_prediction_iou,target_match_confidence_iou50,target_match_iou_at_confidence_iou50,target_strict_quality_iou50,detected_at_conf25_iou50
synthetic_m4,la_souris_truck,La Souris truck,whitevan,1,2026-07-12 21.05.57.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.05.57.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-05-57_jpg.rf.tiOZnEsoSN9Ofnhkbuwb.txt,1,1,241758.0,1,0.4828849136829376,0.7871083728731303,0.4828849136829376,0.7871083728731303,0.380082758693959,1
synthetic_m4,la_souris_truck,La Souris truck,whitevan,2,2026-07-12 21.06.04.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.06.04.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-06-04_jpg.rf.Wln2UCI1pTXOzVE8SB7O.txt,1,2,231357.0,1,0.842469334602356,0.7545000364507292,0.842469334602356,0.7545000364507292,0.6356431436660991,1
synthetic_m4,la_souris_truck,La Souris truck,whitevan,3,2026-07-12 21.01.06.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.01.06.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-01-06_jpg.rf.fQHt1jv2T2xTcx7Xzf2U.txt,1,1,129591.0,1,0.7451690435409546,0.4218959970470723,0.0,0.0,0.0,0
synthetic_m4,la_souris_truck,La Souris truck,whitevan,4,2026-07-12 21.01.23.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.01.23.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-01-23_jpg.rf.Atr07CnrZRSnQE1rn5Oh.txt,1,1,205450.0,1,0.6529809832572937,0.6705986385112553,0.6529809832572937,0.6705986385112553,0.43788815834608197,1
synthetic_m4,la_souris_truck,La Souris truck,whitevan,5,2026-07-12 21.01.30.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.01.30.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-01-30_jpg.rf.JBuLUWfrDgEhmbqNNd3k.txt,1,1,107410.0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic_m4,la_souris_truck,La Souris truck,whitevan,6,2026-07-12 21.01.33.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.01.33.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-01-33_jpg.rf.VdzgMQKpliqW9clCPjFw.txt,1,1,107410.0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic_m4,la_souris_truck,La Souris truck,whitevan,7,2026-07-12 21.01.49.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.01.49.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-01-49_jpg.rf.AeWLwcFhRksBo2jNjhJx.txt,1,2,142336.0,2,0.010764731094241142,0.46356575517942716,0.0,0.0,0.0,0
synthetic_m4,la_souris_truck,La Souris truck,whitevan,8,2026-07-12 21.01.50.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.01.50.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-01-50_jpg.rf.c3ozoMlR3l5RpL7eXGbV.txt,1,1,145500.0,1,0.0015083733014762402,0.0,0.0,0.0,0.0,0
synthetic_m4,la_souris_truck,La Souris truck,whitevan,9,2026-07-12 21.01.51.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.01.51.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-01-51_jpg.rf.U79drI6rTFwfacED6aew.txt,1,1,143748.29999999996,1,0.16300179064273834,0.46821090046036606,0.0,0.0,0.0,0
synthetic_m4,la_souris_truck,La Souris truck,whitevan,10,2026-07-12 21.05.27.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.05.27.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-05-27_jpg.rf.SDZ66HW2ZOJAwAJnpWeG.txt,1,1,267282.0,1,0.9713618159294128,0.8705844766688557,0.9713618159294128,0.8705844766688557,0.8456525181770173,1
