run_name,target_class,coalition_size,object_support,combination_count,macro_mean_detection_at_conf25_iou50,macro_mean_best_matched_confidence_iou50,macro_mean_best_matched_iou_iou50,macro_mean_best_strict_quality_iou50,macro_mean_noisy_or_confidence_iou50,macro_mean_noisy_or_best_iou_iou50
real_uav_finetuned,suv,1,1,6,1.0,0.864238570133845,0.8738622213966843,0.7529631335301786,0.864238570133845,0.7529631335301786
real_uav_finetuned,suv,2,1,15,1.0,0.9046026150385539,0.9011692259767643,0.7683760354855735,0.9822902522837544,0.8849939727120552
real_uav_finetuned,suv,3,1,20,1.0,0.9225027292966843,0.9151982675474508,0.7745021907884649,0.9977844785457638,0.9131559828950522
real_uav_finetuned,tower,1,1,7,1.0,0.624622928244727,0.8573127180173513,0.528064416685914,0.624622928244727,0.528064416685914
real_uav_finetuned,tower,2,1,21,1.0,0.7868460658050719,0.8834538326290422,0.6580548503982196,0.869362991131808,0.7652372744713257
real_uav_finetuned,tower,3,1,35,1.0,0.8686343542167119,0.8994004623838204,0.7248785406744197,0.9587161195474542,0.8613542174356217
real_uav_finetuned,whitevan,1,3,22,0.9333333333333332,0.8022887609544255,0.8747485006032578,0.7329432731857762,0.8022887609544255,0.7329432731857762
real_uav_finetuned,whitevan,2,3,76,0.9925925925925926,0.8851450956530041,0.9291105222906898,0.8207140473131687,0.9453897913686102,0.8819016722154402
real_uav_finetuned,whitevan,3,3,165,1.0,0.9106670314120868,0.9436763233119879,0.8527721647416292,0.9837291173645908,0.9291605926117338
synthetic_m4,suv,1,1,6,0.0,0.00016924835896740356,0.12218538302883768,0.00012407805340460652,0.00016924835896740356,0.00012407805340460652
synthetic_m4,suv,2,1,15,0.0,0.0003384967179348071,0.24437076605767535,0.00024815610680921303,0.0003384967179348071,0.00024815610680921303
synthetic_m4,suv,3,1,20,0.0,0.0005077450769022107,0.366556149086513,0.00037223416021381947,0.0005077450769022107,0.00037223416021381947
synthetic_m4,tower,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,tower,2,1,21,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,tower,3,1,35,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,whitevan,1,3,22,0.13333333333333333,0.09832323491573335,0.10275971748346568,0.07664221929610525,0.09832323491573335,0.07664221929610525
synthetic_m4,whitevan,2,3,76,0.2222222222222222,0.17000138803764628,0.1736090322905732,0.1336424553593206,0.1729877575710379,0.1367702765598404
synthetic_m4,whitevan,3,3,165,0.2777777777777778,0.22087233637770018,0.22023209984350164,0.1753844205075014,0.22816427615821552,0.18296685890150466
