run_name,object_id,description,target_class,available_view_count,coalition_size,combination_count,mean_detection_at_conf25_iou50,max_detection_at_conf25_iou50,mean_best_matched_confidence_iou50,max_best_matched_confidence_iou50,mean_best_matched_iou_iou50,max_best_matched_iou_iou50,mean_best_strict_quality_iou50,max_best_strict_quality_iou50,mean_noisy_or_confidence_iou50,max_noisy_or_confidence_iou50,mean_noisy_or_best_iou_iou50,max_noisy_or_best_iou_iou50
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,1,10,0.8,1.0,0.6087094441056251,0.8926346302032471,0.7839646661154701,0.9645007108466178,0.5435894775065462,0.8599412576050888,0.6087094441056251,0.8926346302032471,0.5435894775065462,0.8599412576050888
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,2,45,0.9777777777777777,1.0,0.8044248253107071,0.8926346302032471,0.9089708324085841,0.9645007108466178,0.7360599974041065,0.8599412576050888,0.8596123965879571,0.9883607505554153,0.7892460445498377,0.9532746464835947
real_uav_finetuned,la_souris_truck,La Souris truck,whitevan,10,3,120,1.0,1.0,0.8630059028665225,0.8926346302032471,0.9310427591277431,0.9645007108466178,0.8034897588515011,0.8599412576050888,0.9540748189891829,0.9985674271265811,0.8902179610008033,0.9631189932918657
real_uav_finetuned,m_truck,M truck,whitevan,5,1,5,1.0,1.0,0.8539968371391297,0.9117172360420227,0.9205240700672386,0.9560500177609577,0.7864291037435658,0.8449951001385503,0.8539968371391297,0.9117172360420227,0.7864291037435658,0.8449951001385503
real_uav_finetuned,m_truck,M truck,whitevan,5,2,10,1.0,1.0,0.8944558501243591,0.9117172360420227,0.9346565184393769,0.9560500177609577,0.8262897392380039,0.8449951001385503,0.9796024942833916,0.9921420353528987,0.915611962851736,0.946245782682126
real_uav_finetuned,m_truck,M truck,whitevan,5,3,10,1.0,1.0,0.9087116122245789,0.9117172360420227,0.9430148775332412,0.9560500177609577,0.8412682298264984,0.8449951001385503,0.997275277073436,0.9990872176137736,0.9404477209619471,0.955177352144394
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,7,1,7,1.0,1.0,0.624622928244727,0.9451229572296143,0.8573127180173513,0.9456316449609725,0.528064416685914,0.80136612213989,0.624622928244727,0.9451229572296143,0.528064416685914,0.80136612213989
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,7,2,21,1.0,1.0,0.7868460658050719,0.9451229572296143,0.8834538326290422,0.9456316449609725,0.6580548503982196,0.80136612213989,0.869362991131808,0.9964162190389487,0.7652372744713257,0.9072418744756834
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,7,3,35,1.0,1.0,0.8686343542167119,0.9451229572296143,0.8994004623838204,0.9456316449609725,0.7248785406744197,0.80136612213989,0.9587161195474542,0.9992256817253703,0.8613542174356217,0.9431245760370882
real_uav_finetuned,parkinglot_car,car on parking lot,suv,6,1,6,1.0,1.0,0.864238570133845,0.9446581602096558,0.8738622213966843,0.9277470045609211,0.7529631335301786,0.7886778343630383,0.864238570133845,0.9446581602096558,0.7529631335301786,0.7886778343630383
real_uav_finetuned,parkinglot_car,car on parking lot,suv,6,2,15,1.0,1.0,0.9046026150385539,0.9446581602096558,0.9011692259767643,0.9277470045609211,0.7683760354855735,0.7886778343630383,0.9822902522837544,0.9956077742614724,0.8849939727120552,0.9155057061979897
real_uav_finetuned,parkinglot_car,car on parking lot,suv,6,3,20,1.0,1.0,0.9225027292966843,0.9446581602096558,0.9151982675474508,0.9277470045609211,0.7745021907884649,0.7886778343630383,0.9977844785457638,0.9994510369701507,0.9131559828950522,0.926775469354532
real_uav_finetuned,white_truck_bottendaal,white truck Bottendaal,whitevan,7,1,7,1.0,1.0,0.9441600016185215,0.966159462928772,0.9197567656270651,0.9786014828115247,0.8688112383072165,0.9291180279439119,0.9441600016185215,0.966159462928772,0.8688112383072165,0.9291180279439119
real_uav_finetuned,white_truck_bottendaal,white truck Bottendaal,whitevan,7,2,21,1.0,1.0,0.9565546115239462,0.966159462928772,0.9437042160241081,0.9786014828115247,0.8997924052973956,0.9291180279439119,0.996954483234482,0.9986109159788583,0.9408470092447471,0.9769269361226648
