radius,count,original_mean_ap50_95,trained_mean_map50_95,mean_pct_delta,mean_rank_delta
radfar,24,0.7539553487640248,0.3426417319012424,0.1238262910798122,8.791666666666666
radmid,24,0.7898773831968725,0.34836014143091076,0.05692488262910798,4.041666666666667
radnear,24,0.8088252648799724,0.3241479662313123,-0.18075117370892016,-12.833333333333334
