ring_id,subset_size,added_drone_number,ring_scene_count,max_views_seen_in_any_ring_scene,mean_coalition_value,best_coalition_value,mean_marginal_gain_from_prev_size,best_marginal_gain_from_prev_size,mean_share_of_full_8_drone_value,best_share_of_full_8_drone_value,best_coalition_members,num_coalitions_of_this_size
elmid-radmid,8,8,148,4,0.9192475708197799,0.9192475708197799,0.058713207718151694,0.02793327249021693,1.0,1.0,az000 az045 az090 az135 az180 az225 az270 az315,1
elmid-radfar,0,0,145,4,0.0,0.0,nan,nan,0.0,0.0,(empty),1
elmid-radfar,1,1,145,4,0.17451071517053185,0.22292740826137006,0.17451071517053185,0.22292740826137006,0.19147990949859003,0.24460457867546703,az225,8
elmid-radfar,2,2,145,4,0.32773794320851807,0.373685291000934,0.15322722803798622,0.15075788273956395,0.3596067533360154,0.4100219612984299,az000 az225,28
elmid-radfar,3,3,145,4,0.46175294629265845,0.5140528664298889,0.13401500308414038,0.1403675754289549,0.5066532005236758,0.5640386966800254,az000 az090 az225,56
elmid-radfar,4,4,145,4,0.5785589860037494,0.615469409550365,0.11680603971109099,0.1014165431204761,0.6348173071856212,0.6753168521754753,az000 az090 az225 az315,70
elmid-radfar,5,5,145,4,0.6800913233246841,0.7125432813685469,0.1015323373209347,0.09707387181818194,0.7462225165585514,0.7818300606753621,az000 az090 az135 az225 az315,56
elmid-radfar,6,6,145,4,0.7682172186404523,0.7995302063178811,0.0881258953157682,0.08698692494933413,0.8429176589918165,0.8772754807493253,az000 az045 az090 az135 az225 az315,28
elmid-radfar,7,7,145,4,0.8447359317381402,0.8563035434189179,0.07651871309768787,0.056773337101036825,0.9268769519474159,0.9395693831003435,az000 az045 az090 az135 az180 az225 az270,8
elmid-radfar,8,8,145,4,0.9113787218069311,0.9113787218069311,0.06664279006879092,0.055075178388013235,1.0,1.0,az000 az045 az090 az135 az180 az225 az270 az315,1
elhigh-radnear,0,0,150,4,0.0,0.0,nan,nan,0.0,0.0,(empty),1
elhigh-radnear,1,1,150,4,0.17973738882598517,0.21664150900316845,0.17973738882598517,0.21664150900316845,0.19586858153635683,0.23608479764568482,az225,8
elhigh-radnear,2,2,150,4,0.33493266756368717,0.3905475447716015,0.155195278737702,0.17390603576843303,0.36499243109290774,0.4255986699071326,az000 az225,28
elhigh-radnear,3,3,150,4,0.46902697881067823,0.5403927608599571,0.13409431124699106,0.14984521608835566,0.5111215292599648,0.5888922957739833,az000 az135 az180,56
elhigh-radnear,4,4,150,4,0.5850931617654154,0.6678081869217023,0.11606618295473714,0.12741542606174516,0.6376044984862149,0.7277430876519418,az000 az135 az180 az225,70
elhigh-radnear,5,5,150,4,0.6858357522272399,0.7685347488685674,0.10074259046182454,0.10072656194686513,0.7473886030787199,0.8375097251914884,az000 az135 az180 az225 az315,56
elhigh-radnear,6,6,150,4,0.7735909825963777,0.8357806542005316,0.0877552303691378,0.06724590533196417,0.843019749202916,0.9107908615067153,az000 az045 az135 az180 az225 az315,28
elhigh-radnear,7,7,150,4,0.8503267818739386,0.8842407692583566,0.07673579927756091,0.04846011505782499,0.9266424848826139,0.9636002077393705,az000 az045 az135 az180 az225 az270 az315,8
elhigh-radnear,8,8,150,4,0.9176427756619179,0.9176427756619179,0.06731599378797926,0.03340200640356128,1.0,1.0,az000 az045 az090 az135 az180 az225 az270 az315,1
elhigh-radmid,0,0,159,4,0.0,0.0,nan,nan,0.0,0.0,(empty),1
elhigh-radmid,1,1,159,4,0.17418410566005516,0.23877242049110414,0.17418410566005516,0.23877242049110414,0.1920665560735138,0.26328577062344544,az000,8
elhigh-radmid,2,2,159,4,0.3244226658715296,0.4212374547552965,0.15023856021147447,0.18246503426419236,0.35772921937975893,0.46448340919188763,az000 az225,28
elhigh-radmid,3,3,159,4,0.4547524023749391,0.5512879299694742,0.13032973650340945,0.13005047521417767,0.5014391379703323,0.6078853963907641,az000 az090 az225,56
elhigh-radmid,4,4,159,4,0.5686077586523126,0.6501001593693451,0.11385535627737353,0.09881222939987089,0.6269833492969167,0.7168420921056904,az000 az090 az180 az225,70
elhigh-radmid,5,5,159,4,0.6688208999271927,0.7322951476643113,0.10021314127488012,0.08219498829496619,0.7374847802112798,0.8074755529975086,az000 az090 az135 az180 az225,56
elhigh-radmid,6,6,159,4,0.7576217131646352,0.8056535792386688,0.08880081323744249,0.07335843157435751,0.8354022469652753,0.888365260230265,az000 az045 az090 az135 az180 az225,28
elhigh-radmid,7,7,159,4,0.8366378070712082,0.8605696422607783,0.07901609390657294,0.054916063022109496,0.9225304552108405,0.9489192301680136,az000 az045 az090 az135 az180 az225 az270,8
elhigh-radmid,8,8,159,4,0.9068945120949943,0.9068945120949943,0.07025670502378611,0.04632486983421602,1.0,1.0,az000 az045 az090 az135 az180 az225 az270 az315,1
elhigh-radfar,0,0,147,4,0.0,0.0,nan,nan,0.0,0.0,(empty),1
elhigh-radfar,1,1,147,4,0.1768513522245502,0.23465975209118844,0.1768513522245502,0.23465975209118844,0.19387112444085217,0.25724287333221163,az045,8
elhigh-radfar,2,2,147,4,0.33016358264436246,0.39563101536791734,0.15331223041981226,0.1609712632767289,0.3619377754907385,0.4337056451548389,az045 az315,28
elhigh-radfar,3,3,147,4,0.46323954083491575,0.5463259108402577,0.1330759581905533,0.15069489547234038,0.5078206614620505,0.5989030748902032,az045 az090 az315,56
elhigh-radfar,4,4,147,4,0.5789754465570152,0.6744817175171752,0.11573590572209941,0.1281558066769175,0.6346947277232702,0.7393923051480052,az045 az090 az270 az315,70
elhigh-radfar,5,5,147,4,0.6798608897567908,0.7474511484725632,0.10088544319977566,0.07296943095538799,0.7452891566989684,0.8193841483043302,az045 az090 az225 az270 az315,56
elhigh-radfar,6,6,147,4,0.7679788305656989,0.8129473870420749,0.08811794080890811,0.0654962385695117,0.8418873678698071,0.8911835960235365,az045 az090 az180 az225 az270 az315,28
elhigh-radfar,7,7,147,4,0.845005599300521,0.8703571608103742,0.07702676873482206,0.057409773768299255,0.9263270177725372,0.9541183559467917,az045 az090 az135 az180 az225 az270 az315,8
elhigh-radfar,8,8,147,4,0.9122108964633643,0.9122108964633643,0.06720529716284329,0.04185373565299011,1.0,1.0,az000 az045 az090 az135 az180 az225 az270 az315,1
