subset_size,num_rings,mean_of_ring_mean_coalition_value,mean_of_ring_best_coalition_value,mean_of_ring_mean_marginal_gain,mean_of_ring_best_marginal_gain,min_ring_mean_coalition_value,max_ring_mean_coalition_value
0,9,0.0,0.0,nan,nan,0.0,0.0
1,9,0.17829845087414395,0.22890553758673848,0.17829845087414395,0.22890553758673848,0.15344738334003732,0.19663330919650063
2,9,0.3328976254149865,0.40961595384592614,0.15459917454084257,0.18071041625918768,0.2906707495084188,0.36455161551932436
3,9,0.4667736838032977,0.5507790341793939,0.1338760583883112,0.1411630803334677,0.41345733012293084,0.5070910366073959
4,9,0.5826231760003027,0.6629216545567289,0.11584949219700502,0.11214262037733505,0.5234120968618772,0.6274101899870247
5,9,0.6828630417476822,0.7517593726932712,0.1002398657473795,0.08883771813654232,0.6219577614640802,0.7284901930719057
6,9,0.7696306105675722,0.8194446947398488,0.08676756881988985,0.06768532204657757,0.7103347757288784,0.8131346631631188
7,9,0.8447836017625634,0.8705912974522401,0.07515299119499129,0.051146602712391256,0.7896013315161292,0.8839697174491292
8,9,0.9099001244157028,0.9099001244157028,0.06511652265313941,0.039308826963462745,0.860633360746207,0.9434439730057872
