factor,factor_value,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent
azimuth,315,261,156,10,0.3422441083362645,0.8861566484517304,0.4937833037300178,0.4347568208778173,0.9773333333333334,0.6018062397372742,0.5438505269665269,0.932629454318896,0.6490564219128894,0.9295460015786287,0.8007467604312363,0.7388980945529742,0.9711897298104195,0.8007909895308264,0.969737759494191,0.8744538372266468,0.8820330923963563,0.9254223389758004,0.9846743295019157,0.9846743295019157,4,0,0.0
azimuth,180,260,156,10,0.3474868444928325,0.884118190212373,0.49889279666536407,0.4826086956521739,0.9596541786743515,0.6422372227579557,0.5590193467836996,0.9278110311332365,0.6587934600610634,0.9202210684373646,0.7917795838795464,0.7488239994024717,0.9548820623820624,0.8022910365639988,0.9535377923774457,0.8588375676638963,0.8811181325835455,0.9234898945459953,0.9846153846153847,0.9846153846153847,4,0,0.0
azimuth,135,279,154,10,0.3199543155490292,0.8746654772524531,0.46852227929757495,0.44363636363636366,0.953125,0.6054590570719603,0.5125424983669479,0.9285163736476124,0.6231480949246403,0.9252928455293089,0.7938413902120725,0.7244057391046258,0.957799707262073,0.7817927703346705,0.9561434282906899,0.8515781970291671,0.868641340157133,0.922051508366848,0.985663082437276,0.985663082437276,4,0,0.0
azimuth,225,277,153,10,0.2736350667877059,0.8028919330289194,0.40816326530612246,0.40978432403997894,0.9546568627450981,0.5734265734265734,0.5042926740956364,0.8900586243496793,0.6051775248735786,0.8844352881773251,0.7604730001157701,0.6951392266079804,0.9473452940961966,0.758855799686338,0.9471200289536353,0.8493148421376676,0.8756159991891609,0.918207117796805,0.9819494584837545,0.9783393501805054,5,1,0.2
azimuth,000,301,155,10,0.336006524398532,0.8637316561844863,0.4838046775614052,0.44631043256997455,0.9595185995623632,0.6092393192080584,0.5509319848184613,0.9289336088153558,0.6541322828423173,0.9229292386657786,0.79404947776504,0.72411379030984,0.9414831753702186,0.7782460094046472,0.940383223695344,0.8487706107467033,0.872138839671277,0.9143176707021422,0.973421926910299,0.973421926910299,8,1,0.125
azimuth,090,272,166,10,0.27702702702702703,0.8331922099915327,0.4158039298542151,0.39806378132118453,0.9681440443213296,0.5641646489104116,0.5348299065306305,0.9109364470740499,0.6361682771581614,0.9080519416484742,0.7815778669777204,0.7067473672600421,0.9597352198455139,0.7686133509354297,0.9572984673306074,0.8473479168594009,0.8698775518612679,0.921772427199518,0.9852941176470589,0.9852941176470589,4,0,0.0
azimuth,045,280,161,10,0.27177177177177175,0.8501280956447481,0.41187422424493175,0.4067245119305857,0.9578544061302682,0.5709935287400076,0.5176582039538679,0.9148424296682823,0.6184913689848885,0.909358059302484,0.7802054536946769,0.706853540474196,0.9556448412698414,0.771277636240532,0.9556617520335818,0.8472185280695724,0.876527296302333,0.9240983449987002,0.9857142857142858,0.9857142857142858,4,0,0.0
azimuth,270,284,151,10,0.2922012397289895,0.8223123732251522,0.4311848542863221,0.43493975903614457,0.9588313413014609,0.5984251968503937,0.5493118801734843,0.9067086157098687,0.6492140923570158,0.8990272274247058,0.7760234452930665,0.7199731331683484,0.9447602280348759,0.7795437629111442,0.9440425706307781,0.8461027292380616,0.8677999221060201,0.9130428449593445,0.9753521126760564,0.9753521126760564,7,1,0.14285714285714285
elevation,high,731,201,10,0.5310716208939149,0.9756628413138109,0.6877746007392426,0.5751048951048952,0.985146142788692,0.7262451430589898,0.6815806819942505,0.9787999139974678,0.7741323173674555,0.9793442209271278,0.8789063132186679,0.8436025907528245,0.9911279592880139,0.8847375045803014,0.9905359950380133,0.8991895985639736,0.8826596979573782,0.9320448235804202,1.0,1.0,0,0,0.0
elevation,mid,739,201,10,0.3654679376083189,0.9115634005763689,0.5217525773195876,0.4755504055619931,0.9780743565300286,0.6399501013566193,0.5860621349809428,0.956227837806156,0.6892049736630057,0.9536029095608427,0.8398043600009512,0.7955332446226657,0.9826953079997734,0.8451613684110941,0.9813877145681644,0.8911870454412956,0.8942500934690867,0.9388340433331078,0.9986468200270636,0.9972936400541272,1,0,0.0
elevation,low,744,202,10,0.2088938226459449,0.7390550999191405,0.3257222858597429,0.31081989247311825,0.9181141439205955,0.4644157148236475,0.3372260514317503,0.8187354981449,0.44953668433366123,0.8052915395570379,0.637554685889623,0.5244915911528018,0.8884289321789322,0.6119234371048721,0.8870218096713517,0.7687619279627175,0.8455996837042906,0.8899175337445672,0.9475806451612904,0.9475806451612904,39,3,0.07692307692307693
elevation_azimuth,high|az000,106,92,10,0.551347414420976,0.9780361757105943,0.7051700046576619,0.56,0.9882352941176471,0.7148936170212766,0.6985399262451459,0.9813980045112121,0.7867862395353173,0.979830419844808,0.8825224744427543,0.8789776882944914,0.9901801029159519,0.904392059743319,0.9868733251809328,0.9156207155593639,0.8947266346542759,0.9357322017258068,1.0,1.0,0,0,0.0
elevation_azimuth,high|az225,99,84,10,0.5141955835962145,0.9731343283582089,0.672858617131063,0.5579567779960707,0.9793103448275862,0.7108886107634543,0.6872659505403715,0.9753059090180302,0.7786209463159998,0.9744531147780993,0.8813538494924598,0.8192887961764886,0.9878787878787878,0.8675163120996668,0.990706567996777,0.9147070964294289,0.8941087490678684,0.9374239336360585,1.0,1.0,0,0,0.0
