viewpoint,ellow-radnear-az000,ellow-radnear-az045,ellow-radnear-az090,ellow-radnear-az135,ellow-radnear-az180,ellow-radnear-az225,ellow-radnear-az270,ellow-radnear-az315,ellow-radmid-az000,ellow-radmid-az045,ellow-radmid-az090,ellow-radmid-az135,ellow-radmid-az180,ellow-radmid-az225,ellow-radmid-az270,ellow-radmid-az315,ellow-radfar-az000,ellow-radfar-az045,ellow-radfar-az090,ellow-radfar-az135,ellow-radfar-az180,ellow-radfar-az225,ellow-radfar-az270,ellow-radfar-az315,elmid-radnear-az000,elmid-radnear-az045,elmid-radnear-az090,elmid-radnear-az135,elmid-radnear-az180,elmid-radnear-az225,elmid-radnear-az270,elmid-radnear-az315,elmid-radmid-az000,elmid-radmid-az045,elmid-radmid-az090,elmid-radmid-az135,elmid-radmid-az180,elmid-radmid-az225,elmid-radmid-az270,elmid-radmid-az315,elmid-radfar-az000,elmid-radfar-az045,elmid-radfar-az090,elmid-radfar-az135,elmid-radfar-az180,elmid-radfar-az225,elmid-radfar-az270,elmid-radfar-az315,elhigh-radnear-az000,elhigh-radnear-az045,elhigh-radnear-az090,elhigh-radnear-az135,elhigh-radnear-az180,elhigh-radnear-az225,elhigh-radnear-az270,elhigh-radnear-az315,elhigh-radmid-az000,elhigh-radmid-az045,elhigh-radmid-az090,elhigh-radmid-az135,elhigh-radmid-az180,elhigh-radmid-az225,elhigh-radmid-az270,elhigh-radmid-az315,elhigh-radfar-az000,elhigh-radfar-az045,elhigh-radfar-az090,elhigh-radfar-az135,elhigh-radfar-az180,elhigh-radfar-az225,elhigh-radfar-az270,elhigh-radfar-az315
elhigh-radmid-az270,0.880767,0.922973,0.945642,0.938886,0.929482,0.898958,0.900299,0.821912,0.883767,0.878221,0.949668,0.946112,0.868262,0.676709,0.930286,0.955171,0.827459,0.680880,,0.838415,0.872675,0.721767,0.861917,0.849262,,0.908166,0.876331,0.826646,0.854366,0.905857,0.924501,0.911769,0.811077,0.884702,0.809407,0.959295,0.945163,0.810240,0.925823,0.885134,0.825890,0.872496,0.878415,0.821725,0.805504,0.923289,0.818948,0.844583,0.934053,0.900295,0.930747,0.743518,0.943442,0.952257,0.850565,0.818462,0.845482,0.912705,0.847516,0.804411,0.797444,0.849253,0.840503,0.785934,0.805319,0.835790,0.896305,0.953782,0.900457,0.812955,0.928712,0.948886
elhigh-radmid-az315,0.957839,0.953211,0.917609,0.901517,0.951988,0.955792,0.968010,0.897118,0.847525,0.955298,0.789400,0.920363,0.943186,0.951174,0.951349,0.948338,0.913630,0.847915,0.833882,0.863015,0.935399,0.866652,0.936973,0.801809,0.965767,0.949932,0.877593,0.954666,0.923402,0.924828,0.957340,0.952910,0.948240,0.731749,0.957309,0.827719,0.948987,0.886967,0.950967,,0.942401,0.771453,,0.867296,0.946166,0.943778,0.866303,0.904455,0.944935,0.947209,0.887792,0.874523,0.836274,0.940576,0.842126,0.896639,0.910711,0.952692,0.860232,0.957781,0.866445,0.813032,0.785934,0.892704,0.938695,0.948234,0.904623,0.950113,0.950761,0.902456,0.944941,0.947103
elhigh-radfar-az000,0.944669,0.931388,0.950815,0.956597,0.942966,0.934734,0.918579,0.905904,0.936880,0.940911,0.901785,0.907110,0.906469,0.891347,0.949580,0.941462,0.831167,0.930079,0.960014,0.881490,0.902308,0.867987,0.934454,0.929412,0.944306,0.957748,0.910769,0.947430,0.868463,0.960214,0.921664,0.880935,0.882460,0.891980,0.945878,0.929250,0.908360,0.947969,0.929791,0.954239,0.929020,0.888583,0.764665,0.914263,0.938866,0.916019,0.904324,0.950750,0.936357,0.821616,0.924617,0.887987,0.939750,0.956645,0.866459,0.930209,0.913916,0.940529,0.889975,0.848859,0.925996,0.891020,0.805319,0.938695,0.871967,0.856211,0.923645,0.950164,0.880997,0.939452,0.920069,0.894936
elhigh-radfar-az045,0.940812,0.927286,0.949773,0.960544,0.954354,0.919456,0.946287,0.946437,0.905904,0.904420,0.902843,0.944988,0.924392,0.880233,0.935099,0.925994,0.908785,0.900349,0.847198,0.849648,0.954052,0.764962,0.868898,0.963184,0.926972,0.932044,0.910280,0.912421,0.912844,0.886385,0.920662,0.884444,0.828008,0.957066,0.950370,0.939656,0.917350,0.839455,0.931741,0.960118,0.931947,0.859782,0.919979,0.830416,0.848059,0.927599,0.885368,0.772083,0.950249,0.846069,0.878625,0.874317,0.947212,0.914671,0.922492,0.918079,0.847289,0.824382,0.805161,0.771411,0.933093,0.945281,0.835790,0.948234,0.856211,0.884487,0.818264,0.947034,0.902740,0.905566,0.942592,0.932018
elhigh-radfar-az090,0.921090,0.968709,0.935238,0.923852,0.932466,0.962532,0.909924,0.941209,0.905106,0.859140,0.915535,0.953693,0.948182,0.820808,0.922483,0.914710,0.853793,0.872953,0.943126,0.929778,0.937744,0.902927,0.910198,0.899955,0.943478,0.952820,0.926923,0.948649,0.945169,0.894314,0.925494,0.924308,0.894762,0.903326,0.950590,0.945101,0.912249,0.778821,0.948588,0.938379,0.911877,0.943360,0.845225,0.872364,0.939324,0.942956,0.924242,0.884721,0.942008,0.941999,0.938130,0.958797,0.914091,0.950048,0.899531,0.946592,0.887739,0.873053,0.893646,0.903847,0.897686,0.935769,0.896305,0.904623,0.923645,0.818264,0.880325,0.950377,0.943394,0.948360,0.930105,0.872911
elhigh-radfar-az135,0.953177,0.960767,0.891737,0.942815,0.959023,0.927881,0.964460,0.941962,0.927694,0.952232,0.955641,0.926940,0.954214,0.881976,0.849149,0.945941,0.921974,0.938430,0.933436,0.898476,0.947653,0.920395,0.933300,0.877727,0.965319,0.866597,0.942223,0.895178,0.943192,0.939167,0.921847,0.960656,0.942308,0.902435,0.965448,0.958722,0.924976,0.935993,0.829988,0.907804,0.932102,0.954296,0.924934,0.910846,0.948585,0.947936,0.840911,0.952027,0.945731,0.876149,,0.956546,0.923342,0.961927,0.954745,0.893697,0.966511,0.949159,0.858949,0.871761,0.964023,0.961878,0.953782,0.950113,0.950164,0.947034,0.950377,0.900045,0.949528,0.875263,0.944837,0.951844
elhigh-radfar-az180,0.943677,0.891338,0.936560,0.948396,0.927115,0.936813,0.900272,0.909764,0.871115,0.917137,0.947820,0.929197,0.916909,0.954887,0.888446,0.942646,0.916621,0.902302,0.943044,0.870891,0.949642,0.846564,0.877647,0.942290,0.966057,0.971681,0.838040,0.961263,0.895396,0.967919,0.965188,0.909024,0.952553,0.827689,0.953835,0.883281,0.891594,0.943044,0.940435,0.879960,0.909037,0.831357,0.964691,0.930014,0.941010,0.886983,0.908350,0.949445,0.891641,0.926222,0.925239,0.866142,0.911479,0.915717,0.965811,0.955014,0.951544,0.928854,0.823842,0.905598,0.922257,0.898674,0.900457,0.950761,0.880997,0.902740,0.943394,0.949528,0.892690,0.937505,0.908919,0.935633
elhigh-radfar-az225,0.946438,0.885759,0.967836,0.955753,0.931074,0.936442,0.902133,0.961064,0.892003,0.804231,0.957694,0.964189,0.933400,0.880845,0.949291,0.954437,0.935629,0.813739,0.924921,0.816785,0.960490,0.872925,0.880706,0.809192,0.905613,0.958699,0.857468,0.925493,0.881542,0.892596,0.938444,0.909875,0.949508,0.899438,0.936527,0.864195,0.943020,0.887942,0.901795,0.899914,0.952201,0.933645,,0.838120,0.901805,0.932871,0.891793,0.880677,0.937197,0.958543,0.950633,0.889731,0.953032,0.913794,0.857289,0.870410,0.920411,0.912302,0.914686,0.783670,0.755214,0.847435,0.812955,0.902456,0.939452,0.905566,0.948360,0.875263,0.937505,0.882592,0.940159,0.951773
elhigh-radfar-az270,0.953498,0.956952,0.921277,0.918234,0.934874,0.961511,0.925320,0.945888,0.884174,0.921510,0.950890,0.890481,0.952502,0.941029,0.928214,0.943006,0.911117,0.931660,0.871013,0.878243,0.952891,0.917570,0.882326,0.954855,0.951759,0.960172,0.948741,0.929247,0.944849,0.927676,0.930554,0.960778,0.951275,0.949937,0.898921,0.946885,0.903213,0.942022,0.945495,0.954845,0.919463,0.955267,,0.920075,0.933445,0.920311,0.930903,0.956706,0.877233,0.933184,0.902266,0.938460,0.960876,0.910141,0.910181,0.943023,0.903000,0.876667,0.891420,0.954003,0.934105,0.935484,0.928712,0.944941,0.920069,0.942592,0.930105,0.944837,0.908919,0.940159,0.894079,0.958293
elhigh-radfar-az315,0.929808,0.950329,0.966444,0.961720,0.951123,0.960620,0.952812,0.955471,0.943173,0.932008,0.883827,0.887720,0.955000,0.934199,0.953239,0.942465,0.910130,0.868181,0.939999,0.870927,0.960681,0.964970,0.840535,0.949441,0.949933,0.945286,0.952864,0.955715,0.964040,0.966943,0.922822,0.956544,0.875577,0.943953,,0.934728,0.950040,0.967551,0.936981,0.951359,0.941050,0.921276,0.939257,0.847461,0.955148,0.930620,0.923280,0.925354,0.946334,0.892088,0.951590,0.940255,0.882891,0.894406,0.838806,0.891863,0.939589,0.957186,0.870370,0.959214,0.934143,0.909189,0.948886,0.947103,0.894936,0.932018,0.872911,0.951844,0.935633,0.951773,0.958293,0.906500
