drone_count,best_subset_label,best_subset_scene_count,best_subset_weighted_score,best_precision,best_recall,best_F1,best_AP50,best_AP50_95,best_gain_precision_vs_best_single,best_gain_recall_vs_best_single,best_gain_F1_vs_best_single,best_gain_AP50_vs_best_single,best_gain_AP50_95_vs_best_single,best_marginal_gain_precision_vs_previous_budget,best_marginal_gain_recall_vs_previous_budget,best_marginal_gain_F1_vs_previous_budget,best_marginal_gain_AP50_vs_previous_budget,best_marginal_gain_AP50_95_vs_previous_budget,average_precision_over_all_configurations,average_recall_over_all_configurations,average_F1_over_all_configurations,average_AP50_over_all_configurations,average_AP50_95_over_all_configurations,configuration_count
1,elmid-radnear-az270,43,0.8131942480320726,0.8126088477006469,0.9953488372093022,0.8618270378171655,0.9837807793079444,0.9136514213008092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7206418352553743,0.9535856484249599,0.7801115850689785,0.9524954121636645,0.8517723205884871,72
2,ellow-radnear-az180 + elhigh-radmid-az180,10,0.7817901807715151,0.7241861761426979,0.9800000000000001,0.7979505135387488,1.0,0.967144446250134,-0.08842267155794903,-0.015348837209302135,-0.06387652427841672,0.016219220692055614,0.05349302494932473,-0.08842267155794903,-0.015348837209302135,-0.06387652427841672,0.016219220692055614,0.05349302494932473,0.6695458051583524,0.9638353632067418,0.7542675481524758,0.9944645987490435,0.928536174289439,2532
3,ellow-radmid-az045 + ellow-radmid-az270 + elmid-radnear-az090,5,0.7762315107589379,0.6772727272727272,0.975,0.7854636591478696,1.0,0.9800000000000001,-0.13533612042791965,-0.02034883720930225,-0.07636337866929588,0.016219220692055614,0.06634857869919086,-0.04691344886997062,-0.0050000000000001155,-0.012486854390879154,0.0,0.012855553749866133,0.6382583091764615,0.9632875940911946,0.7366173749866681,0.9988742225043067,0.9507968925910678,29882
