drone_count,combination_label,viewpoint_1,viewpoint_2,viewpoint_3,scene_count,sample_count,class_count,dominant_target_class,dominant_target_class_count,precision,recall,F1,AP50,AP50-95,mean_ap50,mean_ap50_95,mean_best_strict_quality,mean_mean_strict_quality,mean_best_match_confidence_iou50,target_visible_any_rate,target_visible_all_rate,target_found_or_rate,target_found_majority_rate,target_found_all_rate,mean_absent_view_count,selected_has_absent_view_rate,all_selected_views_absent_rate,false_alarm_rate_when_any_selected_view_absent,class_mean_strict_quality_min,class_mean_strict_quality_std,class_mean_strict_quality_cv,class_robustness_score,elevation_pattern,radius_pattern,azimuth_pattern,unique_elevation_count,unique_radius_count,unique_azimuth_count,max_pairwise_azimuth_gap,mean_pairwise_azimuth_gap,radius_relationship,elevation_relationship,azimuth_relationship,diversity_type,diversity_factor_count,synergy_strict_vs_best_individual,synergy_ap50_95_vs_best_individual
2,ellow-radnear-az270 + elmid-radmid-az225,ellow-radnear-az270,elmid-radmid-az225,,3,3,2,whitevan,2,0.33921568627450976,0.8333333333333334,0.4761904761904761,1.0,1.0,0.8923611127150556,0.8892361127150555,0.9741215624092637,0.963786269613306,0.9813693364461263,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9739837643352232,0.00020669711106080513,0.00021217320353757358,0.1999575653592925,low + mid,near + mid,225 + 270,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3,0.010335292795957685,0.11076388728494446
2,elmid-radnear-az270 + elmid-radnear-az315,elmid-radnear-az270,elmid-radnear-az315,,4,4,3,tower,2,0.8888888888888888,1.0,0.9285714285714286,1.0,1.0,1.0,0.993750000372529,0.9717282039670474,0.9684816854654761,0.9814457595348358,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9642132913738415,0.0050748698011012835,0.005225333285202895,0.2984324000144391,mid,near,270 + 315,1,1,2,45,45.0,same_radius,same_elevation,adjacent_45,azimuth_only,1,0.003246518501571316,0.00624999962747097
2,elmid-radnear-az045 + elhigh-radfar-az180,elmid-radnear-az045,elhigh-radfar-az180,,4,4,3,tent,2,0.8611111111111112,1.0,0.9038461538461539,1.0,1.0,1.0,1.0,0.9716811785622355,0.960732545725461,0.9807388633489609,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9677061221513696,0.00264362761060423,0.0027230026332018637,0.29918309921003944,mid + high,near + far,045 + 180,2,2,2,135,135.0,near_far,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3,0.010948632836774497,0.0
2,ellow-radmid-az000 + elmid-radnear-az045,ellow-radmid-az000,elmid-radnear-az045,,4,4,3,rock,2,0.528657616892911,0.8854166666666666,0.6374458874458874,1.0,1.0,0.9270833334885538,0.8810069456753424,0.9700059924028537,0.9559010841885662,0.9807537794113159,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9657518017686968,0.004080489364047724,0.004200523282355225,0.29873984301529344,low + mid,near + mid,000 + 045,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3,0.014104908214287448,0.11899305432465757
2,elmid-radnear-az270 + elmid-radfar-az225,elmid-radnear-az270,elmid-radfar-az225,,3,3,2,tent,2,0.8055555555555555,1.0,0.8627450980392157,1.0,1.0,1.0,0.9555494232450922,0.9688065690387369,0.9583585510856896,0.9824919501940409,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9678477825426626,0.0007190898720557115,0.0007424266641114415,0.19985151466717774,mid,near + far,225 + 270,1,2,2,45,45.0,near_far,same_elevation,adjacent_45,distance+azimuth,2,0.010448017953047284,0.04445057675490782
2,ellow-radnear-az045 + elhigh-radfar-az090,ellow-radnear-az045,elhigh-radfar-az090,,3,3,3,rock,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9925925931444874,0.9687087031824421,0.9588154399541094,0.9808920423189799,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9626824754794505,0.007614479031307613,0.007860442469745765,0.29764186725907626,low + high,near + far,045 + 090,2,2,2,45,45.0,near_far,low_high,adjacent_45,distance+elevation+azimuth,3,0.009893263228332616,0.007407406855512555
2,ellow-radnear-az315 + elmid-radnear-az270,ellow-radnear-az315,elmid-radnear-az270,,4,4,4,container,1,0.7420634920634921,1.0,0.79875,1.0,1.0,1.0,0.9773958338548739,0.9686865400670035,0.9610354623522381,0.980100616812706,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9533357492622478,0.009185190023475016,0.00948210762053087,0.39620715695178765,low + mid,near,270 + 315,2,1,2,45,45.0,same_radius,adjacent_elevation,adjacent_45,elevation+azimuth,2,0.007651077714765364,0.02260416614512606
2,ellow-radnear-az000 + elmid-radnear-az315,ellow-radnear-az000,elmid-radnear-az315,,5,5,4,tower,2,0.5994897959183674,0.9714285714285713,0.6852813852813853,1.0,1.0,0.9772058824077249,0.9239943441189826,0.9685748033498214,0.9671321678559902,0.9806139707565308,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9661918261219284,0.0031719627427024763,0.003273914300104295,0.3986904342799583,low + mid,near,000 + 315,2,1,2,45,45.0,same_radius,adjacent_elevation,adjacent_45,elevation+azimuth,2,0.001442635493831168,0.07600565588101738
2,elmid-radnear-az225 + elmid-radmid-az000,elmid-radnear-az225,elmid-radmid-az000,,4,4,4,rock,1,0.875,1.0,0.9166666666666666,1.0,1.0,1.0,0.979166666790843,0.9681779405843427,0.9608083344827443,0.9801129847764969,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9582488763576258,0.006340491485058914,0.006548890673167081,0.39738044373073317,mid,near + mid,000 + 225,1,2,2,135,135.0,adjacent_radius,same_elevation,diagonal_135,distance+azimuth,2,0.007369606101598425,0.020833333209157034
2,elmid-radnear-az225 + elhigh-radfar-az180,elmid-radnear-az225,elhigh-radfar-az180,,3,3,3,rock,1,0.8333333333333334,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.9679187959917392,0.9579560821337468,0.9781688849131266,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9654729280179275,0.002579510756854177,0.0026650074030344505,0.29920049777908964,mid + high,near + far,180 + 225,2,2,2,45,45.0,near_far,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3,0.009962713857992411,0.0
