drone_count,relationship_axis,relationship_type,configuration_count,mean_scene_count,median_scene_count,mean_AP50,mean_AP50_95,median_AP50_95,mean_precision,mean_recall,mean_F1,mean_strict_quality,median_strict_quality,mean_synergy_strict_vs_best_individual,mean_class_robustness_score
2,azimuth,quarter_turn_90,642,4.711838006230529,5.0,0.9933835432079603,0.930175110324843,0.9403125000000001,0.6688623349421674,0.9599588739357171,0.7525649508085019,0.9100089563479948,0.924105465400284,0.034149323828171214,0.35332457169200937
2,azimuth,diagonal_135,642,4.568535825545172,4.0,0.9952116769332296,0.9300987884214339,0.9428571428571428,0.6675494708467957,0.9625351895264955,0.7531304958749072,0.9103693541646544,0.9212088292080849,0.0360232718515445,0.34168267050169704
2,azimuth,opposite_180,319,4.655172413793103,5,0.9976403739988665,0.9292043529672152,0.9404648096657132,0.6609124353332488,0.9659019897635723,0.748596590360843,0.9083179053091972,0.9176383606055794,0.03538967958719627,0.3468187774412477
2,azimuth,adjacent_45,643,4.720062208398134,4,0.9947860014263512,0.9277714589041847,0.9443091165819909,0.677841679235415,0.9663593832070234,0.760270502108577,0.909025728684421,0.9249758129828702,0.03628501581818738,0.35196016072456004
2,azimuth,same_azimuth,286,4.783216783216783,5.0,0.990949491185845,0.9223234742441179,0.9415550595548536,0.6665396249117334,0.9674759886714474,0.7534710138825035,0.9076160544379344,0.9251058241316434,0.03373339740664432,0.353359148774535
2,distance,near_far,571,4.607705779334501,4,0.99469477255497,0.9352527178076604,0.947453781538643,0.6679160130653116,0.9626815841464368,0.7516631700942737,0.915483941161306,0.9275790647842663,0.03877179961095425,0.34676268465544174
2,distance,same_radius,818,4.666259168704157,5.0,0.9953113925649374,0.9286904808756895,0.9418452410772442,0.6723512589182951,0.9648641332079655,0.7573703368930462,0.9086427827079614,0.9217385838526413,0.03267474927062964,0.34873188432783647
2,distance,adjacent_radius,1143,4.722659667541557,5,0.9937435956129232,0.9250704095156357,0.9390625,0.6683522357003413,0.963675497924531,0.7533480544354564,0.9068301798756504,0.9207405010145377,0.03539150355455638,0.3507758224576546
2,elevation,adjacent_elevation,1141,4.71954425942156,5,0.9970914178050451,0.932841410394955,0.9444444450756742,0.6830847332893583,0.9669857567622034,0.7658406132940171,0.9113836821595159,0.92376852437721,0.03389025415760208,0.3485420265429377
2,elevation,low_high,571,4.7075306479859895,4,0.9980082937385685,0.932836260174252,0.9450000004470349,0.6160104383146447,0.9608695233999409,0.7159051745587672,0.9103499892288287,0.9239412701572547,0.04371485838539382,0.3581094393720355
2,elevation,same_elevation,820,4.601219512195122,4.0,0.9883418543808523,0.9195512676594122,0.9350893865701804,0.6879857776830834,0.9615169430639389,0.7648773627811452,0.9058773134907534,0.9207604775027605,0.03132825233195611,0.3439438990495152
2,mixed_diversity,distance+elevation+azimuth,998,4.695390781563126,4.0,0.9975139459597689,0.9329352648481284,0.9437787740165866,0.6613620384499885,0.963702727157549,0.748918862797887,0.9109195964068039,0.9232684916013918,0.03807646603085908,0.3505541066026371
2,mixed_diversity,elevation+azimuth,500,4.688,4.5,0.9970913360989948,0.9327309034594429,0.9451459754347091,0.6595188687286067,0.9644282037145967,0.7484247740291092,0.9107672827023565,0.9233036000996766,0.035790799528414956,0.3507121383867794
2,mixed_diversity,elevation_only,71,4.943661971830986,5,0.9966753231962266,0.9327219047802545,0.9441666667039196,0.67819598184115,0.973398563606588,0.763104023946341,0.9173596138435617,0.926710882469834,0.02919593123039059,0.36517822798704486
2,mixed_diversity,distance+elevation,143,4.839160839160839,5,0.998010555076923,0.932611556171958,0.9453703715017548,0.651685157431513,0.9712344388142672,0.7467985780034516,0.9096831751441077,0.9248918335801974,0.03958979126937954,0.356854688091066
2,mixed_diversity,distance+azimuth,501,4.642714570858283,5,0.9893275854578644,0.9236609325981914,0.9402345049009753,0.6842094141290624,0.9616968507547987,0.7615631676667863,0.9095904387238073,0.9237827424657121,0.033964136728488824,0.34720997456185176
2,mixed_diversity,azimuth_only,247,4.5425101214574894,4,0.991316206970402,0.9193526574380346,0.933333334128062,0.6966476952232403,0.963293364739877,0.7738306188816473,0.9018365276155519,0.916064951626868,0.027366939359554,0.3399957813753052
2,mixed_diversity,distance_only,72,4.513888888888889,4.0,0.9712791271697166,0.8916361925254114,0.921679751712265,0.684547784740663,0.9541709721323061,0.7572239946626692,0.893902290843736,0.9218397175558224,0.026576394297517663,0.3347616939640887
3,azimuth,medium_spread_azimuths,11259,1.386890487609912,1,0.998605197948919,0.9512803744531176,1.0,0.6383735709788769,0.9598696576839572,0.7359158878382043,0.9196866230923152,0.9501265319423062,0.04546739405565058,0.13159697163784004
3,azimuth,broad_or_opposite_azimuths,10011,1.3760863050644292,1,0.9993186914704205,0.9511247235893764,1.0,0.6364162440153514,0.9659374032740123,0.7358114476151056,0.9183336679410116,0.9510385066072082,0.04454669008898866,0.13047675085600804
3,azimuth,compact_azimuths,8612,1.4230143985137018,1.0,0.9987092629884388,0.9497837204581271,1.0,0.6402489247935631,0.9646758089402309,0.7384713209598761,0.9189625747308616,0.9498801798242518,0.04460750829151656,0.13463330415268926
3,distance,near_far,13363,1.393923520167627,1,0.99888040320221,0.9538487451611917,1.0,0.6357630424194625,0.9622647574939602,0.7339952567481465,0.9222556366242592,0.9526495929474947,0.04762333109078187,0.1324736196935589
3,distance,same_radius,3017,1.381173351010938,1,0.9990373944110172,0.9488440020492368,1.0,0.6401758860232152,0.9648200615344781,0.7384982712136497,0.9177921342461702,0.9501889695663834,0.038000192006160075,0.13140137387745934
3,distance,adjacent_radius,13502,1.3962375944304548,1.0,0.9988316449373811,0.9482128283687407,0.9933333337306977,0.6402994082971194,0.9639574734551746,0.7387922159068696,0.9161024138279775,0.9485140642561305,0.0437710719087004,0.13187913989776143
3,elevation,low_high,13661,1.396603469731352,1,0.9993337136201969,0.9519998325162947,1.0,0.6058160548621763,0.9615940438917016,0.714443886727925,0.919272699382527,0.9504108147479684,0.04841526112083655,0.13263840240211042
3,elevation,adjacent_elevation,13267,1.3994874500640688,1,0.9990161132002391,0.9511359360181928,1.0,0.6645057688188543,0.9653405291195866,0.7552631517941746,0.9190090682379308,0.9503480420026236,0.04213291029991093,0.13227196091429363
3,elevation,same_elevation,2954,1.3540961408259986,1.0,0.9961120112662866,0.9437110931780032,1.0,0.6704074591804646,0.9618994086658724,0.755418492859892,0.9179478937571747,0.9485276438767585,0.041183467311885394,0.12880492592678838
3,mixed_diversity,distance+elevation+azimuth,23829,1.3975827772881784,1,0.9991938570954585,0.9518013911713634,1.0,0.635089199383655,0.9632948198174911,0.7348102326548503,0.9191139120646199,0.9503941940392835,0.0461118835920111,0.1323918036654691
3,mixed_diversity,elevation+azimuth,2767,1.3906758221900977,1,0.9990966763743274,0.9499039247578023,1.0,0.6343002744257539,0.9642501844237721,0.7341997193573079,0.9188522606994856,0.9502622329151365,0.03848658236323903,0.13215185405754717
3,mixed_diversity,distance+elevation,323,1.4891640866873066,1,0.998889878112935,0.949248994235821,0.9874999999999999,0.6141434095591252,0.9671693610579346,0.7203836949840206,0.9232168835314991,0.9488859321986425,0.0460452858516787,0.1394812379011047
