object_class,coefficient,value,r_squared
barrel,intercept,0.7757809476451814,0.32902553133837165
barrel,azimuth_sin,-0.015114828909135847,0.32902553133837165
barrel,azimuth_cos,0.043394093974518315,0.32902553133837165
barrel,elevation,0.11954497773254943,0.32902553133837165
barrel,radius,-0.01374320119602036,0.32902553133837165
barrel,azimuth_sin_x_elevation,0.02737511133317613,0.32902553133837165
barrel,azimuth_cos_x_elevation,-0.04561214222505754,0.32902553133837165
barrel,azimuth_sin_x_radius,-0.03546647284013373,0.32902553133837165
barrel,azimuth_cos_x_radius,-0.04844334034329126,0.32902553133837165
barrel,elevation_x_radius,-0.007706733689779616,0.32902553133837165
container,intercept,0.8485547958723406,0.24769573923055255
container,azimuth_sin,0.010269404987652553,0.24769573923055255
container,azimuth_cos,0.010669346691256628,0.24769573923055255
container,elevation,0.08785669461016331,0.24769573923055255
container,radius,-0.047487515029981116,0.24769573923055255
container,azimuth_sin_x_elevation,0.0030723930076003853,0.24769573923055255
container,azimuth_cos_x_elevation,0.016502590807545306,0.24769573923055255
container,azimuth_sin_x_radius,0.00902663641101434,0.24769573923055255
container,azimuth_cos_x_radius,-0.012653913648622086,0.24769573923055255
container,elevation_x_radius,0.033513645282451154,0.24769573923055255
male,intercept,0.740222576397478,0.24180450743016157
male,azimuth_sin,-0.04138630669818401,0.24180450743016157
male,azimuth_cos,0.014643421451416066,0.24180450743016157
male,elevation,0.0833999125495252,0.24180450743016157
male,radius,-0.020969566622862732,0.24180450743016157
male,azimuth_sin_x_elevation,0.06913046563588165,0.24180450743016157
male,azimuth_cos_x_elevation,0.008084599013655581,0.24180450743016157
male,azimuth_sin_x_radius,0.0055828050490077585,0.24180450743016157
male,azimuth_cos_x_radius,-9.980965148321218e-05,0.24180450743016157
male,elevation_x_radius,0.033823023264519456,0.24180450743016157
rock,intercept,0.8243390539605892,0.3081035994217741
rock,azimuth_sin,-0.012228279224329786,0.3081035994217741
rock,azimuth_cos,0.03643851285979065,0.3081035994217741
rock,elevation,0.10529761950941463,0.3081035994217741
rock,radius,-0.01861300147787982,0.3081035994217741
rock,azimuth_sin_x_elevation,0.013054339021132585,0.3081035994217741
rock,azimuth_cos_x_elevation,-0.052559203252492304,0.3081035994217741
rock,azimuth_sin_x_radius,0.011898626210535487,0.3081035994217741
rock,azimuth_cos_x_radius,-0.004336355834249207,0.3081035994217741
rock,elevation_x_radius,-0.0013022218031486545,0.3081035994217741
suv,intercept,0.7957726838477563,0.37829084542578884
suv,azimuth_sin,0.034714056889232695,0.37829084542578884
suv,azimuth_cos,-0.018275914330030854,0.37829084542578884
suv,elevation,0.1507055801523606,0.37829084542578884
suv,radius,0.01101793246128122,0.37829084542578884
suv,azimuth_sin_x_elevation,-0.05537343570744017,0.37829084542578884
suv,azimuth_cos_x_elevation,0.0008114901613611881,0.37829084542578884
suv,azimuth_sin_x_radius,0.022575396077318625,0.37829084542578884
suv,azimuth_cos_x_radius,0.0028599715823278086,0.37829084542578884
suv,elevation_x_radius,-0.01745784371483093,0.37829084542578884
tank,intercept,0.7735370478387603,0.4257716597473781
tank,azimuth_sin,0.05804845699792846,0.4257716597473781
tank,azimuth_cos,-0.02551099183292778,0.4257716597473781
tank,elevation,0.17592430931122033,0.4257716597473781
tank,radius,-0.027209972366615147,0.4257716597473781
tank,azimuth_sin_x_elevation,-0.07861385187804211,0.4257716597473781
tank,azimuth_cos_x_elevation,0.054182516148388774,0.4257716597473781
tank,azimuth_sin_x_radius,-0.038934527418773235,0.4257716597473781
tank,azimuth_cos_x_radius,-0.03170410879745274,0.4257716597473781
tank,elevation_x_radius,0.001543337320716747,0.4257716597473781
tent,intercept,0.8606237657748069,0.20492250807448975
tent,azimuth_sin,-0.004577180918693604,0.20492250807448975
tent,azimuth_cos,0.011325164826106519,0.20492250807448975
tent,elevation,0.06392741678925815,0.20492250807448975
tent,radius,-0.02713872275081745,0.20492250807448975
tent,azimuth_sin_x_elevation,0.03535598723838223,0.20492250807448975
