object_class,best_viewpoint,base_predicted_value,mean_perturbed_value,worst_perturbed_value,mean_drop,worst_drop,sensitivity_rank
tree,az315 | high | near,0.9264002673011754,0.8724626798661297,0.8174779310626449,0.05393758743504573,0.10892233623853054,1
barrel,az045 | mid | near,0.8688538068460016,0.8499720707071031,0.7637498946502301,0.01888173613889843,0.10510391219577142,2
rock,az270 | high | far,0.896996764181637,0.8821951862957172,0.8506093129059479,0.014801577885919737,0.04638745127568911,3
male,az000 | mid | near,0.7759353741232401,0.7705282244451139,0.7142788046017503,0.005407149678126166,0.06165656952148979,4
container,az090 | low | near,0.8398696371436474,0.8383131172841968,0.8037558715422368,0.0015565198594506002,0.03611376560141055,5
tent,az225 | low | near,0.858492207977445,0.8573414934258776,0.8232753311768125,0.0011507145515673445,0.03521687680063246,6
whitevan,az045 | mid | mid,0.7720971007301537,0.7721820337554739,0.6799795830072722,-8.493302532019964e-05,0.09211751772288146,7
suv,az315 | mid | far,0.755380137970637,0.7565661135911488,0.6600361043355416,-0.0011859756205118144,0.09534403363509536,8
tower,az045 | mid | near,0.7033250591767282,0.7060912517192407,0.6368481855233987,-0.0027661925425125355,0.06647687365332944,9
tank,az270 | mid | near,0.7037640357886737,0.7075239364724358,0.5757082497141486,-0.003759900683762085,0.12805578607452517,10
