group_type,group_value,completed_count,all_defined_count,completed_share,design_share,coverage_ratio_vs_design,avg_mAP50-95_completed_only
radius_combo,radfar-radfar,273,276,0.1076923076923077,0.107981220657277,0.9973244147157191,0.4258596625010368
radius_combo,radfar-radmid,569,576,0.2244575936883629,0.22535211267605634,0.9960305719921104,0.42560958261744447
radius_combo,radfar-radnear,573,576,0.22603550295857988,0.22535211267605634,1.0030325443786983,0.42051278724640356
radius_combo,radmid-radmid,274,276,0.10808678500986194,0.107981220657277,1.0009776177000258,0.4286774451818049
radius_combo,radmid-radnear,571,576,0.2252465483234714,0.22535211267605634,0.9995315581854044,0.41735240431877174
radius_combo,radnear-radnear,275,276,0.10848126232741617,0.107981220657277,1.0046308206843324,0.4044829776673491
