viewpoint_pair,viewpoint_1,viewpoint_2,sample_count,scene_count,mean_precision,mean_recall,mean_f1,mean_ap50_95,mean_best_ap50_95,mean_target_ap50_95,mean_best_target_ap50_95,mean_target_match_confidence_iou50,mean_best_target_match_confidence_iou50,mean_target_strict_quality_iou50,mean_best_target_strict_quality_iou50,mean_azimuth_gap,target_visible_rate,target_detected_rate,target_detected_given_visible
elhigh-radfar-az135 + elhigh-radfar-az180,elhigh-radfar-az135,elhigh-radfar-az180,1,1,0.45161290322580644,0.9333333333333333,0.6086956521739131,0.715587802650407,0.7213541676290334,0.826666673347354,0.8533333370089531,0.9636132121086121,0.9643229842185974,0.9449899266619539,0.9495277659595871,45.0,1.0,1.0,1.0
elhigh-radfar-az135 + elhigh-radfar-az225,elhigh-radfar-az135,elhigh-radfar-az225,5,5,0.41076423111940563,0.9468253968253968,0.5478087322902331,0.8366966200380235,0.9104956349745568,0.830792846182556,0.9021493757818602,0.9122411370277405,0.9147845149040222,0.8669838588125724,0.8752632301092909,90.0,1.0,1.0,1.0
elhigh-radfar-az135 + elhigh-radfar-az270,elhigh-radfar-az135,elhigh-radfar-az270,3,3,0.5531289910600256,1.0,0.7092227695675971,0.8511174708720338,0.9207768231003707,0.9537301602557537,0.9817777780956692,0.965024491151174,0.9680819908777872,0.9355322205565427,0.9448373973623383,135.0,1.0,1.0,1.0
elhigh-radfar-az135 + elhigh-radfar-az315,elhigh-radfar-az135,elhigh-radfar-az315,4,4,0.4267945645662001,0.9916666666666667,0.5828488372093024,0.8237052035590906,0.8715132098549412,0.8497833091216407,0.901538370881174,0.9640472158789635,0.9655941277742386,0.9424398256100539,0.9518435236516272,180.0,1.0,1.0,1.0
elhigh-radfar-az180 + elhigh-radfar-az225,elhigh-radfar-az180,elhigh-radfar-az225,3,3,0.7380530450705889,0.9753086419753086,0.8279835390946501,0.8946977066424405,0.9338882891348049,0.9490740772474696,1.0,0.9593752125898997,0.9601504405339559,0.932391166193454,0.9375048978654176,45.0,1.0,1.0,1.0
elhigh-radfar-az180 + elhigh-radfar-az270,elhigh-radfar-az180,elhigh-radfar-az270,6,6,0.65674121200437,0.9607088989441931,0.7758842255280767,0.897478827807217,0.9511629248285217,0.9500000008071462,0.9833333333333334,0.932279959321022,0.939201831817627,0.8928727655053382,0.9089189654626407,90.0,1.0,1.0,1.0
elhigh-radfar-az180 + elhigh-radfar-az315,elhigh-radfar-az180,elhigh-radfar-az315,3,3,0.7335978835978837,1.0,0.8444636736909973,0.9212982091998315,0.9431282031365803,0.9776875001390776,1.0,0.952866385380427,0.9553867777188619,0.925859702085671,0.9356327001956627,135.0,1.0,1.0,1.0
elhigh-radfar-az225 + elhigh-radfar-az270,elhigh-radfar-az225,elhigh-radfar-az270,6,6,0.5481919203537561,0.9901960784313726,0.6856987891319074,0.8850828771023256,0.916676536937329,0.9774889636118379,0.9875555559131834,0.9581663956244787,0.9620686074097952,0.931038426141631,0.9401589534757969,45.0,1.0,1.0,1.0
elhigh-radfar-az225 + elhigh-radfar-az315,elhigh-radfar-az225,elhigh-radfar-az315,1,1,0.9090909090909091,1.0,0.9523809523809523,0.9050000065565109,0.910000005364418,1.0,1.0,0.965250164270401,0.9670923352241516,0.9468110538577257,0.9517734569240872,90.0,1.0,1.0,1.0
elhigh-radfar-az270 + elhigh-radfar-az315,elhigh-radfar-az270,elhigh-radfar-az315,2,2,0.6179337231968811,0.9615384615384616,0.7381362183427588,0.8859649789756108,0.9389105127433731,0.9350313607485805,0.9580817242667391,0.9660377502441406,0.9684343039989471,0.9523938700271426,0.9582931025317958,45.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radfar-az000,elhigh-radmid-az000,elhigh-radfar-az000,6,6,0.7525,0.980952380952381,0.8419968362579553,0.9169831041574542,0.9456613446298318,0.9273358595303515,0.9666666666666667,0.9505986322959264,0.95630810658137,0.9014845287689649,0.9139156537591434,0.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radfar-az045,elhigh-radmid-az000,elhigh-radfar-az045,10,10,0.6812826553991342,0.9960000000000001,0.782683924979461,0.8651596467328011,0.9023366508916322,0.8484146508163392,0.8946808094711617,0.9036908924579621,0.9140495419502258,0.8284685876030261,0.8472894354954394,45.0,1.0,1.0,1.0
