scene_key,target_class,available_view_count,pair_count,single_expected_precision,single_expected_recall,single_expected_f1,single_expected_ap50_95,single_expected_target_visible_rate,single_expected_target_detected_rate,single_expected_target_detected_given_visible,single_expected_target_ap50_95,single_expected_target_match_confidence_iou50,single_expected_target_strict_quality_iou50,pair_expected_precision,pair_expected_recall,pair_expected_f1,pair_expected_ap50_95,pair_expected_best_available_ap50_95,pair_expected_target_visible_rate,pair_expected_target_detected_rate,pair_expected_target_detected_given_visible,pair_expected_mean_target_ap50_95,pair_expected_target_ap50_95,pair_expected_best_target_ap50_95,pair_expected_target_match_confidence_iou50,pair_expected_target_strict_quality_iou50,delta_target_detected_rate,delta_target_ap50_95,delta_target_match_confidence_iou50,delta_target_strict_quality_iou50,delta_ap50_95
S0-SM_barrel_1,barrel,10,45,0.5808130910231132,0.8677083333333334,0.6594000571880756,0.6918853809667642,1.0,1.0,1.0,0.8300000000000001,0.826345032453537,0.7358395454530946,0.4309738852398962,0.8178135407644436,0.5403349826201423,0.6918853809667641,0.8406353701727317,1.0,1.0,1.0,0.8300000000000001,0.9022222222222223,0.9022222222222223,0.851772145430247,0.7752227074626047,0.0,0.07222222222222219,0.025427112976710076,0.039383162009510086,-1.1102230246251565e-16
S0-SM_barrel_10,barrel,9,36,0.49713165170440565,0.9269521796403516,0.5935514876999118,0.7972162871919966,0.8888888888888888,0.8888888888888888,1.0,0.6354166668322352,0.7567868630091349,0.6409184560520207,0.42130137212008445,0.9034264381352306,0.5554711370418177,0.7972162871919967,0.9066599630218116,1.0,1.0,1.0,0.6354166668322352,0.7826388890130652,0.7826388890130652,0.8650836017396715,0.7525940675025455,0.11111111111111116,0.14722222218083003,0.10829673873053658,0.11167561145052485,1.1102230246251565e-16
S0-SM_barrel_11,barrel,7,21,0.753083664896648,0.9696969696969697,0.8363447612295538,0.8399311126360833,1.0,1.0,1.0,0.7454931998283278,0.8375392811638969,0.7303661560974655,0.6975177108784838,0.9548743246417666,0.798049044558377,0.8399311126360832,0.9213426005330567,1.0,1.0,1.0,0.745493199828328,0.7908730158848423,0.7908730158848423,0.8549651986076718,0.7698078813001237,0.0,0.04537981605651442,0.017425917443774974,0.03944172520265821,-1.1102230246251565e-16
S0-SM_barrel_12,barrel,8,28,0.3429510718689823,0.7882861024844721,0.46345551371569477,0.6116350870185931,1.0,1.0,1.0,0.8432291669771075,0.8701302483677864,0.7947611289802898,0.27259878629783413,0.7385080934857623,0.39207919525358115,0.6116350870185931,0.7451671942257593,1.0,1.0,1.0,0.8432291669771076,0.8972842265984842,0.8972842265984842,0.8920222563402993,0.8255890819610191,0.0,0.05405505962137669,0.021892007972512895,0.030827952980729267,0.0
S0-SM_barrel_13,barrel,11,55,0.6017045454545454,0.981060606060606,0.7188374972248247,0.7873047912067258,1.0,1.0,1.0,0.7804653683169321,0.8641981049017473,0.7486230182205705,0.528516031065917,0.9767298814646432,0.6696105490264435,0.7873047912067259,0.8330123854049448,1.0,1.0,1.0,0.7804653683169321,0.8408468615873294,0.8408468615873294,0.8795901937918229,0.7926462461170739,0.0,0.06038149327039721,0.015392088890075595,0.04402322789650337,1.1102230246251565e-16
S0-SM_barrel_14,barrel,9,36,0.6136222857714085,0.95679012345679,0.7339432127667422,0.8041505815744874,1.0,1.0,1.0,0.8097376552766856,0.8775499794218276,0.8006758529454348,0.5681840562527226,0.9499075769909103,0.7014999684222176,0.8041505815744874,0.8665756260501332,1.0,1.0,1.0,0.8097376552766856,0.861903936319329,0.861903936319329,0.8953109317355685,0.8304111511494876,0.0,0.052166281042643425,0.017760952313740974,0.02973529820405285,0.0
S0-SM_barrel_15,barrel,10,45,0.4674514387429528,0.9179999999999999,0.5935514670059006,0.7617554801081896,1.0,1.0,1.0,0.7550228183211551,0.8692909359931946,0.7612676422446739,0.4068557843228439,0.8785648577893714,0.546291232103201,0.7617554801081896,0.8682116641782711,1.0,1.0,1.0,0.7550228183211553,0.8298785284273786,0.8298785284273786,0.8949675692452325,0.8187783563251161,0.0,0.0748557101062235,0.02567663325203784,0.05751071408044217,0.0
S0-SM_barrel_16,barrel,8,28,0.7428876678876679,0.981547619047619,0.8260998964803312,0.9021325877686246,0.75,0.75,1.0,0.5828125,0.6133245453238487,0.5284314846666698,0.6732606883773349,0.9766981382643412,0.780112887652414,0.9021325877686246,0.9533509862062555,0.9642857142857143,0.9642857142857143,1.0,0.5828125000000001,0.7848214285714287,0.7848214285714287,0.8027845110212054,0.7024934811295503,0.2142857142857143,0.20200892857142871,0.18945996569735668,0.17406199646288056,0.0
S0-SM_barrel_17,barrel,10,45,0.6740036231884059,0.9577777777777777,0.767234861066153,0.825196599807791,0.8,0.8,1.0,0.61,0.662573367357254,0.5692040010663206,0.5942130872029721,0.9352160591089984,0.7065165872223756,0.8251965998077911,0.9173274198552588,0.9777777777777777,0.9777777777777777,1.0,0.61,0.7777777777777778,0.7777777777777778,0.8223399930530124,0.7201491223719971,0.1777777777777777,0.1677777777777778,0.1597666256957584,0.1509451213056765,1.1102230246251565e-16
S0-SM_barrel_18,barrel,9,36,0.369049739049055,0.8511111111111112,0.48046847675102655,0.7060827890520137,1.0,1.0,1.0,0.6906944447093539,0.8207063343789842,0.7220375594606208,0.29177039462494964,0.8105867535808815,0.4177871421050774,0.7060827890520137,0.830408385999759,1.0,1.0,1.0,0.6906944447093539,0.7983449075267547,0.7983449075267547,0.8634856045246124,0.7894422212578793,0.0,0.10765046281740076,0.04277927014562821,0.06740466179725857,0.0
S0-SM_barrel_19,barrel,9,36,0.2866206610295092,0.8583726256876162,0.4189989650406428,0.603741573046142,1.0,1.0,1.0,0.5997453704062434,0.8330710927645365,0.6832701010264013,0.24564764760201596,0.8103448492863176,0.3720997727725013,0.603741573046142,0.755972760408739,1.0,1.0,1.0,0.5997453704062434,0.7161689815421899,0.7161689815421899,0.8493669877449671,0.7383425470859974,0.0,0.11642361113594646,0.016295894980430603,0.05507244605959616,0.0
S0-SM_barrel_2,barrel,14,91,0.6168249244142101,0.9333333333333333,0.7013049034233123,0.8207797991737521,0.7857142857142857,0.7857142857142857,1.0,0.5928571428571429,0.6608022791998727,0.5619330860396209,0.499768127810062,0.9172421880114187,0.612432197568057,0.8207797991737521,0.9229053258523641,0.967032967032967,0.967032967032967,1.0,0.5928571428571429,0.7747252747252747,0.7747252747252747,0.8242791969697554,0.7177170589402956,0.18131868131868134,0.1818681318681319,0.1634769177698827,0.1557839729006747,0.0
S0-SM_barrel_20,barrel,10,45,0.5122024811548543,0.9257130124777184,0.625534220728934,0.7699795050624634,0.9,0.9,1.0,0.6577083334326744,0.7569905877113342,0.6611124927591814,0.4104383997475395,0.9227245304166902,0.5566661611769884,0.7699795050624635,0.866712174392047,1.0,1.0,1.0,0.6577083334326744,0.7973611112435659,0.7973611112435659,0.8506542325019837,0.7666009485237402,0.09999999999999998,0.13965277781089147,0.09366364479064948,0.10548845576455879,1.1102230246251565e-16
S0-SM_barrel_21,barrel,12,66,0.555906965805764,0.9495726495726496,0.6787743726684425,0.7984175837037016,0.9166666666666666,0.9166666666666666,1.0,0.71875,0.7700321425994238,0.6765444678837577,0.5231875535991758,0.9394881689739959,0.659713042806256,0.7984175837037016,0.8564005227958599,1.0,1.0,1.0,0.71875,0.8428030303030303,0.8428030303030303,0.8581569411537864,0.7707292891758972,0.08333333333333337,0.12405303030303028,0.08812479855436262,0.09418482129213956,0.0
S0-SM_barrel_3,barrel,10,45,0.6007508636208826,0.9330882352941176,0.6869949330666313,0.809703758759342,0.7,0.7,1.0,0.55,0.5917034566402435,0.5173395232240161,0.46956243384756835,0.9019273778404214,0.5879732356624296,0.809703758759342,0.9131438785703193,0.9333333333333333,0.9333333333333333,1.0,0.55,0.7733333333333333,0.7733333333333333,0.7978257139523824,0.7105466787363891,0.2333333333333334,0.22333333333333327,0.20612225731213896,0.193207155512373,0.0
S0-SM_barrel_4,barrel,16,120,0.48796991625652786,0.93125,0.6032461099795196,0.7667559335925787,1.0,1.0,1.0,0.7711313682377632,0.8681100606918335,0.7744130234358733,0.3860836316100054,0.9099731388708707,0.5244234590359746,0.7667559335925787,0.869415476064049,1.0,1.0,1.0,0.7711313682377632,0.8377912819932825,0.8377912819932825,0.8917313396930695,0.8125140062210411,0.0,0.06665991375551927,0.023621279001236006,0.038100982785167825,0.0
S0-SM_barrel_5,barrel,12,66,0.6852666161311257,0.9143407761828813,0.7520923257640525,0.7441860190523193,1.0,1.0,1.0,0.7083333333333334,0.8321246157089869,0.6916787507402372,0.5341896695816313,0.8589259070727788,0.6336882856477911,0.7441860190523193,0.8454291629899465,1.0,1.0,1.0,0.7083333333333334,0.7757575757575758,0.7757575757575758,0.8460911331754742,0.7263325317242741,0.0,0.06742424242424239,0.01396651746648736,0.03465378098403693,0.0
S0-SM_barrel_6,barrel,16,120,0.6054456080371051,0.9351759153318078,0.6968842921784099,0.7471255235281969,1.0,1.0,1.0,0.7188461074487321,0.8529983051121235,0.721567307124432,0.5023021135582822,0.9050069722615013,0.6181314102410368,0.7471255235281969,0.8617292668932299,1.0,1.0,1.0,0.7188461074487321,0.8282295811442392,0.8282295811442392,0.8737292339404424,0.7770505134145723,0.0,0.10938347369550705,0.02073092882831895,0.05548320629014036,0.0
S0-SM_barrel_7,barrel,11,55,0.6057061288603536,0.9115702479338843,0.6875605676047892,0.7394040145724813,1.0,1.0,1.0,0.8112373748756568,0.8631310842253945,0.7698422049907269,0.4571071461442492,0.8786375930675114,0.5761247671944553,0.7394040145724813,0.8406094241330634,1.0,1.0,1.0,0.811237374875657,0.8583333347229796,0.8583333347229796,0.885176461393183,0.8095926542807498,0.0,0.04709595984732273,0.022045377167788427,0.039750449290022916,0.0
S0-SM_barrel_8,barrel,11,55,0.580416977658357,0.9116161616161617,0.6643470611385051,0.7789794721392215,0.9090909090909091,0.9090909090909091,1.0,0.6,0.7376258481632579,0.6015030098655177,0.455127833315749,0.8766811383609803,0.5675468402574394,0.7789794721392215,0.8923473497246514,1.0,1.0,1.0,0.6,0.7290909090909091,0.7290909090909091,0.8304014195095409,0.6961744197827996,0.09090909090909094,0.12909090909090915,0.092775571346283,0.09467140991728185,0.0
