model,precision,recall,f1,map50,map50_95
YOLOv8n-M4,0.9328098097054257,0.7551864700952943,0.8346527251172241,0.8210501992021999,0.6236431980098308
YOLOv8l-M4,0.9545890696441044,0.8013904125814285,0.8713069100309188,0.8634032069498299,0.6801905712903288
