image,precision,recall,f1,ap50,ap50_95,tp,fp,fn,num_gt,num_pred
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_12-ellow-radfar-az135.png,0.23880597014925373,0.7619047619047619,0.36363636363636365,0.7903340559005314,0.4540898429455044,16.0,51.0,5.0,21.0,67.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_12-ellow-radmid-az135.png,0.18571428571428572,0.5652173913043478,0.27956989247311825,0.5766045489358111,0.37289895643643345,13.0,57.0,10.0,23.0,70.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_12-ellow-radnear-az090.png,0.1037037037037037,0.4375,0.1676646706586826,0.45698529365472496,0.282185864757048,14.0,121.0,18.0,32.0,135.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_12-elmid-radnear-az090.png,0.6,1.0,0.7499999999999999,1.0,0.8966666688521702,3.0,2.0,0.0,3.0,5.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-elhigh-radmid-az090.png,0.7777777777777778,1.0,0.8750000000000001,1.0,0.7555555605226093,7.0,2.0,0.0,7.0,9.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-elhigh-radnear-az135.png,0.8888888888888888,1.0,0.9411764705882353,1.0,0.8072222230490297,8.0,1.0,0.0,8.0,9.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-ellow-radfar-az225.png,0.2916666666666667,0.875,0.43750000000000006,0.8679315466433764,0.6994357081595808,14.0,34.0,2.0,16.0,48.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-ellow-radfar-az315.png,0.4,1.0,0.5714285714285715,1.0,0.7511999999761582,10.0,15.0,0.0,10.0,25.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-ellow-radmid-az000.png,0.5714285714285714,1.0,0.7272727272727273,1.0,0.7821428578346967,4.0,3.0,0.0,4.0,7.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-ellow-radnear-az225.png,0.25,0.9166666666666666,0.3928571428571429,0.9270833507180214,0.8555871280700419,11.0,33.0,1.0,12.0,44.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-elmid-radfar-az135.png,0.34375,1.0,0.5116279069767442,0.9461279617816913,0.636348911823849,11.0,21.0,0.0,11.0,32.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-elmid-radfar-az225.png,0.6666666666666666,1.0,0.8,1.0,0.8760937500745059,16.0,8.0,0.0,16.0,24.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-elmid-radmid-az000.png,1.0,1.0,1.0,1.0,0.7581632738236059,7.0,0.0,0.0,7.0,7.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-elmid-radmid-az225.png,0.5714285714285714,1.0,0.7272727272727273,1.0,0.8516985299332699,12.0,9.0,0.0,12.0,21.0
