group,target_class,subset_name,player_count,player_index,viewpoint,ring_id,elevation,radius,azimuth,rank,shapley_value,share_of_subset_value,singleton_subset_scene_value,mean_strict_quality_on_observed_rows,observed_scene_count,observed_scene_rate_within_subset,matched_scene_count,matched_scene_rate_within_subset,subset_scene_count,complete_subset_scene_count,max_views_seen_in_any_subset_scene,grand_value_all_players,empty_coalition_value
per_class,barrel,full_grid_perimeter_8,8,1,ellow-radnear-az000,ellow-radnear,low,near,0,1,0.2525296256317762,0.3039663072978776,0.2853674895088645,0.7134187237721612,6,0.4,5,0.3333333333333333,15,0,3,0.8307816345721007,0.0
per_class,barrel,full_grid_perimeter_8,8,2,ellow-radmid-az045,ellow-radmid,low,mid,45,2,0.18182381431992567,0.21885873104738907,0.2624822951453924,0.656205737863481,6,0.4,5,0.3333333333333333,15,0,3,0.8307816345721007,0.0
per_class,barrel,full_grid_perimeter_8,8,7,elhigh-radnear-az270,elhigh-radnear,high,near,270,3,0.09892517478365892,0.11907482142959376,0.1414910589640409,0.7074552948202045,3,0.2,3,0.2,15,0,3,0.8307816345721007,0.0
per_class,barrel,full_grid_perimeter_8,8,8,elmid-radnear-az315,elmid-radnear,mid,near,315,4,0.08671435611251768,0.10437683321825049,0.10909576532198267,0.8182182399148701,2,0.13333333333333333,2,0.13333333333333333,15,0,3,0.8307816345721007,0.0
per_class,barrel,full_grid_perimeter_8,8,4,elmid-radfar-az135,elmid-radfar,mid,far,135,5,0.08074945377363672,0.09719696537975016,0.1617921983154441,0.6067207436829154,4,0.26666666666666666,4,0.26666666666666666,15,0,3,0.8307816345721007,0.0
per_class,barrel,full_grid_perimeter_8,8,5,elhigh-radfar-az180,elhigh-radfar,high,far,180,6,0.07715140747320527,0.09286604838459457,0.10025723954856432,0.7519292966142324,2,0.13333333333333333,2,0.13333333333333333,15,0,3,0.8307816345721007,0.0
per_class,barrel,full_grid_perimeter_8,8,6,elhigh-radmid-az225,elhigh-radmid,high,mid,225,7,0.052887802477380286,0.0636602932425444,0.08464088085287713,0.6348066063965785,2,0.13333333333333333,2,0.13333333333333333,15,0,3,0.8307816345721007,0.0
per_class,barrel,full_grid_perimeter_8,8,3,ellow-radfar-az090,ellow-radfar,low,far,90,8,0.0,0.0,0.0,nan,0,0.0,0,0.0,15,0,3,0.8307816345721007,0.0
per_class,container,full_grid_perimeter_8,8,1,ellow-radnear-az000,ellow-radnear,low,near,0,1,0.2476042126630115,0.2592594028112029,0.3200132651776862,0.8000331629442154,6,0.4,5,0.3333333333333333,15,0,3,0.9550442914632534,0.0
per_class,container,full_grid_perimeter_8,8,6,elhigh-radmid-az225,elhigh-radmid,high,mid,225,2,0.18140107099930025,0.18993995631487412,0.2522040825008574,0.9457653093782152,4,0.26666666666666666,4,0.26666666666666666,15,0,3,0.9550442914632534,0.0
per_class,container,full_grid_perimeter_8,8,5,elhigh-radfar-az180,elhigh-radfar,high,far,180,3,0.12225356452755577,0.12800826686294017,0.1828366952439583,0.9141834762197915,3,0.2,3,0.2,15,0,3,0.9550442914632534,0.0
per_class,container,full_grid_perimeter_8,8,8,elmid-radnear-az315,elmid-radnear,mid,near,315,4,0.09718100663084699,0.10175549710050924,0.12690148585931713,0.9517611439448785,2,0.13333333333333333,2,0.13333333333333333,15,0,3,0.9550442914632534,0.0
