slice_id,slice_label,definition,threshold_value,row_count,scene_count,method_id,method_label,mean_score,delta_vs_best_box,positive_gain_rate_vs_best_box,slice_order,rank_within_slice
hard_scene,Hard scene,Scene-level mean single-view strict quality in the bottom quartile (<= 0.8249).,0.8248986639170335,5888,52,noisy_or_best_iou,Noisy-OR + best IoU,0.8680371740189857,0.08213610525833392,0.9079483695652174,5,1
hard_scene,Hard scene,Scene-level mean single-view strict quality in the bottom quartile (<= 0.8249).,0.8248986639170335,5888,52,roy_odds_best_iou,Odds-product + best IoU,0.8539283667264236,0.06802729796577178,0.8947010869565217,5,2
hard_scene,Hard scene,Scene-level mean single-view strict quality in the bottom quartile (<= 0.8249).,0.8248986639170335,5888,52,noisy_or_mean_iou,Noisy-OR + mean IoU,0.8332354304950124,0.047334361734360564,0.7972146739130435,5,3
hard_scene,Hard scene,Scene-level mean single-view strict quality in the bottom quartile (<= 0.8249).,0.8248986639170335,5888,52,roy_odds_mean_iou,Odds-product + mean IoU,0.8201043165275993,0.0342032477669475,0.7911005434782609,5,4
hard_scene,Hard scene,Scene-level mean single-view strict quality in the bottom quartile (<= 0.8249).,0.8248986639170335,5888,52,support_weighted_or,Support-weighted OR,0.7917419029978542,0.005840834237202386,0.7788722826086957,5,5
hard_scene,Hard scene,Scene-level mean single-view strict quality in the bottom quartile (<= 0.8249).,0.8248986639170335,5888,52,best_box,Best box,0.7859010687606518,0.0,0.0,5,6
primary_miss_only,Primary miss only,Primary view does not detect the target.,,419,29,best_box,Best box,0.7590827418762287,0.0,0.0,6,1
primary_miss_only,Primary miss only,Primary view does not detect the target.,,419,29,noisy_or_best_iou,Noisy-OR + best IoU,0.7590827418762287,0.0,0.18615751789976134,6,1
primary_miss_only,Primary miss only,Primary view does not detect the target.,,419,29,noisy_or_mean_iou,Noisy-OR + mean IoU,0.7590827418762287,0.0,0.18615751789976134,6,1
primary_miss_only,Primary miss only,Primary view does not detect the target.,,419,29,roy_odds_best_iou,Odds-product + best IoU,0.7590827418762287,0.0,0.20047732696897375,6,1
primary_miss_only,Primary miss only,Primary view does not detect the target.,,419,29,roy_odds_mean_iou,Odds-product + mean IoU,0.7590827418762287,0.0,0.20047732696897375,6,1
primary_miss_only,Primary miss only,Primary view does not detect the target.,,419,29,support_weighted_or,Support-weighted OR,0.37954137093811435,-0.37954137093811435,0.0,6,2
