run,images,gt_objects_supported_classes,predictions_conf_ge_0.25,predictions_all_confidences,tp_at_0.25_iou50,fp_at_0.25_iou50,fn_at_0.25_iou50,precision_at_0.25_iou50,recall_at_0.25_iou50,f1_at_0.25_iou50,mAP50_supported_classes
synthetic_only,39,144,68,1065,1,67,143,0.014705882352941176,0.006944444444444444,0.009433962264150943,0.0058612221112221115
finetuned,39,144,116,2473,74,42,70,0.6379310344827587,0.5138888888888888,0.5692307692307692,0.6366993588133982
