run_name,coalition_size,object_support,combination_count,macro_mean_detection_at_conf25_iou50,macro_mean_best_matched_confidence_iou50,macro_mean_best_matched_iou_iou50,macro_mean_best_strict_quality_iou50,macro_mean_noisy_or_confidence_iou50,macro_mean_noisy_or_best_iou_iou50,marginal_gain_vs_k_minus_1_detection_at_conf25_iou50,marginal_gain_vs_k_minus_1_best_matched_confidence_iou50,marginal_gain_vs_k_minus_1_best_matched_iou_iou50,marginal_gain_vs_k_minus_1_best_strict_quality_iou50,marginal_gain_vs_k_minus_1_noisy_or_confidence_iou50,marginal_gain_vs_k_minus_1_noisy_or_best_iou_iou50
real_uav_finetuned,1,5,35,0.96,0.7791455562483696,0.8710840882447618,0.6959714739546843,0.7791455562483696,0.6959714739546843,0.96,0.7791455562483696,0.8710840882447618,0.6959714739546843,0.7791455562483696,0.6959714739546843
real_uav_finetuned,2,5,112,0.9955555555555555,0.8693767935605277,0.9143909250955751,0.7777146055646599,0.9375645235042788,0.8591872527659403,0.03555555555555556,0.0902312373121581,0.04330683685081327,0.0817431316099756,0.1584189672559092,0.16321577881125604
real_uav_finetuned,3,5,220,1.0,0.9046276355499312,0.929125539973447,0.8115394451375545,0.9815375900373982,0.9123983956331749,0.004444444444444473,0.035250841989403536,0.014734614877871977,0.033824839572894616,0.04397306653311939,0.053211142867234607
synthetic_m4,1,5,35,0.08,0.05902779062123349,0.08609290709584695,0.04601014718834407,0.05902779062123349,0.04601014718834407,0.08,0.05902779062123349,0.08609290709584695,0.04601014718834407,0.05902779062123349,0.04601014718834407
synthetic_m4,2,5,112,0.13333333333333333,0.10206853216617473,0.153039572585879,0.0802351044369542,0.1038603538862097,0.08211179715726609,0.05333333333333333,0.04304074154494124,0.06694666549003205,0.034224957248610126,0.04483256326497621,0.03610164996892202
synthetic_m4,3,5,220,0.16666666666666669,0.13262495084200054,0.2054504897234036,0.1053050991365436,0.13700011471030976,0.10985456217294556,0.033333333333333354,0.030556418675825814,0.052410917137524604,0.0250699946995894,0.033139760824100056,0.027742765015679474
