added_image_number,base_coalition_size,scene_support,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou,fraction_of_total_target_ap50_95_gain_captured,fraction_of_total_target_strict_quality_gain_captured,fraction_of_total_noisy_or_best_iou_gain_captured
1,0,205,0.8514764134441558,0.8728219808265133,0.8728219808265133,0.8514764134441558,0.8728219808265133,0.8728219808265133,0.0,0.0,0.0
2,1,205,0.9274857477920041,0.9086911498579342,0.9513343623167643,0.07600933434784818,0.035869169031420726,0.07851238149025105,0.6282108174491502,0.5724560985854167,0.7468080959845687
3,2,205,0.9488643245355319,0.9189902348324315,0.9661135234484236,0.021378576743527857,0.010299084974497285,0.01477916113165916,0.8049029735794611,0.7368249468945531,0.887387161037565
4,3,205,0.9586424007082204,0.9245328546836384,0.9712038555943978,0.009778076172688301,0.005542619851207059,0.005090332145974259,0.8857179587155406,0.8252827122022635,0.9358062916983269
5,4,200,0.9644364326036282,0.928094194849526,0.9737382218097517,0.005492323742765423,0.0037454573780612782,0.002600940322688815,0.9336051497371477,0.8821201286284337,0.9599131290135475
6,5,194,0.9680246228767796,0.9314755366468248,0.9758665204480513,0.003605262243521019,0.002782070882560945,0.0017563243919571845,0.9632612434787886,0.9360848505758484,0.9801574602080164
7,6,188,0.9698560032584146,0.9329940549238624,0.9768705162320622,0.0027355147579080793,0.0022495066165032548,0.0012893857764599546,0.9783974497944782,0.9603197317280194,0.9897074466636789
8,7,177,0.9724697682808079,0.9354803560627216,0.9779525785160612,0.0021011239806567883,0.0017579384070166091,0.0009448515845745119,1.0,1.0,1.0
