comparison_group,variant_id,label,train_images,val_images,precision,recall,f1,map50,map50_95,delta_map50_95_vs_matched_m4,delta_map50_vs_matched_m4,delta_f1_vs_matched_m4,note
reference,full_m4_reference,Full M4 baseline,all,all,0.8367053039106679,0.8549754407442569,0.8457417136706878,0.8367053039106679,0.6396168432752555,,,,Reference model trained on the full M4 regime.
single_context,single_mean_context,Single-view mean,144,31,0.5335820463546795,0.6224284647788109,0.5743170970157713,0.5335820463546795,0.3383832798544885,-0.1459591645022163,-0.17385640242165712,-0.15649613484601776,Mean across all 72 completed single-view models; compared against an M4 control trained with rounded mean train/val counts.
single_context,matched_single_mean,Equal-budget M4 (single mean),144,31,0.7074384487763367,0.7557854700137667,0.730813231861789,0.7074384487763367,0.4843424443567048,0.0,0.0,0.0,Full-M4 control with rounded mean single-view train/val image counts.
single_budget,single_best,Single-view best,135,35,0.6215519989811171,0.6940126705041647,0.6557867852119496,0.6215519989811171,0.41641372706811924,-0.06383981086410456,-0.07493884876518853,-0.06704031771213304,Best single-view model: elmid-radmid-az045.
single_budget,matched_single_best,Equal-budget M4 (best single),135,35,0.6964908477463057,0.7512333232844619,0.7228271029240826,0.6964908477463057,0.4802535379322238,0.0,0.0,0.0,Full-M4 control with the same train/val image counts as the best single-view model.
pair_context,pair_mean_context,Pair-view mean,287,61,0.6306084246385846,0.6980880044302848,0.6623841964094673,0.6306084246385846,0.4206643113091331,-0.10277406521529592,-0.10972138210221094,-0.09812259934397505,Mean across all completed pair-view models; compared against an M4 control trained with rounded mean train/val counts.
pair_context,matched_pair_mean,Equal-budget M4 (pair mean),287,61,0.7403298067407955,0.7818144083659544,0.7605067957534424,0.7403298067407955,0.523438376524429,0.0,0.0,0.0,Full-M4 control with rounded mean pair-view train/val image counts.
pair_budget,pair_best,Pair-view best,298,59,0.7252476613685452,0.7718588894572121,0.74782767355684,0.7252476613685452,0.4957698038530213,-0.02383834935744089,-0.011066352417181458,-0.010767517212571964,Best pair-view model: ellow-radmid-az000 + elmid-radmid-az225.
pair_budget,matched_pair_best,Equal-budget M4 (best pair),298,59,0.7363140137857267,0.7822669224228288,0.758595190769412,0.7363140137857267,0.5196081532104622,0.0,0.0,0.0,Full-M4 control with the same train/val image counts as the best pair-view model.
