group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,perimeter_same_az225,8,8,1,elmid-radnear-az225,6,elhigh-radnear-az225,40,2,elmid-radnear-az225 + elhigh-radnear-az225,0.14916530333369243,0.32961014140157124,0.1804448380678788,4
overall,all,perimeter_same_az225,8,8,1,elmid-radnear-az225,2,ellow-radmid-az225,10,2,ellow-radmid-az225 + elmid-radnear-az225,0.14916530333369243,0.2995448298099671,0.15037952647627467,5
overall,all,perimeter_same_az225,8,8,1,elmid-radnear-az225,8,elhigh-radfar-az225,136,2,elmid-radnear-az225 + elhigh-radfar-az225,0.14916530333369243,0.2958714215432458,0.14670611820955337,6
overall,all,perimeter_same_az225,8,8,1,elmid-radnear-az225,3,ellow-radfar-az225,12,2,ellow-radfar-az225 + elmid-radnear-az225,0.14916530333369243,0.28654832314774764,0.1373830198140552,7
overall,all,perimeter_same_az225,8,16,1,elmid-radfar-az225,7,elhigh-radmid-az225,80,2,elmid-radfar-az225 + elhigh-radmid-az225,0.21989438229863034,0.4092705620725042,0.18937617977387383,1
overall,all,perimeter_same_az225,8,16,1,elmid-radfar-az225,6,elhigh-radnear-az225,48,2,elmid-radfar-az225 + elhigh-radnear-az225,0.21989438229863034,0.405115403434328,0.18522102113569766,2
overall,all,perimeter_same_az225,8,16,1,elmid-radfar-az225,1,ellow-radnear-az225,17,2,ellow-radnear-az225 + elmid-radfar-az225,0.21989438229863034,0.39959709538149374,0.1797027130828634,3
overall,all,perimeter_same_az225,8,16,1,elmid-radfar-az225,2,ellow-radmid-az225,18,2,ellow-radmid-az225 + elmid-radfar-az225,0.21989438229863034,0.3441147005447088,0.12422031824607843,4
overall,all,perimeter_same_az225,8,16,1,elmid-radfar-az225,8,elhigh-radfar-az225,144,2,elmid-radfar-az225 + elhigh-radfar-az225,0.21989438229863034,0.33430722755830766,0.11441284525967732,5
overall,all,perimeter_same_az225,8,16,1,elmid-radfar-az225,4,elmid-radnear-az225,24,2,elmid-radnear-az225 + elmid-radfar-az225,0.21989438229863034,0.33335062201065674,0.1134562397120264,6
overall,all,perimeter_same_az225,8,16,1,elmid-radfar-az225,3,ellow-radfar-az225,20,2,ellow-radfar-az225 + elmid-radfar-az225,0.21989438229863034,0.3331795121382333,0.11328512983960298,7
overall,all,perimeter_same_az225,8,32,1,elhigh-radnear-az225,5,elmid-radfar-az225,48,2,elmid-radfar-az225 + elhigh-radnear-az225,0.22106276428894742,0.405115403434328,0.1840526391453806,1
overall,all,perimeter_same_az225,8,32,1,elhigh-radnear-az225,7,elhigh-radmid-az225,96,2,elhigh-radnear-az225 + elhigh-radmid-az225,0.22106276428894742,0.39453274972574626,0.17346998543679884,2
overall,all,perimeter_same_az225,8,32,1,elhigh-radnear-az225,1,ellow-radnear-az225,33,2,ellow-radnear-az225 + elhigh-radnear-az225,0.22106276428894742,0.39234993383050915,0.17128716954156173,3
overall,all,perimeter_same_az225,8,32,1,elhigh-radnear-az225,3,ellow-radfar-az225,36,2,ellow-radfar-az225 + elhigh-radnear-az225,0.22106276428894742,0.3682549563148272,0.14719219202587977,4
overall,all,perimeter_same_az225,8,32,1,elhigh-radnear-az225,8,elhigh-radfar-az225,160,2,elhigh-radnear-az225 + elhigh-radfar-az225,0.22106276428894742,0.35430036010597643,0.13323759581702901,5
overall,all,perimeter_same_az225,8,32,1,elhigh-radnear-az225,2,ellow-radmid-az225,34,2,ellow-radmid-az225 + elhigh-radnear-az225,0.22106276428894742,0.3498212922361155,0.1287585279471681,6
overall,all,perimeter_same_az225,8,32,1,elhigh-radnear-az225,4,elmid-radnear-az225,40,2,elmid-radnear-az225 + elhigh-radnear-az225,0.22106276428894742,0.32961014140157124,0.10854737711262383,7
overall,all,perimeter_same_az225,8,64,1,elhigh-radmid-az225,1,ellow-radnear-az225,65,2,ellow-radnear-az225 + elhigh-radmid-az225,0.2189833417240226,0.41816331166851806,0.19917996994449547,1
overall,all,perimeter_same_az225,8,64,1,elhigh-radmid-az225,5,elmid-radfar-az225,80,2,elmid-radfar-az225 + elhigh-radmid-az225,0.2189833417240226,0.4092705620725042,0.19028722034848158,2
overall,all,perimeter_same_az225,8,64,1,elhigh-radmid-az225,6,elhigh-radnear-az225,96,2,elhigh-radnear-az225 + elhigh-radmid-az225,0.2189833417240226,0.39453274972574626,0.17554940800172367,3
overall,all,perimeter_same_az225,8,64,1,elhigh-radmid-az225,8,elhigh-radfar-az225,192,2,elhigh-radmid-az225 + elhigh-radfar-az225,0.2189833417240226,0.366055770291435,0.1470724285674124,4
overall,all,perimeter_same_az225,8,64,1,elhigh-radmid-az225,4,elmid-radnear-az225,72,2,elmid-radnear-az225 + elhigh-radmid-az225,0.2189833417240226,0.3494566079122091,0.13047326618818653,5
overall,all,perimeter_same_az225,8,64,1,elhigh-radmid-az225,2,ellow-radmid-az225,66,2,ellow-radmid-az225 + elhigh-radmid-az225,0.2189833417240226,0.34891746585442485,0.12993412413040226,6
overall,all,perimeter_same_az225,8,64,1,elhigh-radmid-az225,3,ellow-radfar-az225,68,2,ellow-radfar-az225 + elhigh-radmid-az225,0.2189833417240226,0.33975488446069085,0.12077154273666826,7
overall,all,perimeter_same_az225,8,128,1,elhigh-radfar-az225,7,elhigh-radmid-az225,192,2,elhigh-radmid-az225 + elhigh-radfar-az225,0.16210876580824748,0.366055770291435,0.2039470044831875,1
overall,all,perimeter_same_az225,8,128,1,elhigh-radfar-az225,6,elhigh-radnear-az225,160,2,elhigh-radnear-az225 + elhigh-radfar-az225,0.16210876580824748,0.35430036010597643,0.19219159429772895,2
