group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,base_value,best_addition_player_index,best_addition_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,expanded_value,delta_value
overall,all,perimeter_same_az225,8,1,1,ellow-radnear-az225,0.23075995515040143,7,elhigh-radmid-az225,65,2,ellow-radnear-az225 + elhigh-radmid-az225,0.41816331166851806,0.18740335651811663
overall,all,perimeter_same_az225,8,65,2,ellow-radnear-az225 + elhigh-radmid-az225,0.41816331166851806,5,elmid-radfar-az225,81,3,ellow-radnear-az225 + elmid-radfar-az225 + elhigh-radmid-az225,0.5693905192777504,0.15122720760923236
overall,all,perimeter_same_az225,8,81,3,ellow-radnear-az225 + elmid-radfar-az225 + elhigh-radmid-az225,0.5693905192777504,6,elhigh-radnear-az225,113,4,ellow-radnear-az225 + elmid-radfar-az225 + elhigh-radnear-az225 + elhigh-radmid-az225,0.6726746456519933,0.10328412637424289
overall,all,perimeter_same_az225,8,113,4,ellow-radnear-az225 + elmid-radfar-az225 + elhigh-radnear-az225 + elhigh-radmid-az225,0.6726746456519933,2,ellow-radmid-az225,115,5,ellow-radnear-az225 + ellow-radmid-az225 + elmid-radfar-az225 + elhigh-radnear-az225 + elhigh-radmid-az225,0.7437983586412588,0.07112371298926545
overall,all,perimeter_same_az225,8,115,5,ellow-radnear-az225 + ellow-radmid-az225 + elmid-radfar-az225 + elhigh-radnear-az225 + elhigh-radmid-az225,0.7437983586412588,8,elhigh-radfar-az225,243,6,ellow-radnear-az225 + ellow-radmid-az225 + elmid-radfar-az225 + elhigh-radnear-az225 + elhigh-radmid-az225 + elhigh-radfar-az225,0.8069347482397965,0.06313638959853773
overall,all,perimeter_same_az225,8,243,6,ellow-radnear-az225 + ellow-radmid-az225 + elmid-radfar-az225 + elhigh-radnear-az225 + elhigh-radmid-az225 + elhigh-radfar-az225,0.8069347482397965,3,ellow-radfar-az225,247,7,ellow-radnear-az225 + ellow-radmid-az225 + ellow-radfar-az225 + elmid-radfar-az225 + elhigh-radnear-az225 + elhigh-radmid-az225 + elhigh-radfar-az225,0.8556710484964133,0.048736300256616794
overall,all,perimeter_same_az225,8,247,7,ellow-radnear-az225 + ellow-radmid-az225 + ellow-radfar-az225 + elmid-radfar-az225 + elhigh-radnear-az225 + elhigh-radmid-az225 + elhigh-radfar-az225,0.8556710484964133,4,elmid-radnear-az225,255,8,ellow-radnear-az225 + ellow-radmid-az225 + ellow-radfar-az225 + elmid-radnear-az225 + elmid-radfar-az225 + elhigh-radnear-az225 + elhigh-radmid-az225 + elhigh-radfar-az225,0.8996729253945198,0.04400187689810653
