group,target_class,subset_name,player_count,player_index,viewpoint,ring_id,elevation,radius,azimuth,rank,shapley_value,share_of_subset_value,singleton_subset_scene_value,mean_strict_quality_on_observed_rows,observed_scene_count,observed_scene_rate_within_subset,matched_scene_count,matched_scene_rate_within_subset,subset_scene_count,complete_subset_scene_count,max_views_seen_in_any_subset_scene,grand_value_all_players,empty_coalition_value
per_class,barrel,perimeter_same_az225,8,5,elmid-radfar-az225,elmid-radfar,mid,far,225,1,0.16964786706593768,0.22310240415065638,0.2475556636204556,0.7426669908613668,5,0.3333333333333333,5,0.3333333333333333,15,0,4,0.7604035810899555,0.0
per_class,barrel,perimeter_same_az225,8,1,ellow-radnear-az225,ellow-radnear,low,near,225,2,0.14623029616749383,0.19230616452106744,0.28881046854371445,0.8664314056311433,5,0.3333333333333333,5,0.3333333333333333,15,0,4,0.7604035810899555,0.0
per_class,barrel,perimeter_same_az225,8,6,elhigh-radnear-az225,elhigh-radnear,high,near,225,3,0.10843255204782687,0.1425986867294873,0.17794121578196118,0.6672795591823544,4,0.26666666666666666,4,0.26666666666666666,15,0,4,0.7604035810899555,0.0
per_class,barrel,perimeter_same_az225,8,4,elmid-radnear-az225,elmid-radnear,mid,near,225,4,0.08725506300086555,0.11474835885937694,0.1422420298005022,0.7112101490025111,3,0.2,3,0.2,15,0,4,0.7604035810899555,0.0
per_class,barrel,perimeter_same_az225,8,8,elhigh-radfar-az225,elhigh-radfar,high,far,225,5,0.07392850077003045,0.09722271515878715,0.13108330981454205,0.6554165490727103,3,0.2,3,0.2,15,0,4,0.7604035810899555,0.0
per_class,barrel,perimeter_same_az225,8,2,ellow-radmid-az225,ellow-radmid,low,mid,225,6,0.0726942701377921,0.09559958940960378,0.10125241288306815,0.7593930966230111,2,0.13333333333333333,2,0.13333333333333333,15,0,4,0.7604035810899555,0.0
per_class,barrel,perimeter_same_az225,8,7,elhigh-radmid-az225,elhigh-radmid,high,mid,225,7,0.07004850419271902,0.09212016609957588,0.08464088085287713,0.6348066063965785,2,0.13333333333333333,2,0.13333333333333333,15,0,4,0.7604035810899555,0.0
per_class,barrel,perimeter_same_az225,8,3,ellow-radfar-az225,ellow-radfar,low,far,225,8,0.03216652770728999,0.04230191507144507,0.08161933336648465,0.40809666683242324,3,0.2,2,0.13333333333333333,15,0,4,0.7604035810899555,0.0
per_class,container,perimeter_same_az225,8,7,elhigh-radmid-az225,elhigh-radmid,high,mid,225,1,0.21017006875071473,0.22047189474757037,0.2101700687507145,0.9457653093782152,4,0.2222222222222222,4,0.2222222222222222,18,0,3,0.9532737448977306,0.0
per_class,container,perimeter_same_az225,8,1,ellow-radnear-az225,ellow-radnear,low,near,225,2,0.16085912582499023,0.16874389616410507,0.2116517380073621,0.9524328210331294,4,0.2222222222222222,4,0.2222222222222222,18,0,3,0.9532737448977306,0.0
per_class,container,perimeter_same_az225,8,6,elhigh-radnear-az225,elhigh-radnear,high,near,225,3,0.14833911748302242,0.15561019935457948,0.20837726485281158,0.9376976918376521,4,0.2222222222222222,4,0.2222222222222222,18,0,3,0.9532737448977306,0.0
per_class,container,perimeter_same_az225,8,8,elhigh-radfar-az225,elhigh-radfar,high,far,225,4,0.13256162731346235,0.1390593499747377,0.15751188061789614,0.9450712837073768,3,0.16666666666666666,3,0.16666666666666666,18,0,3,0.9532737448977306,0.0
per_class,container,perimeter_same_az225,8,4,elmid-radnear-az225,elmid-radnear,mid,near,225,5,0.12404252263332116,0.1301226675939016,0.15839648861604358,0.9503789316962615,3,0.16666666666666666,3,0.16666666666666666,18,0,3,0.9532737448977306,0.0
